Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"South America, Total",,"4687.83","3267.29","55.65","1364.9","1192.54","1.2","7.02","38.86","92.57","0.73","26.17","2.57","785.24","950","0","2.96","0.18","3.95","-27.93","6.44","131.66","6.43","13.39","2.67","167.97","0.41","5.04","0",,"153.06","74.67","110.63","195.64","515.75","649.53","0.01",,"0.02","0",,"9.67",,"39.82",,,"0.08","0",,"0.06","0.4","0.09",,"0.19",,"2.03","3.27",,,,"372.59",,,,,,"371.7","371.7",,"1.24",,,"-0.35","102.28","5.83","11.68","2.46","10.27","0.77","2.57",,,"7.14","24.2","12.22",,"9.94",,,"7.04","8.15",,"58.74","58.74",,"58.74",,"181.76","3.42",,,,"26.31","29.7","2.08","44.83","24.06","0.78","10.95",,"-1.28","40.91",,,,"0.29","1021.43","4.25","9.96",,"0.68","4.29","2.92","0.08","1.16","29.25",,"68.93",,"1.13",,,"3.08","3.88","4.53","0.07","2.76",,,"1.45","1.25",,"9.9","2.46",,"4.11","3.2","2.06","9.41",,,,"2517.71","2238.21","9.41"
"Northern America, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, Total",,"49936.69","25933.97","13635.03","10367.69","996.57","945.58","108.71","126.86","986.27","19.55","348.6","143.25","1367.68","5927.81","0.62","78.66","6.1","57.34","289.94","2311.49","810.94","75.77","401.15","83.3","671.05","71.16","25.58","3.44","1.57","43.35","665.26","535.97","2981.24","6845.74","4165.63","0.45","1.38","1.33","2.93","5.2","167.23","11.44","-1124.33","0.95",,"2.29","0.29",,"4.2","173.51","3874.07",,"58.51",,"7183.41","3272.16",,"-155.3","-155.3","639.06",,,,"658.91","658.91",,,"0.22",,"-0.5",,"-19.57","1662.27","64.58","21.13","114.88","43.5","4.43","52.68",,,"65.72","59.83","278.71",,"15.58","759.28",,"60.84","120.9","0.21","2406.82","2406.82",,"2406.82",,"1649.2","9.17",,"-27.5",,"150.39","146.05","527.8","131.29","575.85","7.98","47.16",,"-8.1","67.91","21.21",,"8.88","3.82",,"1.87","585.3","2.15","2.5","53.57","8.23","1.45","33.79","47.62",,"2.57","10.66","7.59",,"0.21","23.05","3.43","8.07","9.24","22.73",,"6.33","1.7","5.53","20.21","21.78","8.63","7.86","25.71","46","2.65","7.57",,,"5.85","20710.17","12737.54","13.41"
"Middle East, Total",,"27368.13","10489.46","13888.29","2990.39","61.73","115.01","36.63","72.04","416.39","8.26","162.36","41.99","301.52","2557.82","0.43","25.58","4.63","33.51","132.41","632.01","79.03","19.09","301.15","5.94","392.2","16.81","6.61","2.42","1.35","88.69","295.29","135.98","1083.92","3520.39","1699.03",,"0.9","0.83","2.91","2.02","116.65",,"208.74",,,"1.05","0.19",,"2.77","7.22","3667.38",,"0.08",,"6744.81","3132.75",,"-27.09","-27.09","0.53",,,,,,,,,,,,"0.53","926.54","8.59","2.43","-1.63","8.91","0.09","4.57",,,"12.33","26.62","35.26",,"2.21","759.28",,"30.96","36.7","0.21","272.63","272.63",,"272.63",,"118.75","4.14",,"-27.5",,"67.3","2.15","29.45","4.48","33.33","0.89","0.52",,,"3.98",,,"0.67","0.15",,"0.53","19.01","2.15",,,"0.99","0.5",,"8.43",,,"1.91","0.97",,,"9.59","1.66",,"3.79",,,"2.2",,"0.94",,"1.29",,"0.08","0.21",,"0.28","5.79",,,"0.58","8644.45","5187.89","6.37"
"South & Central Asia, Total",,"17098.44","11711.62","-827.34","6214.16","677.87","279.69","41.43","7.39","272.74","8.05","166.29","65.49","584.09","1305.83","0.16","13.51","0.9","10.45","158.07","3504.7","239.97","18.99","108.1","15.34","211.18","66.9","1.58","0.88","0.16","17.61","277.83","265.45","1543.11","2525.71","1885.37","0.35","0.44","0.5",,"3.13","31.26","9.78","-1511.73","0.88",,"1.11","0.04",,"1.02","99.92","120.7",,"25.28",,"256.36","133.62",,"-128.21","-128.21","398.23",,,,"412.52","412.52",,,"0.07",,"-0.5",,"-13.85","513.93","4.96","7.22","115.63","17.55","2.47","31.51",,,"28.52","17.12","201.97",,"11.93",,,"25.89","49.16",,"2425.27","2425.27",,"2425.27",,"1119.58","2.3",,,,"50.12","112.64","459.34","48.99","342.01","1.52","35.24",,"-3.36","49.57","21.21",,"5.43","0.35",,"1.35","484.6",,"2.14","29.03","2.55","0.5","8.97","13.19",,,"5.59","4.15",,"0.21","8.76","1.36","6.64","5.13","7.54",,,,"1.95","20.21","13.19","8.43","7.11","8.6","23.86","1.88","0.59",,,"4.58","9894.26","4395.93","5.17"
"Far East Asia, Total",,"4233.5","2882.36","398.18","952.96","234.28","522.95","27","47.42","45.41","3.23","19.17","29.15","479","1906.65","0.02","39.56","0.57","13.31","-0.63","-1901.91","455.84","37.68","-11.07","60.07","54.73","-12.55","17.38","0.14","0.06","-62.95","48.74","128.49","174.96","759.95","513.96","0.1","0.04",,"0.02",,"19.32","0.54","178.65","0.08",,"0.13","0.06",,"0.41","66.38","85.99",,"33.14",,"7.52","5.8",,,,"166.51",,,,"172.6","172.6",,,"0.16",,,,"-6.25","158.15","4.77","11.48","0.87","12.26","1.83","12.7",,,"16.18","16.09","41.48",,"1.44",,,"3.99","35.04",,"-291.07","-291.07",,"-291.07",,"405.4","2.73",,,,"32.97","31.25","39.02","73.38","199.47","5.57","11.4",,"-4.74","14.35",,,"2.78","2.94",,,"64.47",,"0.37","24.54","4.69","0.45","24.56","24.25",,"2.57","3.16","2.47",,,"4.25","0.41","0.98","0.31","15.19",,"4.13","1.7","2.09",,"5.99",,"0.57","16.89","22.15","0.49","1.18",,,"0.69","1463.43","2756.27","1.87"
"Europe, Total",,"6480.58","2993.15","826.57","2660.86","24.87","0.6","134.18","12.4","72.43","25.73","60.71","17.83","222.45","903.16","8.97","15.39","0.21","7.95","93.71","-6.4","-6.54","12.07","26.6","0.01","73.16","115.61","0.13","4.08","19.97","25.17","170.45","168.76","259.53","554.81","2569.29",,"3.74","14.53",,"7.77","15.48",,"83.57","1.38",,"6.68","0.3",,"50.73","10.54","3.96",,"0.08",,"217.55","410.25",,"-42.78","-42.78","3.78",,,,,,,,,,"7.18",,"-3.4","83.49","4.05","10.13","4.26","5.89","0.6","3.62",,,"5.42","9.77","11.28",,"0.94",,,,"27.19","0.34","-132.83","-132.83",,"-132.83",,"179.91",,,,"0.54","5.9","19.61","0.15","28.59","58.32",,"2.63",,,"8.75","55.41",,,"0.17",,"1.24","0.36",,,,"1.54",,,,,,"4.48",,,,"0.59",,"0.06","0.12",,,"2.28",,"0.45",,"10.46","2.45",,,,"0.69",,,,,"2099.7","2136.12",
"Oceania, Total",,"2332.57","1696.23","2.04","634.3","6.85","841.86","1.06","0.02","9.98",,,,"73.27","16.23",,,"0","1.3","0.83","199.86","16.09","0",,"327.04","1.74","0.04",,,,"0.11","5.37","0.41","14.71","186.31","136.58",,,,,"0.07","0.27",,,,,,"0",,"0.02",,"0.04",,"0.54",,"0.12","0.98",,"-5.94","-5.94","45.34",,,,"45.34","45.34",,,,,,,,"46","2.36","0.34","8.78","6.03","0.18","2.76",,,"1.59",,"12.07",,"3.69",,,,"8.19",,"306.94","306.94",,"306.94",,"105.38","3.23",,,,"9.19","9.78","3.68","29.67","22.06","2.5","24.07",,,"1.2",,,,"0.01",,,"1.99",,"0.16","0.2",,,"1.43",,,,,,,,"1.66",,,,"1.41",,,,,,,,,,,,,,,,"501.18","112.93",
"Melanesia, Total",,"1237.78","842.18","0.78","394.82","4.29","622.01","0.77","0","2.89",,,,"5.1","5.35",,,"0",,"0.34","87.52","11.57",,,"84.76","1.12","0.04",,,,,"0.79","0.41","3.24","16.26","55.72",,,,,,"0.15",,,,,,"0",,,,"0.04",,"0.3",,,"0.3",,"-3.48","-3.48","27.41",,,,"27.41","27.41",,,,,,,,"33.47","0.95","0.26","7.42","1.04","0.18","1.73",,,"1.59",,"12.07",,"3.69",,,,"4.53",,"221.36","221.36",,"221.36",,"60.35","1.41",,,,"9.19","1.79","3.66","18.37","17.47","2.03","5.27",,,"1.15",,,,"0.01",,,"0.99",,"0.16","0.2",,,"0.57",,,,,,,,"1.64",,,,"0.73",,,,,,,,,,,,,,,,"120.69","15.62",
"Micronesia, Total",,"355.28","291.48","0.16","63.63","1.37","48.9",,"0.02",,,,,,"1.64",,,,,"0.47","55.34","2.25",,,"18.74",,,,,,,"0.01",,"0.18","163.93","7.24",,,,,,"0.1",,,,,,"0",,,,,,"0.07",,,,,,,"5.93",,,,"5.93","5.93",,,,,,,,"2.71","0.5","0.08","0.93","0.22",,"0.1",,,,,,,,,,,"0.89",,"38.95","38.95",,"38.95",,"8.8","0.48",,,,,,"0.02","1.98",,"0.27","6.06",,,,,,,,,,,,,,,,"0.69",,,,,,,,,,,,"0.68",,,,,,,,,,,,,,,,"221.56","2.33",
"Polynesia, Total",,"380.85","259.02","0.2","121.63","1.09","60.26",,,,,,,"33.01","0.07",,,,,"0.02","44.91","1.17",,,"115.94",,,,,,,,,"0.22","3.43","39.74",,,,,,"0.02",,,,,,,,,,,,"0.18",,,,,"-2.46","-2.46","12.01",,,,"12.01","12.01",,,,,,,,"3.16","0.38",,"0.43","0.37",,"0.75",,,,,,,,,,,"1.23",,"43.51","43.51",,"43.51",,"25.67","1.34",,,,,"7.12",,"9.32",,,"7.84",,,"0.05",,,,,,,"0.92",,,,,,"0.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,"81.65","33.31",
"LDCs, Total",,"54338.78","27792.09","6000.48","20546.22","813.11","571.36","57.27","421.81","1069.47","15.91","451.75","132.86","1244.03","2711.17","0.17","28.99","26.01","252.98","367.4","3278.7","641.9","177.44","608.43","104.32","769.11","87.76","54.32","1.04","0.57","115.08","1174.67","590.75","3203.26","9633.55","4577.15",,"0.3","0.6","0.04","1.88","7.12","4.68","-691.49",,,"0.19","0.13",,"0.95","33.65","3670.59",,"56.74",,"137.19","2777.89",,"9.98","9.98","2169.97","1307.37","78.99","1228.38","758.13","758.13","119.18","119.18","0.16",,,,"-14.87","1536.67","20.93","11.45","265.01","27.66","6.49","205.04",,,"91.56","85.32","533.54",,"72.55",,,"127.22","89.89",,"8842.74","8842.74",,"8842.74",,"3409.71","10.15",,"107.43",,"352.09","134.63","830.61","128.6","1716.08","8.6","15.49",,"-5.6","111.63",,,"0.95","2.82",,"0.03","457.35","2.6","20.25","19.65","0.41","20.08","13.21","5.84","8.45",,"15.1","8.02",,"0.21","5.3","3.86","3.52","6.38","17.13","107.79","19.4","2.95","1.95","0.05","14.77","0.95","18.01","7.53","7.45","3.38","5.72",,,"12.03","21507.58","11106.92","17.76"
"Other LICs, Total",,"915.02","495.29","59.02","360.71","19.6","1.4","0.41","0.74","2.78","0.11","0","0.97","3.46","47.86","0.01","0","0.01","8.95","0.37","12.68","1.29",,"1.65","0.34","12.8","0.38","0.05",,,"0.31","47.37","20.27","125.47","205.64","70.44",,,,,,"0.04",,,,,,"0.01",,"0.11","59.09","-0.88",,"0.05",,"0.05","0.55",,,,"11.66","11.66","0.08","11.59",,,,,,,,,,"33.59","1.25","0.27","-1.8","1.12","0.2","5.71",,,"2.76","3.25","11.89",,,,,"4.8","4.15",,,,,,,"245.02",,,,,"13.1",,"18.44","0.97","202.94",,"1.03",,,"8.54",,,,"0.05",,,"5.93",,"1.23","4.16",,,,"0.87",,,,,,,"1",,,,,,,,,,"4.58","0.32",,"0.35",,"0.41","0.71",,,,"398.25","238.09","0.71"
"LMICs, Total",,"42731.33","21931.89","9390.34","11409.1","1125.52","933.55","114.04","155.85","579.33","19.59","230.06","80.4","2349.04","4589.18","1.46","50.99","4.66","50.27","213.51","1514.54","664.12","67.39","175.12","93.49","398.23","96.42","29.66","5","3.91","176.75","420.58","433.07","1945.15","6536.52","4574.77","0.1","1.01","0.31","1.4","6.85","164.98","4.45","461.37","1.14",,"3.35","0.29",,"42.34","113.61","996.12",,"3.32",,"6892.01","697.67",,"-130.67","-130.67","854.18","353.86","7.67","346.2","-155.65","-155.65","655.15","655.15","0.07",,"-0.73",,"1.48","1413.06","20.98","12.83","167.51","34.22","4.62","27.61",,,"53.41","51.01","264.16",,"29.52","661.72",,"32.46","53.02",,"2752.52","2752.52",,"2752.52",,"1945.25","14.49",,"28.8","0.14","96.12","193.26","487.52","88.55","894.51","4.62","42.72",,"-8.98","62.01","41.5",,"0.98","2.8",,"1.64","716.99","0.5","4.59","49.82","4.76","8.61","23.71","46.14","5.34","1.72","11.96","4.2",,"8.65","33.43","2.2","4.15","4.43","19.67","59.25","1.8","0.69","0.83","20.21","11.97","12.4","13.97","9.7","27.96","2.74","6.83",,"0.67","0.23","17727.28","10774.37","7.72"
"UMICs, Total",,"14309.87","9250.76","1617.43","3441.68","1597.1","186.55","143.55","89.96","230.56","19.68","67.71","29.52","1341.58","3061.35","8.97","32.93","0.89","24.07","115.94","-947.86","173.27","12.03","156.36","85.46","304.17","40.11","8.89","3.88","17.06","76.32","190.96","247.7","745.2","2783.95","3125.84","0.01","3.23","14.45","1.4","2.45","35.76",,"503.49","1.15",,"3.89","0.42",,"13.05","371.86","55.91",,"1.72",,"121.83","486.81",,"-15.36","-15.36","77.88","3.91","8.88","-4.97","29.31","29.31","40.14","40.14",,"8.99","7.41",,"-11.87","382","10.08","15.42","-22.4","28.73","3.07","11.72",,,"25.02","69.66","64.76",,"13.85","97.56",,"20.7","43.83",,"-777.75","-777.75",,"-777.75",,"649.07","15.65",,"-5.9","0.34","33","70.44","0.65","151.64","225.23","2.98","59.19",,"-2.08","62.82","35.11",,"3.4","2.1","1184.89","5.72","60.45",,"3.76","27.49","4.66","0.61","16.67","62.47",,"38.02","3.55","1.34",,,"17","0.59","5.87","5.31","3.66","16.05","8.07","0.16","5.28","11.01","21.57","7.02","0.54","29.57","34.47","4.25","6.96",,"0.67","3.92","7330.72","6186.08","11.55"
"MADCTs, Total",,"33.73","30.95","0.01","2.77","0.17","2.11",,,,,,,"-0.1","0.01",,,,,,"2.11","0.16",,,"26.67",,,,,,,,,,,"1.12",,,,,,,,,,,,,,,,,,"0.01",,,,,,,"-1.33",,,,"-1.33","-1.33",,,,,,,,"0.28","0.02",,,"0.05",,"0.05",,,,,,,,,,,"0.16",,,,,,,"2.7","1.34",,,,,,,"1.33",,,"0.03",,,,,,,,,,,,,,,,"0.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.02","-0.09",
"Part I Unallocated by income",,"55231.12","45693.78","1959.2","7578.15","2788.67","855.41","167.55","667.36","1611.48","44.87","1047.63","232.12","2434.19","9048.85","27.97","16.21","29.55","194.05","1442.83","2238.71","318.83","86.61","2804.18","152.38","1744.99","13.4","39.01","22.42","7.74","338.83","2003.53","1039.64","6288.39","10775.06","4408.43","5.23","5.21","1.31","0.49","10.49","107.47","24.28",,"2.62","18.71","4.63","19.67",,"2.79","49.95","88.44","258.49",,,"1281.94","77.49",,,,"541.07","399.36","2.85","396.51","73.79","73.79","58.95","58.95",,"8.96",,,"0","2009.3","343.61","35.97",,"134.73","175.07","51.44",,,"38.81","270.34","617.94",,"3.06",,,"0.48","328.09","9.75","76.82","76.82",,"76.82",,"542.54","7.66",,"10.67","0.71","6.2","7.9","193.78","81.57","144.22","2.37","16.18",,"21.69","10.52","39.07",,"47.69","8.15","-1066.73","6.94","2190.13","15.37","6.22","129.92","17.81","17.13","69.13","109.13",,"75.5","-21.83","2.73",,"7.21","27.64","23.63","30.87","4.9","7.6","80.08","28.78","5.48","3.45",,"158.23","32.08","74.56","228.17","139.14","0.51","228.34","0.49","46.01","54.19","33839.51","26927.72","329.03"
"WorldBank Low income countries",,"50413.42","21389.36","13630.11","15393.95","536.74","138.24","51.84","376.65","887.08","13.2","384.79","88.6","794.94","2997.7","0.17","10.36","27.27","218.21","330.61","995.33","294.54","118.32","576.19","8.89","741.28","6.08","52.52","1.45","0.48","149.49","942.88","424.35","2751.98","8005.91","4153.48",,"0.47","0.6","0.04","2.38","50.65","8.52","241.53","0.02",,"0.23","0.2",,"1.49","101.7","3601.77",,"1.15",,"6804.7","2814.66",,"254.83","254.83","1449.72","1053.17","77.3","975.87","263.07","263.07","119.18","119.18",,,,,"14.31","1245.54","20.1","6.8","208.34","15.88","3.9","168.84",,,"66.95","57.49","430.12",,"66.71","46.73",,"92.25","61.43",,"5852.82","5852.82",,"5852.82",,"2437.56","4.58",,"15.92",,"309.65","77.21","601.62","66.21","1290.49","3.8","8.19",,"-1.88","54.35","7.42",,,"2.09",,,"315.28","3.1","12.69","15.88","0.13","15.02","11.59","3.06","1.44",,"10.76","3.95",,"0.21","5.75","4.7","0.18","4.66","5.4","68.78","8.45","1.89",,"0.05","7.97","0.05","10.07","5.77","3.97","2.11","4.31",,,"7.45","16763.54","9866.47","11.76"
"WorldBank Lower-middle income countries",,"42697.88","24841.65","1510.29","16345.95","1331.34","1077.76","93.42","196.74","645.82","15.29","277.05","107.99","2357.8","2713.91","1.39","57.7","2.37","88.2","227.34","4798.27","948.24","118.53","183.21","141.71","367.25","171.21","31.31","3.86","2.53","93.05","623.7","549.93","2296.45","6649.64","4431.81",,"0.73","0.04","0","4.98","81.47","0.61","-472.39","0.61",,"2.75","0.19",,"41.14","85.53","1026.92",,"58.44",,"207.33","471.95",,"-340.68","-340.68","1714.11","621.61","11.32","610.3","458.25","458.25","650.79","650.79","0.22",,"-0.23",,"-16.53","1520.2","20.99","15.62","224.06","42.34","6.61","67.49",,,"74.64","80.02","366.72",,"29.9","438.29",,"74.1","79.41",,"5958.48","5958.48",,"5958.48",,"3062.03","16.49",,"167.22","0.07","135.68","245.84","719.89","133.11","1451.96","8.53","49.87",,"-11.93","129.81","15.49",,"1.93","2.22",,"1.37","843.61",,"13.38","57.1","3.83","13.46","10.57","32.35","12.35","1.72","10.72","7.28",,"8.65","29.71","1.36","6.73","6.15","18.43","98.26","12.75","1.75","2.78","20.21","22.87","13.62","21.83","11.8","30.51","3.86","2.71",,"0.67","4.81","19689.22","9660.67","8.19"
"WorldBank Upper-middle income countries",,"18732.78","12900.28","1921.31","3911.18","1667.09","451.01","169.97","94.91","347.97","26.75","87.68","47.15","1710.28","4695.8","9.05","44.84","1.94","29.86","138.84","-1955.48","238","20.02","182.13","86.47","375.78","47.37","9.08","4.62","18.53","127.64","266.98","316.61","878.7","4427.78","3694.17","0.11","3.34","14.72","2.8","3.83","75.15",,"504.23","1.67",,"4.46","0.46",,"13.81","390.98","92.93",,"2.01",,"139.05","671.77",,"-50.21","-50.21","-66.96","1.11","5.92","-4.82","-93.13","-93.13","40.99","40.99",,"0.21","6.91",,"-23.04","595","11.38","17.1","-23.48","32.33","3.87","13.31",,,"30.63","71.73","76.65",,"19.32","274.25",,"18.84","49.07",,"-993.8","-993.8",,"-993.8",,"732.98","17.54",,"-52.81","0.41","48.98","75.28","15.7","166.36","292.84","3.87","52.92",,"-2.66","60.83","53.7",,"3.4","3.45","1165.36","6.01","81.52",,"3.76","28.14","5.81","0.81","31.43","79.79",,"38.02","9.13","2.33",,,"21.27","0.59","6.63","5.31","16.63","16.05","8.07","0.16","5.28","11.01","22.05","7.02","0.62","29.57","35.4","4.68","13.19",,"0.67","3.92","10243.89","8610.2","17.78"
"WorldBank High income countries",,"247.94","170.97","5.55","71.42","20.17","25.15","0.05","0.05","1.28","0.05",,,"41.98","2.13",,,,,"0.42","19","-0.2",,"0.02","3.53",,"0.01","0.01",,,"-1.72","0.01","0.9","1.98","76.32","34.92",,,,,,"0.64",,,,,,"0",,"0.01",,"0.12",,"0.23",,"0","4.54",,,,"16.75","0.92","1.07","-0.15","3.61","3.61","3.51","3.51",,"8.71",,,,"4.4","0.69","0.45","-0.61","1.18",,"0.36",,,"0.53",,"0.86",,,,,,"0.94",,,,,,,"15.34","1.67",,,,,,,"3.24","3.47",,"7.16",,"-0.19",,,,,"0.02","19.54",,"0.32",,,,"0.07",,,"0.11",,,,,,,,,,,,,,,,,,,,,,"0.12",,,,,"143.11","45",
"Countries not classified by the World Bank",,"236.71","198.73","0.01","37.98","0.17","2.81",,,,,,,"33.01","0.03",,,,,,"3.07","0.16",,,"69.67",,,,,,,,,"89.98",,"34.94",,,,,,,,,,,,,,,,,,"0.01",,,,,,,"-1.26",,,,"-1.33","-1.33",,,,"0.07",,,,"0.47","0.09",,,"0.05",,"0.13",,,,,,,,,,,"0.2",,,,,,,"3.83","1.34",,,,,,,"2.16",,,"0.32",,,,,,,,,,,,,,,,"0.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,"126.09","123.02",
"HIPCs, Total",,"41141.1","21831.53","886.16","18423.41","801.22","114.27","50.01","420.84","992.95","12.47","401.87","105.75","1833.53","2294.54","0.19","3.25","24.65","230.54","351.02","1164.47","463.56","145.22","466.7","5.46","587.62","30.22","61.11","0.59","0.48","144.06","1014.62","469.12","2326.21","8116.21","4235.42",,"0.24","0.55","0","1.73","8.25","4.68","412.27",,,"0.16","0.1",,"0.91","38.02","168.43",,"1.44",,"105.11","144.28",,"240.19","240.19","2415.94","1406.01","79.05","1326.95","205.38","205.38","800.53","800.53",,"1.15",,,"2.88","1387.97","20.31","10.39","243.02","24.13","5.6","181.71",,,"78.81","88.74","487.13",,"73.72",,,"106.49","67.92",,"6981.25","6981.25",,"6981.25",,"3162.64","10.66",,"74.95",,"289.22","109.73","742.58","96.66","1724.55","4.98","13.45",,"-7.19","103.04",,,,"3",,"0.03","430.61","2.6","18.66","19.44","0.36","22.46","12.19","7.62","8.45","1.72","13.72","3.64",,"8.86","6.47","3.86","0.18","1.7","6.32","144.33","19.4","2.99",,"0.05","10.02","1.32","16.69","7.17","8.98","3.54","5.02",,"0.67","9.18","17078.94","9893.23","14.86"
"Land-Locked countries, Total",,"28881.77","15029.02","726.19","13126.56","483.76","156.39","63.47","204.24","521.21","19.23","291.14","74.6","564.99","1760.26","0.31","36.95","18.87","149.36","223.41","1053.25","446.03","139.57","385.59","12.99","467.94","8.76","2.78","1.66","4.91","85.18","629.68","440.81","1637.79","5627.66","2887.98",,"1.31","0.87","0","3.13","8.46","9.13","197.87","0.35",,"0.63","0.02",,"39.16","101.68","64.83",,"23.67",,"241.22","33.86",,"103.93","103.93","1661.61","688.34","2.77","685.57","624.18","624.18","365.59","365.59","0.16",,"-0.14",,"-16.52","876.99","13.72","11.96","201.97","21.1","3.59","101.46",,,"48.72","51.96","278.53",,"32.88",,,"57.56","53.55",,"5566.9","5566.9",,"5566.9",,"2029.15","3.25",,,"0.07","149.15","87.69","396.07","81.67","1171.59","5.36","14.43",,"-6.5","96.01","30.36",,"0.95","0.9",,,"261.3","2.6","10.98","18.92","0.26","14.01","7.16","4.27",,"1.72","12.87","2.91",,"0.21","5.02","1.18",,"0.83","9.5","70.61","7.08","2.54","0.02","0.05","14.13","0.32","9.78","3.7","4.65","2.29","5.69",,,"7.31","11388.57","6283.88","13.01"
"Small island states, Total",,"4941.06","2689.24","598.55","1653.28","181.92","794.38","14.19","24.37","108.49","0.39","3.07","0.16","231.9","40.42","0.01","0.11","0","1.74","16.16","344.29","32.28","16.92","2.04","206.6","15.19","0.11","62.91","0.17","0.07","14.16","6.06","32.37","62.36","658.29","461.32",,,,,"0.03","0.88",,"96.39",,,"0","0.01",,"0.16","358.62","77.03",,"1.2",,"0.87","63.36",,"-28.08","-28.08","219.18","23.55","2.29","21.26","62.58","62.58","124.75","124.75",,"8.99",,,"-0.69","120.74","6.65","1.84","15.79","7.07","0.83","15.49",,,"7.98","2.67","35.73",,"7.27",,,"1.07","18.35",,"575.48","575.48",,"575.48",,"304.63","9.84",,"0.68",,"21.33","31.56","15.26","55.76","97.76","2.43","35.57",,"-1.52","35.95",,,"0.62","0.65","143.93",,"19.51",,"0.41","0.2","0.35",,"1.48","2.03",,,,"0.58",,,"2.96",,,,"2.38","0.2","5.78",,,,,,"0.15","0.15",,"0.55",,,,,"1461.93","497.34",
