Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients",,,"150063.81","20330.8","43697.15","6904.68","3149","1165.57","2347.97","4640.51","305.36","2576.83","984.1","12845.85","25670.38","290.38","284.94","74.21","934.21","5098.81","10064.27","2423.37","473.36","5616.57","556.03","4257.62","759.18","387.79","137.74","83.51","2589.59","6000.04","3097.34","19462.21","33787.08","17116.27","28.36","68.5","78.89","25","48.76","365.45","44.19","273.37","34.42","26.12","64.92","32.9",,"248.82","999.08","4838.89","291.54","134.18",,"8611.79","4115.62",,"-136.06","-136.06","3653.43","2076.17","98.46","1977.71","704.25","704.25","873.42","873.42","0.22","17.96","6.68",,"-25.26","5374.9","396.86","75.94","408.31","226.51","189.45","301.56",,,"211.56","479.58","1492.29",,"118.99","759.28",,"185.67","519.14","9.75","10894.32","10894.32",,"10894.32",,"6794.28","49.29",,"141.01","1.18","500.51","406.22","1530.99","452.66","3182.98","18.57","134.64",,"5.03","255.51","115.68",,"53.02","15.91","118.17","14.33","3991.36","18.47","36.05","231.05","27.63","46.41","122.89","224.44","13.79","115.24","8.78","16.29",,"16.07","84.37","30.28","44.4","21.02","48.05","263.17","58.05","9.28","11.51","31.28","211.12","52.76","107.09","275.31","209.02","11.29","248.55","0.49","47.34","70.38","111569.1","88014.38","366.76"
"All Developing Countries, Total",,"167559.85","105194.76","19026.46","43338.63","6344.17","2550.38","482.82","1335.72","3493.62","100.16","1797.15","475.86","7372.2","19458.43","38.58","129.12","61.12","530.32","2140.04","6098.89","1799.57","343.47","3745.73","462.65","3229.3","238.07","131.92","32.34","29.28","707.29","3837.1","2331.42","12307.47","29934.72","16757.76","5.34","9.75","16.67","3.32","21.68","315.38","33.42","273.37","4.92","18.71","12.06","20.52",,"59.24","628.16","4810.18","258.49","61.84",,"8433.02","4040.41",,"-136.06","-136.06","3653.43","2076.17","98.46","1977.71","704.25","704.25","873.42","873.42","0.22","17.96","6.68",,"-25.26","5374.9","396.86","75.94","408.31","226.51","189.45","301.56",,,"211.56","479.58","1492.29",,"118.99","759.28",,"185.67","519.14","9.75","10894.32","10894.32",,"10894.32",,"6794.28","49.29",,"141.01","1.18","500.51","406.22","1530.99","452.66","3182.98","18.57","134.64",,"5.03","255.51","115.68",,"53.02","15.91","118.17","14.33","3430.85","18.47","36.05","231.05","27.63","46.41","122.89","224.44","13.79","115.24","8.78","16.29",,"16.07","84.37","30.28","44.4","21.02","48.05","263.17","58.05","9.28","11.51","31.28","211.12","52.76","107.09","275.31","209.02","11.29","248.55","0.49","47.34","70.38","80805.36","55233.09","366.76"
"All Multilateral Recipients, Total",,"46531.91","44869.05","1304.34","358.52","560.51","598.62","682.75","1012.24","1146.89","205.2","779.68","508.23","5473.65","6211.95","251.8","155.82","13.08","403.88","2958.77","3965.38","623.8","129.89","1870.84","93.38","1028.32","521.11","255.86","105.39","54.23","1882.3","2162.94","765.92","7154.74","3852.36","358.52","23.02","58.75","62.23","21.68","27.09","50.07","10.77",,"29.51","7.41","52.86","12.38",,"189.58","370.92","28.71","33.05","72.34",,"178.77","75.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"560.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30763.74","32781.3",
"Africa, Total",,"55738.16","30423.84","2455.46","22858.85","1888.78","74.44","87.68","473.96","1328.05","12.03","415.06","131.67","2772.97","4322.21","1.04","25.34","24.75","266.72","377.14","1385.76","504.44","156.54","829.05","12.05","788.31","38.02","68.38","2.27","0.7","67.13","1188.68","556.23","3819.4","10693.82","6672.6",,,"0.22","0.3","0.64","11.26",,"1197.7","0.35",,"0.43","0.5",,"1.51","29.67","811.22",,"2.3",,"134.8","264.55",,"107.64","107.64","2074.22","2076.17","98.46","1977.71",,,,,,,,,"-1.95","1792.13","102.83","23.32","277.46","42.2","7.79","231.72",,,"102.47","135.3","548.35",,"77.27",,,"110.46","132.32","0.64","8072.36","8072.36",,"8072.36",,"4139.9","28.7",,"168.5",,"295.01","167.84","791.98","131.83","2398.14","4.85","33.88",,"7","112.17",,,"1.65","8.34",,"0.05","1084.19","13.22","32.2","65.28","4.17","36.35","13.12","44.26","13.79",,"15.7","4.51",,"8.8","23.61","10.1","0.49","4.81","7.9","256.77","31.12","4.83","0.02","11.06","23.8","8.84","33.66","49.41","37.97","4.46","19.59",,"3.33","11.36","24699.35","15055.99","34.29"
"North of Sahara, Total",,"4584.98","1909.51","1515.3","1160.16","10.2","0.25","13.91","23.62","13.98","0.35","12.09","3.84","518.84","717.32","0.73","6.69",,"0.16","55.65","178.45","89.59","1.34","21.97","0.21","21.08","0.24","4.3","0.01","0.18","-15.48","16.93","42.07","86.8","94.4","989.42",,,,,"0.06","0.4",,"741.49",,,"0.02","0.06",,"0.43",,"622.09",,"0.12",,"23.4","127.24",,,,"-6.75","-3.48","5.46","-8.93",,,,,,,,,"-3.28","58.84","1.45","1.59","9.82","3.43","0.39","1.55",,,"4.16","15.08","8.81",,"1.96",,,"3.69","6.91",,"-100.53","-100.53",,"-100.53",,"219.18",,,"75.52",,"11.76","70.65",,"14.8","10.4",,"9.62",,"-0.29","26.74",,,"1.65","0.12",,,"1.11","0.95",,,"0.91",,,"1.26",,,,"0.58",,,,,,,,,"3.41",,"0.02",,"0.1",,"0.08","0.01",,,,,,,"1665.44","1469.48",
"South of Sahara, Total",,"47912.35","26464","934.09","20514.26","1705.03","66.87","67.39","444.49","896.07","11.68","367.68","104.23","2169.44","3016.4","0.31","8.57","24.75","263.07","295.1","1159.01","405.03","146.67","761.35","11.06","707.2","37.39","60.29","2.26","0.53","80.04","1103.57","488.61","3165.53","10599.42","5137.21",,,"0.22",,"0.25","10.86",,"456.2",,,"0.16","0.17",,"1.09","29.67","189.14",,"2.18",,"106.85","137.31",,"107.64","107.64","1681.61","1680.29","90.15","1590.13",,,,,,,,,"1.33","1551.55","24.25","12.66","267.64","29.81","7.33","185.22",,,"98.3","118.17","539.55",,"75.31",,,"106.77","86.54",,"8152.8","8152.8",,"8152.8",,"3883.45","28.7",,"92.99",,"283.25","97.19","791.98","113.04","2356.48","4.85","24.26",,"7.61","83.1",,,,"4.42",,"0.03","953.04","10.82","32.2","65.28","0.66","36.35","12.51","34.47","13.79",,"15.7","3.93",,"8.8","23.06","10.04","0.49","4.81","7.9","256.77","27.66","4.83",,"11.06","18.46","7.99","31.48","37.09","35.02","4.46","17.23",,"3.33","11.36","21300.96","12105.99","31.93"
"Eastern Africa, Total",,"23599.62","13746.63","457.19","9395.8","650.04","39.7","40.5","176.36","376.94","7.57","231.72","84.82","356.42","1087.35","0.11","3.05","22.4","209.15","154.12","745.95","273.47","8.11","354.1","8.01","457.76","37.75","30.84","2.24","0.24","28.06","718.03","173.01","1938.45","6180.38","1690.91",,,"0.1",,"0.16","4.97",,"162.03",,,"0.02","0.03",,"0.49","20.68","91.55",,"1.48",,"73.05","102.63",,"-371.6","-371.6","913.59","911.93","3.65","908.28",,,,,,,,,"1.67","667.82","8.65","5.33","143.49","10.89","3.43","94.49",,,"40.06","42.91","230.06",,"22.74",,,"28.27","37.51",,"4471.05","4471.05",,"4471.05",,"2024.04","7.57",,"20.19",,"132.78","49.43","428.67","51.78","1263.53","3.66","10.85",,"-1.88","57.46",,,,"1.34",,,"346.91","2.6","16.95","34.87","0.15","17.42","6.98","12.66","13.79",,"3.82","2.51",,,"5.41","3.86","0.18","1.76","5.55","111.19","3.54","2.03",,"0.05","13.72","1.76","15.82","7.79","6.95","1.81","2.89",,,"5.73","10839.6","5469","8.62"
"Middle Africa, Total",,"5695.74","2870.7","26.2","2798.84","61.43","7.56","1.59","138.93","112.23","0.57",,"1.46","661.54","348.4","0.07","1.46",,"19.2","36.52","103.65","42.74","6.46","31.61","0.05","51.14","-1.56","-7.13","0","0.07","10.65","122.3","73.94","323.37","783.88","637.9",,,,,,"0.73",,"8.69",,,,"0.03",,"0.37","3.38","8.34",,"0.03",,"1.26","3.39",,"231.25","231.25","291.41","282.39","80.28","202.12",,,,,,,,,"9.01","279.04","3.71","1.52","15.17","5.21","1.21","26.98",,,"16.96","26.9","114.82",,"16.84",,,"32.97","16.74",,"843.63","843.63",,"843.63",,"515.62",,,,,"106.22","11.85","96.47","13.32","285.01",,"2.81",,,"-0.07",,,,"1.22",,,"45.14",,"0.66",,,,"4.69","0.06",,,"0.82","0.19",,,"2",,,,,"2.32",,,,,"0.75",,,"2.86",,,"0.71",,,,"2369.6","1695.51","0.71"
"Southern Africa, Total",,"1441.32","1111.78","14.91","314.63","101.53","5.49","0.97","11.53","5.31","0.1","1.74","2.7","-22.18","159.99","0.1","0.86","0.07","4.9","1.45","21.19","0.85","0.58","0.44","0.25","6.17","0.03","1.89","0.01",,"0.18","5.34","17.82","42.05","841.91","54.69",,,,,,"1.02",,"13.6",,,"0","0.01",,"0",,"-0.36",,"0.15",,"1.97","-1.48",,"-11.92","-11.92","2.28","2.28","3.23","-0.95",,,,,,,,,,"30.5","1.95","1.58","1.91","2.41","0.77","1.67",,,"3.43","1.28","7.65",,"0.6",,,"1.02","6.22",,"27.63","27.63",,"27.63",,"211.45","4.37",,,,,,"0.83","14.13","182.16",,"8.54",,"-0.35","1.77",,,,"0.44",,,"30.19",,"2.99","0.4","0.25","0.03","0.2","12.51",,,,,,,"0.05",,,"3.04",,"11.09","3.54",,,"11.01","1.7","3.76","0.17","12.8","1.29","0.5","2.01",,"0.67","2.88","1049.73","212.71","5.55"
"Western Africa, Total",,"14038.4","6707.88","419.42","6911.1","432.29","8.79","12.31","111.98","381.18","3.4","124.81","4.81","1031.1","837.51","0.02","3.2","2.25","29.5","81.51","286.15","82.89","129.43","117.34","0.85","91.1","1.16","32.9",,"0.22","35.24","154.51","171.82","663.96","2307.96","1765.78",,,,,"0.09","4.12",,"271.88",,,"0.14","0.1",,"0.16","5.62","89.61",,"0.53",,"14.4","32.77",,"259.91","259.91","474.34","483.69","3","480.68",,,,,,,,,"-9.35","548.01","9.95","4.23","107.07","8.98","1.88","62.09",,,"31.28","33.89","182.92",,"35.13",,,"44.52","26.08",,"2759.58","2759.58",,"2759.58",,"1103.48","9.11",,"72.8",,"44.24","35.92","266","33.8","617.78","1.18","2.06",,"-2.56","23.14",,,,"0.52",,"0.03","264.06",,"5.82","9.28","0.26","9.82","0.64","6.5",,,"10.82","1.23",,"8.65","15.6",,,,"1.85","53.53","16.92","0.82",,,,"2.09","8.74","1.34","6.18","2.14","2.83",,"0.67","1.96","5589.35","3374.91","5.46"
"America, Total",,"10539.51","6860.93","567.75","3110.83","1473.73","3.78","34.04","72.62","419.93","1.32","30.84","4.83","1033.35","1417.09","0","3.6","0.54","9.94","-4.47","187.91","215.26","29.3","30.48","5.24","191.17","0.52","6.81","0.21",,"309.88","122.98","192.36","474.07","2067.33","1354.23","0.01",,"0.02","0","0.03","13.84",,"116.44","0.01",,"0.1","0.02",,"0.31","366.75","32.45",,"0.42",,"21.28","16.07",,"-39.68","-39.68","891.03",,,,,,"873.42","873.42",,"17.96",,,"-0.35","269.88","48.25","15.09","2.94","29.88","1.56","10.8",,,"19.64","29.93","37.1",,"18.45",,,"13.88","42.04","0.31","241.03","241.03",,"241.03",,"394.34","8.18",,,,"40.02","59.72","13.6","77.52","120.53","1.08","15.62",,"-3.47","61.54",,,,"1.76","1184.89","4.82","35.06",,"0.94","8.15","6.97","0.98","12.33","47.72",,"69.58",,"1.46",,,"9.82","8.41","5.68","1.95","10.55","4.96",,"1.45","4.09",,"13.13","5.7","0.63","4.48","15.12","3.21","9.41",,,"0.47","5595.21","3577.42","9.88"
"Caribbean & Central America, Total",,"5133.94","3198","495.01","1440.93","261.09","2.58","26.49","33.76","198.86","0.58","4.67","2.27","247.25","368.43","0","0.64","0.36","5.92","22.62","170.54","78.91","22.87","14.91","2.45","21.46","0.11","0.75","0.2",,"104.89","47.71","77.06","263.73","1478.01","554.17",,,,,"0.03","4.16",,"76.62","0.01",,"0.01","0.02",,"0.26","366.29","32.35",,"0.23",,"2.23","12.8",,"-39.68","-39.68","459.48",,,,,,"442.76","442.76",,"16.72",,,,"89.95","3.97","3.41","0.48","9.85","0.75","6.92",,,"12.5","5.73","22.71",,"8.5",,,"6.85","8.28",,"182.29","182.29",,"182.29",,"194.72","4.76",,,,"13.7","30.03","11.52","28.16","83.13","0.3","4.68",,"-2.19","20.63",,,,"1.2","163.46",,"24.74",,"0.25","3.86","0.92","0.9","6.57","15.95",,,,"0.33",,,"6.71","4.53","1.15","1.89","7.79","4.96",,,"2.84",,"1.37","0.79","0.15","0.36","8.76","1.15",,,,"0.47","2749.44","1167.77","0.47"
"Caribbean, Total",,"2388.2","1251.31","463.97","672.92","169.73","1.89","13.32","23.21","141.86","0.32","3.07","0.1","166.55","25.17",,"0.08",,"1.33","11.31","92.87","9.51","2.19","-1.27","1.8","10.26","0.02","0.35","0.17",,"10.17","4.6","31.41","201.12","499.9","271.58",,,,,,"0.42",,"62.97",,,,"0.01",,"0.14","358.6","29.88",,"0.06",,"0.03","11.87",,"-20.96","-20.96","123.12",,,,,,"107.83","107.83",,"15.29",,,,"30.88","1.58","1.09","-1.21","1.97","0.54","4.76",,,"3.12","1.86","13",,"0.45",,,"0.1","3.62",,"151.95","151.95",,"151.95",,"116.35","1.04",,,,"12.14","15.19","7.69","8.67","46.27",,"3.15",,"-0.75","22.95",,,,"0.64","143.93",,"17.07",,"0.25",,"0.35",,"0.78","2.04",,,,,,,"1.32","2.06",,,,,,,,,,,"0.15","0.36",,"0.77",,,,,"1138.79","461.8",
"Central America, Total",,"2393.06","1618.8","29.25","745.01","83.97","0.69","12.68","9.37","53.89","0.27","0.47","2.02","80.14","271.86","0","0.56","0.36","4.19","8.86","77.67","69.4","18.55","9.94","0.65","9.74","0.08","0.39","0.03",,"89.19","37.11","39.65","29.66","791.39","266.2",,,,,"0.03","3.74",,"13.65","0.01",,"0.01","0.01",,"0.03","7.69","2.48",,"0.17",,"0.91","0.52",,"-18.72","-18.72","336.36",,,,,,"334.94","334.94",,"1.42",,,,"52.46","2.39","2.32","1.69","6.4","0.21","2.17",,,"5.76","2.77","9.72",,"8.05",,,"6.75","4.23",,"30.34","30.34",,"30.34",,"78.37","3.72",,,,"1.56","14.84","3.83","19.48","36.87","0.3","1.53",,"-1.44","-2.32",,,,"0.14","19.54",,"6.08",,,"3.86","0.58","0.5","5.19","12.84",,,,"0.33",,,"5.37",,"1.15","1.89","7.22","4.96",,,"2.84",,"1.1","0.79",,,"8.76","0.38",,,,"0.47","1313.48","575.36","0.47"
