Recipient,"FakeColumn","Donor(s)","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients","",,"105565.26","4433.3","24758.17",,"2123.19","1498.45","1976.92","3683.13","160.87","2236.12","834.5","10600.61","10434.78","424.13","149.49","41.5","1021.67","3641.08","11135.75","455.27","290.72","5451.71","258.68","2945.18","299.7","396.36","55.11","44.01","3813.69","3954.99","1646.48","12459.03","23532.14","10245.14",,,,"26.02","14.02","89.83",,"157.93","11.81",,"25.04",,,,,"2024.9","513","73.73",,"714.34","782.68",,"387.48","387.48","2452.37","2180","182.72","1997.28",,,,,,"31.84",,"11.06","229.47","3265.73",,"73.53","226.31",,"180.69","436.51",,,"212.33","184.07","736.35",,,"371.81","370.65","473.48",,,"6291.95","6291.95",,"6291.95",,"2115.5",,"71.6",,,,,,"496.23","1251.75",,,"81.11","67.95","146.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75486.52","59743.94",
"All Developing Countries, Total","","106044.42","77622.45","4217.86","24204.11",,"1796.03","1091.65","1356.46","2533.89","77.7","1463.91","454.7","7919.4","7034.04","189.35","84.34","27.68","632.29","2000.93","7261.75","376.08","204.88","4282.23","202.82","2161.83","121.87","211.29","24.75","17.56","2091.98","2851.91","1254.01","8735","21162.12","9699.35",,,,"14.19","1.94","75.28",,"156.64","0.91",,"8.22",,,,,"1980.12","494","64.68",,"642.71","779.17",,"387.48","387.48","2444.1","2180","182.72","1997.28",,,,,,"31.84",,"11.06","221.2","3265.73",,"73.53","226.31",,"180.69","436.51",,,"212.33","184.07","736.35",,,"371.81","370.65","473.48",,,"6291.95","6291.95",,"6291.95",,"2115.5",,"71.6",,,,,,"496.23","1251.75",,,"81.11","67.95","146.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56647.13","40846.24",
"All Multilateral Recipients, Total","","28712.31","27942.81","215.44","554.06",,"327.16","406.8","620.46","1149.24","83.17","772.21","379.8","2681.21","3400.74","234.78","65.15","13.82","389.38","1640.15","3874","79.19","85.84","1169.48","55.86","783.35","177.83","185.07","30.36","26.45","1721.71","1103.08","392.47","3724.03","2370.02","545.79",,,,"11.83","12.08","14.55",,"1.29","10.9",,"16.82",,,,,"44.78","19","9.05",,"71.63","3.51",,,,"8.27",,,,,,,,,,,,"8.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18839.39","18897.7",
"Africa, Total","","44547.82","31666.01","492.24","12389.57",,"62.33","551.44","849.34","1066.51","7.42","762.27","191.41","5158.64","3463.01","17.07","0.01","10.69","389.14","1084.25","2595.83","47.83","103.55","1342.37","9.98","776.75","93.72","124.96","16.29",,"474.8","886.29","312.74","5462.33","5805.04","4171.85",,,,"0.67","0.09","26.47",,"91.68",,,"0.05",,,,,"40.98",,"0.94",,"24.86","306.5",,"125.9","125.9","2295.7","2180","182.72","1997.28",,,,,,,,,"115.7","1147.95",,"22.19","122.97",,"19.68","233.98",,,"97.35","25.23","301.04",,,,"103.35","222.16",,,"3522.68","3522.68",,"3522.68",,"1125.49",,"70.21",,,,,,"148.33","789.01",,,"0","35.26","82.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24635.61","20978.31",
"North of Sahara, Total","","2869.65","1691.98","270.45","907.22",,"9.89","23.09","31.72","22.47","1.57","29.46","5.07","724.93","271.19","3.87","0.01",,"0.57","28.39","62.84","8.98","3.01","12.06","0.01","2.48","0.07","0.43",,,"191.38","4.74","16.3","35.26","202.19","794.64",,,,,,"0.64",,"30.9",,,,,,,,,,"0.11",,"3.33","235.47",,,,"13.71","4.03",,"4.03",,,,,,,,,"9.68","40.8",,"3.83","4.6",,"0.49","4.45",,,"6.1","2.82","6.91",,,,"7.93","3.67",,,"10.9","10.9",,"10.9",,"47.17",,,,,,,,"17.79","5.52",,,"0","-0.09","23.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1347.27","1366.82",
"South of Sahara, Total","","40931.48","29316.92","180.81","11433.75",,"48.51","526.55","810.17","834.59","5.74","709.82","166.01","4274.31","3184.22","12.71",,"10.69","388.57","1053.56","2519.34","38.85","99.92","1285.34","9.97","708.61","93.54","124.24","16.29",,"276.08","825.79","293.85","5396.8","5602.85","3376.69",,,,"0.67","0.09","25.83",,"60.78",,,"0.05",,,,,,,"0.83",,"21.53","71.03",,"125.9","125.9","2281.99","2175.97","182.72","1993.25",,,,,,,,,"106.02","1074.52",,"10.91","118.37",,"19.19","229.53",,,"85.34","22.41","294.13",,,,"76.15","218.49",,,"3505.35","3505.35",,"3505.35",,"1069.3",,"70.21",,,,,,"121.52","783.49",,,,"35.35","58.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22865.67","19249.66",
"Eastern Africa, Total","","15476.88","9528.07","125.3","5823.51",,"27.49","54.06","141.36","323.24","2.79","400.97","121.64","701.11","699.99","4.66",,"8.67","302.06","233.98","523.24","24.29","12.78","561.38","7.34","564.15","0.65","24.35","15.58",,"79.19","544.63","92.6","1534.19","2521.68","1705.04",,,,"0.1","0.06","23.91",,"22.32",,,,,,,,,,"0.61",,"19.67","58.63",,"82.07","82.07","1095.72","1085.77","32.25","1053.52",,,,,,,,,"9.95","556.82",,"5.03","73.87",,"7.58","108.26",,,"34.19","10.15","133.18",,,,"29.96","154.6",,,"1790.6","1790.6",,"1790.6",,"593.26",,"27.72",,,,,,"29.72","487.56",,,,"22.98","25.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6537.43","5435.37",
"Middle Africa, Total","","4840.1","3510.94","9.33","1319.83",,"1.77","448.12","292.97","244.62","1.04","25.22","11.01","432.83","312.5","3.16",,,"19.69","58.15","63.34","10.96","5.34","57.18","0.13","53.14","92.56","33.19",,,"-29.93","68.63","25.59","326.12","953.61","451.96",,,,,"0.03","0.13",,"6.3",,,"0.01",,,,,,,"0.02",,"0.7","2.14",,"-25.07","-25.07","215.52","208.88","127.1","81.78",,,,,,,,,"6.64","142.51",,"1.26","3.89",,"2.63","35.78",,,"17.53","2.56","52.12",,,,"12.97","13.77",,,"438.49","438.49",,"438.49",,"96.42",,"4.53",,,,,,"8.21","83.8",,,,,"-0.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2391.17","2157.78",
"Southern Africa, Total","","1045.14","756.15","-3.3","292.29",,"3.98","1.13","25.14","16.09","0.55","26.43","18.98","161.25","60.68","1.21",,"2.02","34.54","2.44","33.56","0.26","8.35","54.89","1.44","19.45","0.01","0.35",,,"8.71","32.7","10.24","10.86","220.89","183.42",,,,"0.23",,"0.44",,"-4.21",,,,,,,,,,"0.04",,"0.03","0.17",,"-0.51","-0.51","-1.81","-1.81",,"-1.81",,,,,,,,,,"34.38",,"0.93","3.02",,"4.17","5.84",,,"3.15","1.53","5.79",,,,"6.43","3.52",,,"5.74","5.74",,"5.74",,"71.07",,"0.73",,,,,,"17.74","51.6",,,,"-0.13","1.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"505.77","448.22",
"Western Africa, Total","","17937.87","14179.55","49.48","3708.84",,"0.93","17.59","316.36","167.61","1.36","238.63","5.7","2924.7","1994.34","0.95",,,"32.28","750.11","1893.76","3.34","65.45","516.68","0.27","41.5","0.32","62.68",,,"208.25","74.17","133.37","3491.4","1237.8","915.42",,,,"0.34",,"1.35",,"36.37",,,"0.04",,,,,,,"0.16",,"1.13","10.09",,"69.41","69.41","865.94","776.51","23.37","753.14",,,,,,,,,"89.43","337.22",,"3.69","37.59",,"4.64","79.54",,,"30.47","8.16","100.84",,,,"26.79","45.5",,,"1263.5","1263.5",,"1263.5",,"257.35",,"37.23",,,,,,"23.16","152.02",,,,"12.5","32.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12459.72","10700.97",
