Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"America, Total",,"10211","5881.63","398.6","3930.78","52.36","11.12","17.58","67.29","357.7","0.69","34.13","25.51","1134.77","1126.5","0.26","1.1",,"9.41","38.99","-18.41","114.06","21.25","25.56","6.7","238.22","0.38","5.25","0.31","0.04","114.75","100.38","229.52","243.23","1975.32","1045.83",,,,,"0.11","7.74",,"1",,,"0.04","0.04",,"0.17","356.84","5.22","7.39","0.53",,"19.01","0.49",,"-25.71","-25.71","1934.94",,,,,,"1905.7","1905.7",,"28.99",,,"0.25","238.44",,"11.88","-1.17","38.03","12.06","20.03",,,"28.26","20.51","35.24",,"2.56",,,"9.55","61.5",,"360.19","360.19",,"360.19",,"377.09","10.99",,,,,"11.59","23.73","164.04","112.87","0.88","0.17","0.74","8.65","43.43",,,,"0.79",,,"41.28",,"1.49",,,"0.3",,,,,,,,,,,,,,,"0.8",,"7.71",,,,,,,,,,,,"4858.11","2967.39",
"Caribbean & Central America, Total",,"4572.78","2468.79","370","1733.99","20.78","4.69","9.58","18.38","159.65","0.3","6.76","12.86","233.07","211.23","0.08","0.07",,"7.48","12.09","-27.91","43.79","15.32","10.95","2.64","37.85","0.12","0.29","0.26","0.04","177.85","39.98","88.84","121.26","1281.29","455.62",,,,,,"1.63",,"-2.02",,,,"0.01",,"0.08","356.53","5.22","7.39","0.32",,"0.67","0.17",,"-16.64","-16.64","802.09",,,,,,"774.79","774.79",,"27.3",,,,"86.83",,"2.91","-1.6","11.24","5.84","11.87",,,"19.66","8.31","18.25",,"2.45",,,"7.9",,,"193.76","193.76",,"193.76",,"212.34","1.28",,,,,"8.38","16.69","67.39","82.98","0.41","0.07",,"5.15","29.98",,,,"0.44",,,"15.09",,"1.41",,,"0.3",,,,,,,,,,,,,,,"0.8",,"2.73",,,,,,,,,,,,"1990.68","877.95",
"Caribbean, Total",,"2219.58","1211.16","357.93","650.49","7.51","1.26","0.23","9.78","109.94","0.22","0.02","1.16","228.5","17.91","0.02","0.02",,"2.38","1.8","28.62","19.85","1.08","-0.04","2.2","11.93","0.04","0.05","0.26","0.04","130.47","2.6","31.3","85.65","523.87","252.05",,,,,,"0.14",,"0.21",,,,,,"0.02","351.97","5.22",,"0.04",,"0.25","0.08",,"14.46","14.46","209.39",,,,,,"183.43","183.43",,"25.96",,,,"31.76",,"0.85","-1.66","1.82","3.96","5.86",,,"4.66","1.31","8.67",,,,,"6.28",,,"64.09","64.09",,"64.09",,"78.74",,,,,,"2.05","9.38","12.45","42.3",,,,"-0.63","13.2",,,,"0.03",,,"5.26",,"1.41",,,,,,,,,,,,,,,,,,"0.8",,,,,,,,,,,,,,"996.29","482.2",
"Central America, Total",,"1970.4","996.07","4.48","969.85","9.9","3.43","9.8","8.6","48.96","0.08","3.29","9.18","2.88","166.43","0.06","0.04",,"3.66","8.24","-56.53","23.94","12.05","0.16","0.36","21.96","0.08","0.11",,,"25.71","33.19","47.95","28.92","593.52","179.63",,,,,,"1.49",,"-2.23",,,,"0.01",,"0.05","4.56",,,"0.28",,"0.22","0.09",,"-31.1","-31.1","538.53",,,,,,"537.19","537.19",,"1.34",,,,"37.16",,"2.06","0.06","5.08","1.88","4.41",,,"7.19","2.85","9.58",,"2.45",,,"1.62",,,"129.66","129.66",,"129.66",,"115.97","1.28",,,,,"5.52","7.32","45.44","38.63","0.41","0.07",,"0.77","16.53",,,,,,,"6.87",,,,,"0.3",,,,,,,,,,,,,,,,,"2.73",,,,,,,,,,,,"792.42","312.49",
"South America, Total",,"4321.06","2998.27","11.33","1311.47","31.17","6.44","6.99","48.91","97.8","0.39","27.37","11.01","901.7","763.03","0.18","1.04",,"1.93","26.07","-1.53","69.59","5.93","11.47","4.06","194.99","0.25","3.71","0.05",,"-78.28","57","125.89","118.44","593.83","595.56",,,,,"0.01","6.11",,"3.02",,,"0.04","0.03",,"0.1",,,,"0.21",,"1.49","0.32",,"-9.07","-9.07","341.85",,,,,,"339.92","339.92",,"1.69",,,"0.25","68.69",,"3.37","0.43","13.82","6.22","7.49",,,"8.6","11.78","15.22",,"0.11",,,"1.65",,,"166.43","166.43",,"166.43",,"148.02","9.71",,,,,"3.21","7.04","84.11","25.99","0.47","0.1","0.74","3.5","13.15",,,,,,,"26.12",,"0.08",,,,,,,,,,,,,,,,,,,,"4.97",,,,,,,,,,,,"2499.34","1907.2",
"Northern America, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, Total",,"40469.01","23094.67","6035.26","11339.08","469.27","1193.8","87.6","105.16","934.28","22.66","297.11","184.12","633","3829.59","3.45","17.72","3.95","49.14","256.62","2584.53","774.47","61.04","344.03","73.13","626.24","-6.26","18.93","1.43","0.8","-20.65","474.4","633.62","3182.35","6728.4","2989.16","2.15","0.31",,"0.56","4.82","104.64","17.61","99.82","0.75",,"0.67","0.05",,"5.37","482.54","402.35",,"52.1","2.44","3420.36","1438.73",,"194.46","194.46","1374.33",,,,"1383.06","1383.06",,,,,,,"-8.73","1753.05",,"18.44","129.99","49.13","16.68","113.11","0.05",,"102.86","20.99","263.78",,"19.49","771.38",,"83.76","163.4",,"3421.36","3421.36",,"3421.36",,"1606.71","9.91",,"-53.43",,,"28.54","489.25","232.53","750.06","4.14",,"44.56","-3.78","81.05","23.88",,,"4.12",,,"435.86",,"2.22",,,"2.2",,,,,,"2.43",,,,,"9.62",,,,"7.1",,"5.72",,,,,,,,,,,,"18148.77","9542.24",
"Middle East, Total",,"14065.37","7200.25","4690.53","2174.59","11.85","79.28","30.39","80.73","379.41","10.62","122.75","51.67","196.2","872.92","2.12","5.25","2.98","25.34","134.27","637.43","66.35","17.02","219.75","4.63","295.57","4.29","0.82","0.29","0.61","38.98","185.84","154.3","952.61","2627.81","1195.59","0.05","0.14",,"0.56","1.05","92.96","0.34","81.52","0.17",,"0.25","0.04",,"3.57","32.89","258.65",,"0.14",,"2988.4","1229.81",,,,"-7.6",,,,,,,,,,,,"-7.6","958.72",,"2.41","-5.26","10.3","2.34","12.75",,,"16.35","0.94","36.41",,"5.39","771.38",,"55.88","49.81",,"29.57","29.57",,"29.57",,"-1.68","1.87",,"-53.43",,,,"10.68","13","22.07",,,"0.16",,"3.98",,,,"0.21",,,"8.58",,"0.92",,,,,,,,,,,,,,"0.55",,,,"1.59",,,,,,,,,,,,,,"5800.66","2952.49",
"South & Central Asia, Total",,"19782.65","11386.91","965.78","7429.96","356.05","329.04","30.73","6.99","296.22","8.9","150.1","80.8","132.58","1518.93","1.25","6.25","0.93","8.56","130.15","2326.12","203.93","10.72","128.46","12.89","236.59","4.9","0.98","0.93","0.18","1.8","214.21","320.12","1975.52","3248.15","1427.91","2.1","0.16",,,"3.68","9.41","16.07","29.92","0.57",,"0.35","0",,"1.37","389.49","103.11",,"5.05","0.94","256.6","146.97",,"194.46","194.46","1038.87",,,,"1039.53","1039.53",,,,,,,"-0.67","526.84",,"5.21","89.34","15.46","5.5","69.37","0.05",,"47.59","13.93","186.5",,"13.34",,,"21.3","59.24",,"3155.25","3155.25",,"3155.25",,"1086.63","5.21",,,,,"17.38","409.67","95.79","485.51","1.36",,"0.02","2.96","44.86","23.88",,,"0.49",,,"338.76",,"1.3",,,"1.75",,,,,,"2.07",,,,,"8.1",,,,,,"3.58",,,,,,,,,,,,"9627.67","4412.93",
"Far East Asia, Total",,"5438.04","3687.19","146.49","1604.36","77.44","759.78","25.99","17.44","53.18","3.14","18.15","29.24","302.45","1139.53","0.08","6.2","0.04","15.2","-7.86","-407.72","485.31","33.17","-8.86","54.83","73.69","-15.45","17.13","0.21","0.01","-61.93","42.5","149.34","155.65","806.75","325.5",,"0.01",,,"0.04","2.28",,"-11.62","0.02",,"0.08","0.01",,"0.43","60.16","40.59",,"46.91","1.5","6.05","0.03",,,,"289.53",,,,"289.99","289.99",,,,,,,"-0.46","232.11",,"3.86","45.91","12.58","4.86","28.74",,,"27.67","5.92","40.87",,"0.76",,,"6.58","54.35",,"236.55","236.55",,"236.55",,"520.68","2.84",,,,,"10.45","68.9","123.74","242.48","2.78",,"44.38","-6.73","31.83",,,,"3.42",,,"65.31",,,,,"0.35",,,,,,"0.36",,,,,"0.34",,,,"5.51",,"2.13",,,,,,,,,,,,"2041.97","1711.99",
"Europe, Total",,"6783.18","2916.38","315.38","3551.42","9.71","0.62","106.91","6","273.67","20.52","46.6","24.71","-22.98","1110.1","6.12","6.86","0.72","1.83","40.13","10.67","-4.42","6.55","126.93",,"93.88","45.99","0.47","6.95","12.04","-30.08","143.57","186.29","84.11","611.64","3308.74","0.03","1.06",,,"5.08","11.74","1.36","10.21","0.8",,"4.55","0",,"22.76","14.91","-1.01",,,,"222.92","20.96",,"-34.28","-34.28","42.84",,,,,,,,,,"42.71",,"0.13","119.39",,"7.21","0.76","6.8","4.27","6.61","13.53",,"4.61","14.11","10.58",,"1.53",,,"1.72","47.67",,"-63.35","-63.35",,"-63.35",,"178.08",,,,,,"17.57","1.18","31.28","73.54",,,,,"1.13","53.38",,,"0.12",,,"7.98",,,,,"1.49",,,,,,,,,,,"0.01",,,,"0.11",,,,,,,,,,,,,,"2107.33","1743.31",
"Oceania, Total",,"1918.96","1505.72","30.41","382.83","3.19","852.11","0.81","0","2.45",,,"0.81","123.09","26.57",,,,"0.11","1.73","111.61","8.8","0.15","2.82","227.7","2.44","0.06",,,,"0.12","0.67","0.62","12.67","130.38","110.77",,,,,"0.07","0.03",,,,,"0.01",,,"0.01","2.6",,,"0.39","1","0.17","26.14",,"7.57","7.57","62.88",,,,"62.88","62.88",,,,,,,,"38.06",,"0.08","1.61","4.89","1.71","4.84",,,"1.89",,"7.71",,"1.55",,,"0.39","13.39",,"91.27","91.27",,"91.27",,"72.29","3.04",,,,,"0.35","10.4","33.89","23.82","0.28","0.04",,,"0.47",,,,"0.05",,,"2.38",,"0.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"408.49","169.6",
"Melanesia, Total",,"1070.46","836.49","13.26","220.71","3.14","671.18","0.81","0","0.39",,,,"1.96","3.24",,,,,"0.55","46.97","6.53","0.15","2.82","74.55","2.44","0.06",,,,"0.12","0.67","0.43","7.91","15.71","56.48",,,,,"0.06","0.03",,,,,"0.01",,,"0.01","2.6",,,"0.18","1","0.17","9.21",,"9.19","9.19","55.46",,,,"55.46","55.46",,,,,,,,"19.48",,,"1.1","0.77","1.71","3.56",,,"1.89",,"2.84",,"1.55",,,"0.39","5.68",,"32.72","32.72",,"32.72",,"47.38","1.65",,,,,"0.35","10.34","12.11","23.3","0.28",,,,"-0.64",,,,,,,"2.38",,"0.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76.73","18.29",
"Micronesia, Total",,"248.59","205.22","14.8","28.58",,"54.65",,,,,,,"0.01","0.14",,,,,"0.25","24.77","0.55",,,"15.89",,"0",,,,,"0",,"0.02","108.94","3.8",,,,,,,,,,,,,,,,,,"0.07",,,"14.73",,,,"1.61",,,,"1.61","1.61",,,,,,,,"2.6",,"0.08","0.32","0.3",,"0.14",,,,,"0.16",,,,,,"1.6",,"17.67","17.67",,"17.67",,"2.89",,,,,,,"0.07","2.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"134.13","0.42",
"Polynesia, Total",,"371.86","290.3","2.35","79.21",,"62.32",,,,,,,"105.59","0.06",,,,"0.11","0.26","35.39","0.72",,,"83.29",,,,,,"0",,,"0.04","2.52","21.17",,,,,"0.01",,,,,,,,,,,,,"0.14",,,"2.2",,"-1.62","-1.62","5.81",,,,"5.81","5.81",,,,,,,,"3.85",,,"0.19","0.31",,"0.71",,,,,"-0.02",,,,,,"2.66",,"39.88","39.88",,"39.88",,"10.13","1.38",,,,,,,"7.59",,,"0.04",,,"1.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143.86","106.06",
