Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients",,,"131482.8","11649.94","41949.54","3445.01","3493.61","1323.51","1904.18","4277.23","199","2565.57","1288","9037.08","17940.21","238.7","155.55","39.88","718.37","3924.83","9202.63","1915.39","362.88","5725.51","441.76","4277.66","440.89","308.32","84.91","63.29","1396.82","7089.3","3529.33","18552.85","30985.54","13669.6","12.96","40.93","51.41","18.24","33.89","232.63","42.96","304.46","23.17","24.22","48.11","16.56",,"158.11","1161.63","858.94","254.76","62.42","4","3919.14","4381.37",,"503.17","503.17","5654.75","2182.36","123.73","2058.63","1445.94","1445.94","1905.7","1905.7",,"28.99","42.71",,"49.03","5424.99",,"63.68","313.46","285.74","241.31","420.35","13.58","125.18","313.27","460.72","1395.2",,"70.77","771.38",,"286.39","663.96",,"10055.01","10055.01",,"10055.01",,"6642.01","43.49","71","54.71",,,"410.57","1725.19","813.07","3172.37","9.07","0.41","45.3","11.91","169.98","114.96",,"5.51","14.27",,,"3229.09",,"67.71",,,"44.63",,,"19.59",,,"14.13",,,,,"18.57",,,,"15.6",,"15.91",,,,,,,,,,,,"93920.36","73319.77",
"All Developing Countries, Total",,"146741.89","94158.27","10758.11","41825.5","3200.01","2752.19","782.5","1111.62","2971.98","70.1","1880.44","697.86","5155.27","14112.97","71.89","47.34","31.05","427.49","1750.83","6165.82","1468.79","262.68","4162.86","358.09","3306.79","100.18","146.29","17.2","25.1","354.66","4827.67","2726.49","11718.02","26654.11","13545.56","7.12","1.4","16.2","0.57","15.04","212.97","34.03","304.27","2.21","19.05","9.81","8.02",,"33.18","902.37","734.37","200.48","54.3","4","3845.9","4352.83",,"503.17","503.17","5654.75","2182.36","123.73","2058.63","1445.94","1445.94","1905.7","1905.7",,"28.99","42.71",,"49.03","5424.99",,"63.68","313.46","285.74","241.31","420.35","13.58","125.18","313.27","460.72","1395.2",,"70.77","771.38",,"286.39","663.96",,"10055.01","10055.01",,"10055.01",,"6642.01","43.49","71","54.71",,,"410.57","1725.19","813.07","3172.37","9.07","0.41","45.3","11.91","169.98","114.96",,"5.51","14.27",,,"2984.09",,"67.71",,,"44.63",,,"19.59",,,"14.13",,,,,"18.57",,,,"15.6",,"15.91",,,,,,,,,,,,"68529","47722.97",
"All Multilateral Recipients, Total",,"38340.39","37324.53","891.82","124.04","245","741.42","541.01","792.56","1305.24","128.89","685.13","590.13","3881.81","3827.24","166.81","108.21","8.83","290.88","2174","3036.81","446.6","100.2","1562.65","83.67","970.87","340.71","162.04","67.71","38.19","1042.17","2261.63","802.84","6834.83","4331.43","124.04","5.84","39.53","35.21","17.67","18.85","19.66","8.94","0.19","20.96","5.17","38.3","8.55",,"124.93","259.26","124.57","54.28","8.12",,"73.24","28.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25391.37","25596.8",
"Africa, Total",,"50096.53","26877.31","3441.49","19777.73","1092.93","103.47","55.87","421.49","1086.17","6.73","418","262.42","2130.72","3035.51","2.24","3.03","13.13","276.56","254.42","1783.51","358.76","127.91","635.48","8.38","672.27","43.3","105.2","1.59","0.59","19.45","873.11","654.73","4203.27","9320.01","5176.41","0.03","0.03",,"0.01","0.49","2.72",,"192.75","0.07",,"0.03","0.29",,"3.72","27.97","193.41",,"1.28","0.56","183.44","2834.68",,"361.14","361.14","2239.75","2182.36","123.73","2058.63",,,,,,,,,"57.39","1710.17",,"21.95","182.28","44.53","45.38","234.82",,,"144.75","130.89","539.76",,"45.49",,,"167.15","153.2",,"6245.54","6245.54",,"6245.54",,"4044.72","19.54","71","108.14",,,"352.52","1015.62","217.71","2211.08","1.02","0.2",,"7.02","40.88",,,"0.25","5.72",,,"966.02",,"63.25",,,"29.99",,,"19.59",,,"1.71",,,,,"0.33",,,,"5.3",,"0.79",,,,,,,,,,,,"21813.6","12876.88",
"North of Sahara, Total",,"5072.42","1330.41","2508.13","1233.88","1.44","1.69","4.89","14.28","18.57","0.55","3.19","8.21","378.89","810.33","0.95","1.6",,"1.31","41.48","-23.68","16","0.87","2.38","0.03","9.41","0.35","11.35",,"0.08","-15.08","14.68","67.34","53.75","-93.02","946.49",,,,,,"0.08",,"90.7","0.01",,"0","0.02",,"2.6","2.5","66.91",,"0.04","0.06","-244.8","2590",,,,"-8.51","-4.1","3.92","-8.02",,,,,,,,,"-4.41","56.16",,"1.86","5.43","3.6","0.88","4.55",,,"4.7","14.56","9.32",,"0.18",,,"3.7","7.36",,"-58.81","-58.81",,"-58.81",,"298.55","5.2",,"-11.7",,,"267.41",,"15.87","2.57",,,,"-0.23","19.42",,,,"0.07",,,"0.21",,"0.06",,,,,,,,,,,,,,,,,,"0.31",,"0.79",,,,,,,,,,,,"1186.32","1334.07",
"South of Sahara, Total",,"42840.2","23948.2","899.08","17992.92","991.65","91.01","46.73","403.12","943.87","4.95","381.82","212.73","1645.23","1872.48","1.29","1.43","13.13","271.9","196.06","1418.8","341.48","120.91","617.94","7.65","614.22","42.92","93.51","1.59","0.27","32.01","802.72","549.98","3805.44","9413.03","3887.52","0.03","0.03",,"0.01","0.29","2.64",,"102.02","0.06",,"0.02","0.27",,"1.12","25.06","126.5",,"1.24","0.5","395.77","243.52",,"361.14","361.14","2172.82","2111.02","117.85","1993.17",,,,,,,,,"61.8","1568.85",,"11.24","176.84","26.79","39.74","220.38",,,"140.04","116.32","530.44",,"45.31",,,"163.45","98.3",,"6268.25","6268.25",,"6268.25",,"3734.34","14.35","71","119.84",,,"85.11","1015.62","194.11","2204.09","1.02","0.2",,"7.56","21.45",,,"0.25","5.45",,,"866.16",,"63.19",,,"29.99",,,"19.59",,,"1.71",,,,,"0.33",,,,"4.99",,,,,,,,,,,,,,"19294.9","10555.04",
"Eastern Africa, Total",,"20835.15","12170.44","710.81","7953.9","370.28","60.4","28.57","170.21","422.31","4.5","255.47","161","439.16","591.17","0.22","0.22","11.74","223.2","111.96","722.48","226.43","7.85","265.5","4.22","428.12","28.86","19.39","1.56","0.23","16.82","568.36","208.94","2430.35","4761.17","1404.2",,"0.03",,"0.01","0.22","0.78",,"69.43",,,"0.02","0.27",,"0.26","12.17","105.62",,"0.95",,"344.39","176.65",,"-134.46","-134.46","1055.05","1035.85","2.21","1033.65",,,,,,,,,"19.19","707.71",,"4.59","79.07","8.46","14.17","106.27",,,"62.26","39.29","233.25",,"9.59",,,"111.62","39.13",,"2950.8","2950.8",,"2950.8",,"1970.61","9.4","29.59","41.36",,,"8","498.35","67.76","1300.91","0.79","0.15",,"5.4","8.89",,,"0.25","1.15",,,"292.07",,"46.5",,,"12.8",,,"15.72",,,"1.47",,,,,"0.33",,,,,,,,,,,,,,,,,,"9478.61","5324.62",
"Middle Africa, Total",,"4980.38","2738.64","4.05","2237.69","25.33","3.49","1.34","99.95","62.42","0.14","1.49","9.62","409.34","215.34","0.94","0.15",,"15.22","20.31","308.67","40.58","6.83","17.45","0.21","42.79","13.88","5.6",,,"1.77","72.33","61.32","257.48","1070","604.82","0.02",,,,"0.01","0.13",,"-2.95",,,,,,"0.27","1.42","0.8",,"0.03",,"1.67","2.66",,"-13.45","-13.45","295.69","300.89","109.91","190.98",,,,,,,,,"-5.2","272.94",,"1.06","25.04","2.73","6.43","29.95",,,"23.41","23.01","114.04",,"9.69",,,"16.73","20.86",,"568.58","568.58",,"568.58",,"509.12",,"7.87",,,,"0.65","206.36","26.67","268.61",,,,,"-1.04",,,,"2.97",,,"18.78",,"3.17",,,"0.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2343.55","1149.16",
"Southern Africa, Total",,"1807.31","1199.15","8.74","599.42","25.43","5.39","0.62","12.98","5.17","0.08","1.52","12.2","120.47","441.09","0.06","0.04","0.06","7.04","1.06","7.5","1.19","0.91","2.87","0.79","12.56","0.06","1.73","0.02",,"-2.04","6.17","16.68","32.16","510.77","322.13",,,,,,"0.43",,"-2",,,,,,"0","0.17","3.35",,"0.07",,"1.13","5.59",,"-1.09","-1.09","-8.39","-8.39","2.04","-10.42",,,,,,,,,,"46.21",,"1.33","0.43","2.82","4.93","2.91",,,"5.1","13.03","6.68",,,,,"0.59","8.39",,"7.76","7.76",,"7.76",,"232.79",,"-0.39",,,,"72.54","0.43","18.6","138.35","0.17",,,"-0.35","3.46",,,,"0.14",,,"20.93",,"4.12",,,,,,,,,"0.24",,,,,,,,,,,,,,,,,,,,,,,"1118.21","639.03",
"Western Africa, Total",,"12782.28","5797.69","173.82","6810.77","320.36","19.3","8.21","113.06","330.65","0.22","115","6.91","591.32","363.45","0.07","1.02","0.16","25.98","50.79","376.41","72.87","98.77","95.18","0.5","95.51","0.12","64.3","0.01","0.04","46.25","89.86","168.61","933.52","2129.55","1331.84","0.01",,,,"0.05","1.31",,"37.54",,,,,,"0.59","11.3","16.73",,"0.19","0.5","46.98","58.62",,"510.14","510.14","746.02","698.21","2.98","695.23",,,,,,,,,"47.81","506.63",,"4.26","72.3","5.71","9.6","72.79",,,"39.95","39.52","172.11",,"26.02",,,"34.51","29.86",,"2733.24","2733.24",,"2733.24",,"982.9","4.95","31.33","78.48",,,"3.91","310.47","55.94","494.51","0.06","0.04",,"-1.38","4.57",,,,"0.5",,,"297.87",,"9.24",,,"10.14",,,,,,,,,,,,,,,"2.61",,,,,,,,,,,,,,"4775.71","2604.11",
