Recipient,"FakeColumn","Donor(s)","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"America, Total","","6434.13","4866.99","13.3","1553.84",,"1.94","22.6","83.66","370.44","11.74","94.28","23.68","250.13","433.48","1.96",,"0.13","14.03","121.88","408.51","19.83","23.84","272.53","4.44","105.87","0.27","2.2",,,"584.17","170.76","116.3","132.15","1596.17","754.96",,,,"0.05",,"7.8",,"5.13",,,"0.01",,,,,,,,,"0.04","0.27",,"-4.15","-4.15","27.77",,,,,,,,,"27.79",,,"-0.02","192.45",,,"4.42",,"5.32","25.61",,,"20.23","5.58","30.59",,,,"77.16","23.54",,,"278.65","278.65",,"278.65",,"304.16",,,,,,,,"98.75","114.25",,,"59.24","11.7","20.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3312.76","2243.36",
"Caribbean & Central America, Total","","3140.51","2334.26","9.23","797.02",,"0.2","17.63","29.51","185.55","1.02","65.22","18.12","139.96","124.13","0.23",,"0.13","9.51","96.43","229.79","8.79","17.45","93.41","2.28","62.8","0.01","0.57",,,"277.62","101.61","54.18","122.32","675.79","330.7",,,,"0.05",,"1.67",,"7.36",,,"0.01",,,,,,,,,"0.01","0.13",,"-3.61","-3.61","19.22",,,,,,,,,"19.22",,,,"93.99",,,"7.62",,"2.86","16.85",,,"12.02","2.54","16.07",,,,"23.15","12.88",,,"218.57","218.57",,"218.57",,"138.15",,,,,,,,"47.46","64.2",,,"1.75","3.15","21.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1573.97","1114.75",
"Caribbean, Total","","791.25","571.68","10.78","208.79",,"0.16","0.1","9.19","122.3","0.21","2.25","0.54","25.7","8.65","0.1",,,"1.55","-7.77","7.11","1.34","0.55","1.95","0.44","7.24",,"0.25",,,"47.19","3.45","12.29","87.58","239.31","101.09",,,,"0.05",,"0.3",,"10.43",,,,,,,,,,,,,,,"-0.95","-0.95","16.37",,,,,,,,,"16.37",,,,"38.73",,,"1.5",,"1.52","8.7",,,"3.71","0.24","5.83",,,,"11.53","5.7",,,"9.34","9.34",,"9.34",,"44.21",,,,,,,,"3.29","32.23",,,,"1.93","6.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"482.88","181.49",
"Central America, Total","","2066.47","1566.27","-1.55","501.75",,"0.04","17.36","18.13","60.78","0.81","50.77","14.21","37.88","107.38","0.13",,"0.13","7.96","103.57","222.6","7.45","16.3","86.77","1.26","44.48","0.01","0.12",,,"219.16","83.75","29.28","34.74","401.2","164.63",,,,,,"1.37",,"-3.07",,,"0.01",,,,,,,,,"0.01","0.13",,"-2.66","-2.66","2.85",,,,,,,,,"2.85",,,,"51.67",,,"6.12",,"1.17","8.15",,,"7.25","2.3","7.89",,,,"11.61","7.18",,,"208.43","208.43",,"208.43",,"76.83",,,,,,,,"27.36","31.67",,,"1.75","1.22","14.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"968.15","799.05",
"South America, Total","","2753.9","2166.98","4.07","582.85",,"1.74","4.82","53.95","78.28","1.12","29.06","5.46","110.15","269.38","1.46",,,"4.52","25.3","175.3","11.04","6.39","155.78","1.93","39.56","0.26","1.36",,,"246.94","55.3","61.1","0.21","826.57","289.41",,,,,,"6.13",,"-2.23",,,,,,,,,,,,"0.03","0.14",,"-0.54","-0.54","8.55",,,,,,,,,"8.57",,,"-0.02","65.13",,,"-3.2",,"2.46","8.76",,,"7.26","3.04","14.52",,,,"22.24","10.05",,,"60.08","60.08",,"60.08",,"160.22",,,,,,,,"47.28","48.27",,,"57.49","8.55","-1.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1485.19","971.46",
"Northern America, Total","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, Total","","45750.49","38241.34","1580.15","5929",,"587.85","891.56","325.53","1135.75","26.92","368.37","293.08","1296.14","3396.5","48.75","12.35","5.14","58.64","1029.47","7473.15","374.95","39.85","919.32","80.98","637.73","16.36","52.41","7.8",,"363.57","426.55","418.67","2878.74","15075.21","1838.52",,,,"0.66","1.37","30.04",,"89.54","0.48",,"1.02",,,,,"799.82",,,,"422.49","234.73",,"-132.65","-132.65","57.12",,,,,,,,,,,"12.37","44.75","1116.65",,,"63.23",,"8.54","144.67",,,"84.74","40.12","162.99",,,"350.11","162.15","100.1",,,"2709.14","2709.14",,"2709.14",,"340.22",,,,,,,,"125.7","185.31",,,"10.93","10.68","7.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32284.96","12451.91",
"Middle East, Total","","25505.7","23566.38","875.19","1064.13",,"35.05","821.92","266.68","418","9.05","44.33","160.06","779.99","2205.6","14.03","10.45","1.1","6.14","989.61","3504.02","177.74","5.34","196.5","3.58","116.29","0.78","4.29","1.16",,"238.54","61.44","187.25","1371.3","11936.14","515.62",,,,"0.22","0.11","20.38",,"1.44",,,,,,,,"652.65",,,,"43.99","156.4",,"-44.31","-44.31","26.55",,,,,,,,,,,,"26.55","454.62",,,"2.89",,"0.36","9.23",,,"7.57","7.33","15.25",,,"350.11","52.21","9.67",,,"98.14","98.14",,"98.14",,"13.51",,,,,,,,"4.6","7.46",,,"2.9",,"-1.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21204.66","7187.21",
"South & Central Asia, Total","","11213.23","7179.12","405.82","3628.29",,"123.26","51.73","17.96","309.74","9.94","164.61","59.1","160.14","432.01","31.57","0.14","4.04","29.95","56.8","830.77","99.13","11.6","370.71","21.39","333.12","8.82","6.51","5.82",,"40.52","201.05","160.92","1178.93","2458.84","821.61",,,,"0.32","0.83","8.42",,"22.81","0.3",,"1.02",,,,,,,,,"332.49","39.63",,"-14.17","-14.17","33.49",,,,,,,,,,,"12.37","21.12","421.95",,,"25.62",,"4.43","90.9",,,"45.88","26.1","103.98",,,,"63.7","61.34",,,"2262.34","2262.34",,"2262.34",,"103.07",,,,,,,,"28.35","58.77",,,"4.21","5.77","5.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5427.23","2837.91",
"Far East Asia, Total","","7980.41","6779.48","151.97","1048.96",,"427.51","17.91","39.46","201.65","7","150.14","47.22","328.6","660.33","1.07","1.76",,"22.55","-16.94","3100.03","97.85","22.91","316.46","32.84","110.93","6.76","40.94","0.82",,"83","142.42","65.78","207.24","663.24","319.02",,,,"0.12","0.43","1.24",,"65.29","0.18",,,,,,,,,,,"46.01","38.7",,"-74.17","-74.17","-2.92",,,,,,,,,,,,"-2.92","236.73",,,"34.72",,"3.75","44.54",,,"28.84","6.69","43.76",,,,"46.24","28.19",,,"348.66","348.66",,"348.66",,"221.64",,,,,,,,"90.75","119.08",,,"3.82","4.91","3.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5144.15","2079.65",
