Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"America, Total","","10291.71","6320.68","52.06","3918.97","46.72","30.28","25.7","86.96","429.41","1.44","-1.34","49.17","792.58","1299.17","0.35","0.34","0.25","11.59","36.75","-34.22","96.48","34.8","79.46","2.21","810.32","0.44","7.17","0.09","0.07","245.43","138.82","203.56","230.76","1742.64","973.7",,,,,"0.01","8.32","0.05","-1.54",,,,"0.08",,"0.15","39.17",,,"0.48",,"3.97","1.37",,"-26.62","-26.62","1994.44",,,,,,"1929.76","1929.76",,"64.9",,,"-0.21","240.22","34.68","16","4.71","37.07","13.49","23.21",,,"34.21","3.54","23.16",,"2.02",,,"4.83","43.33",,"311.68","311.68",,"311.68",,"425.55","3.56",,,,,"4.91","17.08","161.72","188.91","1.52",,,"14.28","33.57",,,,,,,"41.04",,"2.01",,,,,,,,,,,,,,,,,,,,"3.67",,,,,,,,,,,,"4497.09","3039.75",
"Caribbean & Central America, Total","","4630.74","2697.04","45.26","1888.44","20.32","14.96","18.68","26.41","210.93","0.93","-22.46","26.1","358.44","282.98","0.1","0.05","0.15","8.57","15.47","4.28","27.47","27.87","32.85","0.68","74.03","0.13","0.39","0.01","0.06","128.79","51.12","98.03","196.95","1113.08","514.06",,,,,"0.01","1.98","0.05","1.11",,,,,,"0.06","39.16",,,"0.13",,"1.61","1.15",,"-15.36","-15.36","806.5",,,,,,"743.52","743.52",,"62.98",,,,"77.47","6.79","4.4","0.1","11.79","6.75","14.1",,,"13.13","3.39","12.32",,"2.02",,,"2.69",,,"258.08","258.08",,"258.08",,"247.7","1.24",,,,,"3.74","11.53","72.64","118.07","0.43",,,"15.07","24.99",,,,,,,"18.54",,,,,,,,,,,,,,,,,,,,,,"1.78",,,,,,,,,,,,"2182.13","1153.44",
"Caribbean, Total","","1767.05","985.43","3.48","778.14","2.24","9.46","0.71","12.74","152.3","0.72","-0.09","4.79","62.88","11.54","0.03","0.01","0.07","2.83","5.02","4.73","11.05","1.95","5.59","0.29","18.08","0.06","0.21",,"0.06","33.68","5.74","31.12","105.37","504.51","295.76",,,,,"0.01","0.21",,"-1.81",,,,,,"0.02","2.76",,,"0.01",,"1.25","1.02",,"7.15","7.15","237.81",,,,,,"177.63","177.63",,"60.18",,,,"33.55","3.97","1.2","1.53","2.39","4.36","7.78",,,"5.07",,"5.1",,"0.02",,,"2.14",,,"111.07","111.07",,"111.07",,"92.8",,,,,,"1.22","3.66","12.47","60.16",,,,"-0.55","15.83",,,,,,,"2.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"846.35","253.83",
"Central America, Total","","2443.09","1467.53","41.66","933.91","11.13","5.5","16.41","12.94","54.36","0.21","-25.63","9.62","278.34","201.07","0.08","0.04","0.08","4.02","10.45","-0.45","16.29","25.82","9.17","0.24","54.79","0.07","0.17","0.01",,"84.98","38.19","48.94","90.01","531.79","126.88",,,,,,"1.77","0.05","2.92",,,,,,"0.04","36.4",,,"0.12",,"0.23","0.12",,"-22.5","-22.5","520.89",,,,,,"518.09","518.09",,"2.8",,,,"38.21","2.16","3.2","-1.43","4.34","2.39","6.32",,,"8.07","3.39","7.22",,"1.99",,,"0.55",,,"147.01","147.01",,"147.01",,"123.42","1.24",,,,,"2.32","7.87","45.29","57.91","0.43",,,"-0.59","8.96",,,,,,,"9.35",,,,,,,,,,,,,,,,,,,,,,"1.78",,,,,,,,,,,,"1165.58","755.98",
"South America, Total","","3964.64","2910.76","6.44","1047.44","25.97","15.32","4.62","58.61","112.06","0.51","20.68","23.03","433.93","582.51","0.25","0.29","0.1","3.02","17.87","-43.49","68.68","6.92","42.62","1.53","728.61","0.31","5.27","0.08","0.01","102.83","82.06","93.6","33.66","515.28","423.16",,,,,,"6.34",,"-2.66",,,,,,"0.09","0.01",,,"0.35",,"2.08","0.23",,"-11.27","-11.27","350.95",,,,,,"349.24","349.24",,"1.92",,,"-0.21","69.05","4.29","5.31","4.61","14.32","6.74","9.11",,,"12.15","0","10.38",,,,,"2.14",,,"53.6","53.6",,"53.6",,"161.95","2.32",,,,,"1.17","5.55","86.17","57.85","1.1",,,"-0.79","8.58",,,,,,,"22.25",,"2.01",,,,,,,,,,,,,,,,,,,,"1.72",,,,,,,,,,,,"1651.82","1419.07",
"Northern America, Total","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, Total","","44564.25","27084.48","8261.59","9218.17","424.5","1719.34","150.84","100.99","1058.92","22.41","368.26","201.92","1551.58","3193.67","4.36","5.03","3.72","62.78","157.67","4990.25","771.72","64.96","300.79","68.26","753.49","32.51","31.53","4.1","0.73","48.99","634.16","553.18","3046.88","7181.44","2814.19",,"0.33","1.85","0.1","5.48","91.81","2.47","35.64","0.67",,"10.64","0.13",,"2.54","199.76","5162.03",,"25.69",,"2271.47","450.98",,"155.43","155.43","880.82",,,,"890.64","890.64",,,,,,,"-9.82","1546.23","50.94","22.13","134.31","49.38","19.42","133.87","0.33",,"112.79","19.62","228.66",,"5.78","538.64",,"107.68","122.67",,"1730.34","1730.34",,"1730.34",,"2091.17",,,"106.01",,,"56.66","482.55","224.42","1073.35","7.05",,"37.23","9.12","67.89","26.89",,,,,,"402.44",,"7.01",,,"0.95",,,,,,"1.2",,,,,"7.24",,,,"2.61",,"3.05",,,,,,,,,,,,"21180.41","9984.17",
"Middle East, Total","","16911.79","7399.75","7243.81","2268.23","42.17","107.47","22.1","45.58","266.05","5.35","141.91","39.45","263.54","828.41","2.56","1.01","2.36","24.92","60.82","814.02","40.6","14.19","101.68","3.74","285.87","3.48","0.42","0.45","0.31","45.52","220.68","108.54","809.32","3139.39","1155.47",,"0.31",,"0.07","1.07","83.96","0.2","59.38","0.07",,"0.03",,,"1.38","31.57","5056.59",,"0.05",,"1766.54","242.59",,,,"-9.68",,,,,,,,,,,,"-9.68","735.34","17.12","3.76","4.81","10.13","3.18","17.05",,,"13.85","0.17","40.83",,"2.18","538.64",,"54.84","28.77",,"210.86","210.86",,"210.86",,"176.24",,,"106.01",,,,"23.41","7.99","25.31","0.05",,"0.17",,"13.32",,,,,,,"40.9",,,,,"0.75",,,,,,,,,,,,,,,"0.52",,,,,,,,,,,,,,"6181.55","2631.71",
"South & Central Asia, Total","","20575.3","15020.01","805.61","4749.68","245.77","437.04","95.67","17.24","312.31","9.96","169.75","90.16","926.71","1457.27","1.69","2.13","0.96","13.99","96.17","4734.52","300.92","12.61","194.76","11.84","305.36","9.93","0.77","3.34","0.33","24.43","262.05","272.78","2062.55","3192.77","1251.28",,"0.02","1.85",,"3.98","3.34","0.85","-11.16","0.56",,"10.52",,,"0.83","115.98",,,"-13.63",,"484.25","208.22",,"159.28","159.28","474.94",,,,"476.69","476.69",,,,,,,"-1.74","496.39","9.27","6.82","75.95","14.81","6.26","80.11","0.33",,"51.48","13.37","151.43",,"3.6",,,"34.15","48.81",,"1128.97","1128.97",,"1128.97",,"1238.82",,,,,,"4.13","363.69","90.48","709.79","1.83",,"0.27","10.03","31.69","26.89",,,,,,"235",,"6.22",,,,,,,,,"1.1",,,,,"1.99",,,,,,"1.46",,,,,,,,,,,,"12782.3","5451.51",
"Far East Asia, Total","","5910.17","3785.77","102.79","2021.61","95.83","1123.12","32.97","35.27","129.18","7.11","50.81","57.72","360.78","736.21","0.1","1.89","0.4","23.87","0.61","-649.12","416.8","37.54","0.6","52.65","131.4","19.1","30.34","0.3","0.09","-20.87","105.13","161.7","123.31","816.75","331.29",,,,"0.03","0.43","4.51",,"-12.58","0.04",,"0.09",,,"0.33","52.21",,,"39.27",,"18.29","0.16",,"-3.85","-3.85","360.8",,,,"359.2","359.2",,,,,,,"1.6","267.84","5.43","11.55","53.55","12.41","6.11","36.72",,,"36.54","5.94","35.82",,,,,"18.68","45.09",,"390.51","390.51",,"390.51",,"675.02",,,,,,"51.71","95.45","125.95","338.26","5.17",,"36.79","-0.91","22.6",,,,,,,"86.21",,"0.79",,,"0.2",,,,,,"0.1",,,,,"5.25",,,,"2.04",,"1.25",,,,,,,,,,,,"1517.71","1602.89",
"Europe, Total","","7456.11","2029.49","188.93","5237.68","14.11","0.36","120.66","-2.42","40.3","18.24","22.35","18.23","127.26","593.32","6.87","16.32","0.43","2.62","18.12","14.71","2.58","15.76","24.04",,"98.54","34.06","1.13","4.52","10.49","-13.26","150.13","206.92","37.62","459.6","4817.38",,"0.02",,"0.04","2.74","12.98","0.01","-14.59","0.75",,"2.88","0.01",,"16","43.71",,,,,"97.96","26.43",,"-29.89","-29.89","119.09",,,,,,,,,,"117.44",,"1.65","121.18","2.02","10.75","12.5","5.4","4.65","7.3","13.97",,"4.43","18.94","10.21",,,,,"2.45","28.58",,"-11.74","-11.74",,"-11.74",,"221.66",,,,,,,"0.84","28.95","115.61",,,,,"10.51","65.75",,,,,,"5.37",,,,,"0.5",,,,,,,,,,,,,,,"8.12",,"0.13",,,,,,,,,,,,"1290.92","1206.06",
"Oceania, Total","","2164.38","1759.29","1.15","403.95","1.8","1041.1","0.57",,"3.19","0.01",,"0.82","124.51","13.11",,,,"0.05","1.5","121.63","3.92","0.34",,"222.35","1.59","0.02",,,,"0.05","0.03","0.22","7.98","216.3","93.94",,,,,,"0.09",,"-0.44",,,,,,,"0.5",,,"0.15",,"0.54","0.32",,"9.04","9.04","113.81",,,,"113.81","113.81",,,,,,,,"32.54","1.99","0.08","1.94","5.1","1.14","4.23",,,"2.38","0.17","7.58",,"0.09",,,,"7.84",,"70.09","70.09",,"70.09",,"84.53",,,,,,"0.73","7","23.97","45.04","0.1",,,,"7.69",,,,,,,"1.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"488.22","148.99",
"Melanesia, Total","","1129.83","910.76","0.09","218.98","0.46","771.98","0.57",,"0.51",,,"0.17","4.56","3.19",,,,"0.02","0.18","35.51","2.28",,,"74.12","1.59","0.02",,,,,"-0.01",,"3.18","12.9","32.41",,,,,,"0.02",,"-0.44",,,,,,,,,,"0.1",,"0.3","0.11",,"0.23","0.23","79.72",,,,"79.72","79.72",,,,,,,,"22.98","0.69",,"1.94","1.11","1.14","3.51",,,"2.38","0.17","7.58",,"0.09",,,,"4.37",,"26.72","26.72",,"26.72",,"56.93",,,,,,"0.24","6.95","4.87","37.94",,,,,"6.93",,,,,,,"0.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60.03","11.87",
"Micronesia, Total","","366.11","339","0.09","27.02","0.47","67.28",,,"0.14",,,,"0.02","0.11",,,,,"0.13","63.19","0.26","0.34",,"9.02",,,,,,,"0.04","0.05","0.02","198.4","5.91",,,,,,"0.05",,,,,,,,,,,,"0.01",,"0.03",,,,,"6.45",,,,"6.45","6.45",,,,,,,,"2.46","0.57","0.08",,"0.38",,"0.1",,,,,,,,,,,"1.34",,"11.28","11.28",,"11.28",,"0.92",,,,,,,"0.05","0.86",,,,,,,,,,,,,"0.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"262.01","0.66",
"Polynesia, Total","","385.44","297.72","0.42","87.29",,"87.47",,,"0.04","0.01",,"0.08","102.29","0.12",,,,"0.03",,"19.84","0.88",,,"84.03",,,,,,"0.05",,"0.01","0.31","2.57","10.13",,,,,,"0.02",,,,,,,,,,,,"0.04",,"0.16","0.2",,"8.82","8.82","27.44",,,,"27.44","27.44",,,,,,,,"3.85","0.67",,"0","0.42",,"0.63",,,,,,,,,,,"2.13",,"32.09","32.09",,"32.09",,"4.96",,,,,,"0.49",,"3.71",,,,,,"0.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"125.17","102.89",
