Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients","",,"134819.33","16262.08","42899.97","2937.26","4845.5","1171.49","2299.13","4947.24","210.88","2927.46","1435.36","11338.67","14228.26","239.07","128.18","34.91","845.87","3430.08","11469.14","1755.38","429.32","5435.45","457.34","5581.36","487.1","488.32","86.04","61.6","2348.12","5827.29","3200.1","17843.99","31266.68","15882.9",,"49.65","45.08","20.39","30.83","201.87","8.49","231.04","23.72","28.26","50.41","18.26",,"133.9","713.66","5683.27","271.77","36.36",,"3307.67","5407.45",,"620.31","620.31","5520.15","2323.52","143.16","2180.36","1004.45","1004.45","1929.76","1929.76",,"64.9","117.44",,"80.09","5408.14","451.76","78.96","433.21","298.36","246.43","465.28","14.29",,"353.71","417.43","1229.93",,"42.73","538.64",,"363.7","473.71",,"8172.17","8172.17",,"8172.17",,"7296.3","6.81","81.33","386.53",,,"151.05","1544.13","751.76","3946.15","15.73",,"37.23","28.4","212.96","134.24",,,,,,"2786.68",,"43.86",,,"37.06",,,"19.52",,,"1.2",,,,,"7.24",,,,"32.97",,"8.74",,,,,,,,,,,,"94524.07","71261.68",
"All Developing Countries, Total","","151137.93","93430.24","15044.16","42663.53","2664.26","4149.24","543.28","1306.82","3511.55","57.04","2134.52","822.2","6800.51","9451.12","43.61","34.28","29.41","545.59","867.41","8498.99","1309.58","298.81","3646.86","350.54","4315.82","127.09","302.8","16.18","20.63","944.97","3917.93","2505.59","10517.54","26360.31","15646.45",,"0.35","24.26","3.28","11.44","186.13","5.35","185.47","1.45","23.71","17.71","11.97",,"20.15","361.85","5387.95","231.9","27.72",,"3156.67","5386.81",,"620.31","620.31","5520.15","2323.52","143.16","2180.36","1004.45","1004.45","1929.76","1929.76",,"64.9","117.44",,"80.09","5408.14","451.76","78.96","433.21","298.36","246.43","465.28","14.29",,"353.71","417.43","1229.93",,"42.73","538.64",,"363.7","473.71",,"8172.17","8172.17",,"8172.17",,"7296.3","6.81","81.33","386.53",,,"151.05","1544.13","751.76","3946.15","15.73",,"37.23","28.4","212.96","134.24",,,,,,"2513.68",,"43.86",,,"37.06",,,"19.52",,,"1.2",,,,,"7.24",,,,"32.97",,"8.74",,,,,,,,,,,,"66007.43","42399.21",
"All Multilateral Recipients, Total","","42843.46","41389.09","1217.92","236.45","273","696.26","628.21","992.31","1435.69","153.84","792.94","613.15","4538.16","4777.14","195.45","93.9","5.5","300.28","2562.67","2970.15","445.8","130.51","1788.58","106.8","1265.54","360.01","185.52","69.86","40.97","1403.15","1909.36","694.51","7326.45","4906.37","236.45",,"49.3","20.82","17.11","19.39","15.74","3.14","45.57","22.27","4.55","32.7","6.29",,"113.75","351.81","295.32","39.87","8.64",,"151","20.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28516.63","28862.47",
"Africa, Total","","56791.84","30054.85","5834.09","20902.9","1057.32","315.67","94.69","582.8","1519.49","7.33","712.81","324.83","3168.33","2397.41","2.26","1.03","15.22","354.05","137.85","2092.05","271.72","125.33","858.08","4.45","1046.03","44","246.7","2.9","1.13","417.95","1167.47","566.69","3909.11","9667.45","5932.4",,,"0.18","0.03","0.86","3.9",,"164.99","0.03",,"0.02","0.38",,"1.08","70.3","46.98",,"1.4",,"782.73","4761.22",,"512.35","512.35","2411.99","2323.52","143.16","2180.36",,,,,,,,,"88.47","1850.41","79.34","24.92","279.75","44.35","49.88","217.15",,,"159.49","125.38","472.3",,"34.59",,,"231.1","132.14",,"6071.79","6071.79",,"6071.79",,"4123.95","3.25","81.33","270.69",,,"88.74","859.67","204.88","2523.23","3.6",,,"-0.37","88.92",,,,,,,"955.08",,"34.81",,,"31.63",,,"19.52",,,,,,,,,,,,"16.15",,"0.14",,,,,,,,,,,,"22891.69","14556.07",
"North of Sahara, Total","","8800.62","1992.26","5391","1417.36","6.5","3.77","6.52","20.86","20.19","0.67","12.3","4.29","906.41","425.5","0.81","0.15",,"0.29","19.6","-44.92","17.66","1.84","8.47","0.04","4.92","0.58","0.4","0.4","0.1","42.71","28.52","67.3","82.21","360.68","1146.45",,,,,"0.12","0.05",,"98.91",,,"0.02",,,"0.52","5.96",,,"0.11",,"591.8","4693.51",,,,"-3.7","-5.2","2.82","-8.02",,,,,,,,,"1.5","39.25","1.9","2.12","-2.09","2.49","0.88","6.1",,,"9.95","4.62","7.33",,"0.78",,,"0.86","4.31",,"-63.84","-63.84",,"-63.84",,"299.2",,,"153.75",,,"79.8",,"22.13","8.59","0.25",,,"-0.16","34.85",,,,,,,"1.97",,"0.4",,,,,,,,,,,,,,,,,,"4",,"0.14",,,,,,,,,,,,"1769.67","1562.62",
"South of Sahara, Total","","46082.37","26800.94","386.78","18894.65","826.84","309.66","82.03","558.34","1402.6","6.66","637.95","287.98","2153.8","1613.87","1.45","0.88","15.22","347.82","114.22","1990.25","250.98","116.65","832.64","4.13","946.71","43.42","246.21","2.5","1.03","373.69","1070.26","475.45","3607.77","9306.77","4501.9",,,"0.07","0.03","0.68","3.85",,"66.02","0.03",,,,,"0.56","64.14",,,"1.29",,"190.93","59.18",,"512.35","512.35","2251.66","2164.68","139.14","2025.55",,,,,,,,,"86.98","1683.14","29.88","12.89","281.84","28.11","45.36","210.72",,,"149.55","120.77","464.97",,"33.81",,,"230.24","75",,"6125.57","6125.57",,"6125.57",,"3820.03","3.25","81.33","116.94",,,"8.94","859.67","177.3","2514.65","3.35",,,"0.52","54.07",,,,,,,"729.12",,"34.41",,,"31.63",,,"19.52",,,,,,,,,,,,"12.15",,,,,,,,,,,,,,"20189.28","12099.17",
"Eastern Africa, Total","","24331.29","14572.14","266.25","9492.9","321.04","198.42","39.52","216.57","640.43","5.15","416.91","212.66","505.75","596.48","0.28","0.31","13.15","277.65","40.81","1241.92","181.34","10.03","380.34","3.18","712.46","2.3","67.98","2.41","0.16","30.52","680.72","181.2","2296.82","5616.66","1712.14",,,,,"0.23","2.13",,"31.47",,,,,,"0.08","59.22",,,"0.81",,"141.65","30.66",,"267.62","267.62","1225.91","1215.85","2.96","1212.89",,,,,,,,,"10.06","835.6","6.37","5.83","175.46","8.96","16.97","109.42",,,"57.85","74.01","202.79",,"6.12",,,"144.92","26.91",,"3366.34","3366.34",,"3366.34",,"2085.29","3.25","27.54","89.08",,,"1.66","429","60.57","1438.28","2.91",,,"-0.89","33.89",,,,,,,"268.62",,"18.33",,,"14.61",,,"18.71",,,,,,,,,,,,"0.78",,,,,,,,,,,,,,"10938.87","5783.38",
"Middle Africa, Total","","4580.24","2207.11","6.13","2367","9.69","10.59","0.75","151.8","71.21","0.51","11.55","11.35","375.94","192.92","0.99","0.08",,"17.14","12.66","185.06","25.16","5.94","11.05",,"64.61","40.55","7.6",,,"13.57","110.99","52.88","257.22","574.99","673.01",,,,,"0.27","0.19",,"-2.41",,,,,,"0.25",,,,,,"6.85","0.99",,"-13","-13","296.83","283.65","133.12","150.53",,,,,,,,,"13.19","241.23","2.53","1.93","26.43","3.05","7.05","28.98",,,"26.35","0.14","93.31",,"3.85",,,"35.23","12.38",,"756.35","756.35",,"756.35",,"412.58",,"11.42",,,,"0.28","118.13","15.98","262.39",,,,,"4.37",,,,,,,"9.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1670","1222.6",
"Southern Africa, Total","","2102.22","1534.9","8.54","558.78","31.78","12.31","0.66","20.3","13.56","0.14","1.44","11.42","298.06","83.29","0.1","0.02","0.13","8.97","6.77","10.89","0.5","0.87","11.37","0.51","27.79","0.06","2.04","0.02",,"0.62","29.47","9.97","63.56","920.05","292.68",,,,,,"0.3",,"4.06",,,,,,,"2.46",,,"0.14",,"1.21","0.37",,"14.61","14.61","-7.85","-7.85","2.41","-10.26",,,,,,,,,,"43.06","1.25","1.19","2.05","3.24","7.01","2.85",,,"7.8","5.79","4.49",,,,,"0.96","6.42",,"33.47","33.47",,"33.47",,"182.82",,"1.83",,,,"5.23","0.43","16.72","157.31","0.34",,,"-0.4","1.36",,,,,,,"22.45",,"9.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1396.19","539.18",
"Western Africa, Total","","12587.49","6471.29","98.05","6018.15","240.72","43.94","25.83","140.99","338.78","0.83","175.92","13.78","804.44","519.11","0.07","0.47","0.32","34.6","52","539.02","43.91","96.35","171.55","0.22","90.21","0.51","167.76","0.07","0.87","317.83","129.56","158.05","826.59","1777.71","1454.01",,,,"0.03","0.12","1.23",,"32.73","0.03",,,,,"0.23","0.96",,,"0.34",,"35.2","27.17",,"243.12","243.12","736.76","673.04","0.65","672.39",,,,,,,,,"63.73","525.74","9.79","3.94","77.9","5.53","9.06","69.47",,,"46.05","39.41","162.35",,"23.84",,,"49.13","29.28",,"1965.5","1965.5",,"1965.5",,"1093.02",,"38.96","27.86",,,"1.77","312.11","53.73","649.75",,,,"0.48","8.35",,,,,,,"217.64",,"6.76",,,"9.61",,,,,,,,,,,,,,,"6.71",,,,,,,,,,,,,,"4857.65","3479.13",
