Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"America, Total","","10097.75","6603.43","36.32","3458.01","43.07","52.82","26.45","88.17","853.52","1.2","61.45","50.54","1407.77","845.03","1.26","0.11","0.97","13.35","28.96","-194.15","76.2","31.4","102.15","2.07","366.5","0.44","8.12","0.17","0.07","275.28","129.78","188.27","259.34","1926.19","1209.81",,,,"0.78",,"8.84",,"2.37",,,,"0.16",,"0.44","20.58",,,"0.29",,"2.42","0.44",,"-7.5","-7.5","1454.6",,,,,,"1412.85","1412.85",,"42.05",,,"-0.3","196.76",,"16.08","3.56","29.6","13.04","26.49",,,"34.59","8.56","19.84",,"1",,,"6.42","37.58",,"263.7","263.7",,"263.7",,"340.63","8.41",,,,,,"22.86","123.38","150.2",,,"0.3","18.6","16.88",,,,,,,"43.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5126.65","3331.04",
"Caribbean & Central America, Total","","4705.17","3033.27","28","1643.91","28.98","24.99","18.23","27.63","461.07","0.71","21.36","31.81","341.03","269.6","0.26","0.09","0.66","8.76","11.09","26.91","22.36","23.21","37.64","0.66","69.08","0.15","0.26","0.05","0.07","150.85","53.41","93.39","132","1205.93","567.74",,,,"0.77",,"2.42",,"3.41",,,,,,"0.35","19.85",,,"0.03",,"1.02","0.14",,"3.86","3.86","557.36",,,,,,"522.41","522.41",,"34.95",,,,"68.54",,"3.81","-2.52","9.23","6.57","14.88",,,"16.53","4.44","10.11",,"1",,,"4.48",,,"218.03","218.03",,"218.03",,"228.38","5.98",,,,,,"18.36","50.1","119.24",,,"0.06","19.48","15.16",,,,,,,"28.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2447.63","1128.22",
"Caribbean, Total","","2022.72","1299.87","7.96","714.89","7.41","16.89","0.38","15.81","287.63","0.62","-0.91","2.61","221.82","24.38","0.11","0.02","0.1","3.4","2.58","-6.99","7.19","2.42","13.91","0.31","27.47","0.12","0.11","0.02","0.06","33.55","15.47","22.79","78.05","529.97","321.1",,,,,,"0.3",,"-1.95",,,,,,"0.01","8.8",,,"-0.05",,"0.8","0.05",,"22.89","22.89","168.07",,,,,,"134.72","134.72",,"33.35",,,,"28.43",,"1.6","-0.14","1.15","4.47","9.25",,,"4.72","0","4.14",,,,,"3.23",,,"87.04","87.04",,"87.04",,"87.36","5.98",,,,,,"2.15","7.78","60.17",,,"0.06","-0.42","11.63",,,,,,,"7.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1137.43","414.52",
"Central America, Total","","2137.26","1328.55","19.26","789.45","19.89","8.1","15.31","11.82","85.08","0.09","12.16","21.71","97.41","174.12","0.15","0.07","0.56","5.05","8.33","33.9","15.03","20.05","16.98","0.25","30.99","0.03","0.15","0.03","0.01","75.45","31.5","34.98","51.71","577.52","176.03",,,,,,"2.12",,"5.36",,,,,,"0.34","11.05",,,"0.08",,"0.22","0.09",,"-19.03","-19.03","351.06",,,,,,"349.46","349.46",,"1.6",,,,"32.82",,"2.21","-2.38","4.08","2.1","5.62",,,"8.51","4.44","5.98",,"1",,,"1.25",,,"130.99","130.99",,"130.99",,"117.59",,,,,,,"16.21","33.27","56.62",,,,"8.2","3.29",,,,,,,"19.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1028.07","542.14",
"South America, Total","","4286.25","3144.51","8.16","1133.58","14.09","27.83","5.37","59.93","258.22","0.49","34.45","18.12","1066.74","470.97","1","0.02","0.31","4.59","15.89","-228.74","53.2","8.19","60.74","1.41","283.68","0.29","6.83","0.12",,"111.03","70","84.38","127.25","602.2","621.46",,,,"0.01",,"6.42",,"-1.04",,,,,,"0.09","0.73",,,"0.26",,"1.4","0.29",,"-11.35","-11.35","291.23",,,,,,"284.43","284.43",,"7.1",,,"-0.3","76.03",,"12.27","6.08","11.52","6.47","11.61",,,"12.62","4.11","9.4",,,,,"1.94",,,"45.68","45.68",,"45.68",,"110.53","2.43",,,,,,"4.5","71.87","30.96",,,"0.24","-0.88","1.42",,,,,,,"14.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2312.53","2062.02",
"Northern America, Total","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, Total","","33519.61","22800.05","2937.14","7782.42","391.7","2091.03","72.49","96.22","694.61","30.27","388.24","171.68","1016.54","2809.97","17.04","4.97","2.28","59.27","129.43","3124.65","679.92","51.64","281.05","75.92","640.75","68.35","32.05","2.2","0.94","114.61","528.91","429.77","2175.52","7009.72","2475.11",,"0.13","0.94","0.49","4.48","69.24",,"45.75","0.62",,"17.49","0.19",,"4.78","127.85","727.74",,"3.18",,"1582.72","351.55",,"-82.86","-82.86","661.96",,,,"646.39","646.39",,,,,"-0.03",,"15.6","1548.41",,"17.34","142.25","38.82","19.51","145.03","0.23",,"107.65","37.99","200.96",,"9.47","667.34",,"103.86","57.94",,"1739.11","1739.11",,"1739.11",,"1440.69","5.5",,"1.02",,,,"331.68","197.95","830.41",,,"4.45","-1.13","44.6","26.23",,,,,,"391.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16960.45","8051.39",
"Middle East, Total","","8747.33","4898.65","2075.29","1773.38","1.12","108.33","19.29","36.14","143.32","4.5","73.49","25.2","339.85","549.45","11.39","0.77","1.37","14.22","43.53","581.34","42.25","7.18","86.13","2.56","186.82","2.11","0.06","0.32","0.3","51.74","175.1","74.89","271.22","2045.77","736.75",,"0.13","0.04","0.49","0.27","63.38",,"39.47","0.06",,,,,"2.32","15.51","679.63",,"0.05",,"1124.24","149.71",,"93.24","93.24","-8.35",,,,,,,,,,,,"-8.35","791.39",,"1.99","8.97","7.64","3.09","14.19",,,"13.08","8.92","22.24",,"3.25","667.34",,"35.56","5.12",,"76.71","76.71",,"76.71",,"83.63","1.59",,"1.02",,,,"27.52","10.18","39.59",,,"0.14",,"3.6",,,,,,,"1.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3974.48","1712",
"South & Central Asia, Total","","17663.35","12944.73","747.66","3970.97","288.16","655.15","20.9","24.78","223.97","18.81","237.83","87.66","260.03","1332.26","4.72","2.91","0.91","18.56","99.47","2747.48","240.32","10.27","176.48","21.91","328.92","15.03","2.84","1.69","0.6","38.61","249.71","229.82","1715.42","4177.67","1162.43",,,"0.9",,"4.15","3.92",,"13.79","0.55",,"17.49",,,"1.77","82.85",,,"-15.1",,"436.08","201.26",,"-157.46","-157.46","372.14",,,,"348.66","348.66",,,,,"-0.03",,"23.51","482.5",,"4.89","63.9","11","6.66","91.9","0.23",,"52.15","17.56","142.81",,"6.22",,,"49.98","35.2",,"1252.72","1252.72",,"1252.72",,"858.63","2.8",,,,,,"269.13","63.68","467.24",,,"2.13","-0.94","28.36","26.23",,,,,,"288.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10556.3","4318.58",
"Far East Asia, Total","","6172.45","4195.39","54.27","1922.8","72.04","1289.09","29","32.49","78.52","6.96","70.79","40.17","415.74","739.21","0.87","1.29",,"26.45","-13.64","-328.39","389.68","34.17","10.81","51.45","98.01","51.21","29.14","0.18","0.04","24.25","88.53","112.36","157.24","759.77","496.72",,,,,"0.06","1.94",,"-7.51","0.01",,,,,"0.69","29.49",,,"18.23",,"10.79","0.57",,"-18.65","-18.65","297.71",,,,"297.28","297.28",,,,,,,"0.43","243.32",,"3.9","69.38","10.37","5.78","38.94",,,"31.93","11.51","35.57",,,,,"18.32","17.62",,"409.68","409.68",,"409.68",,"494.01","1.11",,,,,,"35.03","122.34","323.58",,,"2.18","-2.74","12.52",,,,,,,"72.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1808.45","1744.89",
"Europe, Total","","8082.56","2074.27","144.46","5863.83","5.77","3.6","130.46","-2.64","90.31","19.07","-9.36","17.66","124.2","423.21","48.97","9.4","0.17","0.79","33.77","66.57","16.56","24.37","40.67",,"114.31","28.07","0.43","4.5","10.29","-5.16","166.72","175.31","50.51","491.51","5342.8",,"0.03",,"0.45","1.22","11.56",,"-17.19","0.18",,"1.14",,,"21.36","14.37",,,,,"87.83","23.5",,"22.27","22.27","95.29",,,,,,,,,,"92.56",,"2.73","110.89",,"9.73","11.38","4.5","4.27","7.64","12.05",,"4.8","25.61","9.12",,,,,,"21.8",,"89.94","89.94",,"89.94",,"202.64",,,,,,,"0.75","20.55","105.42",,,,,"7.65","68.27",,,,,,"5.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1280.08","1115.93",
"Oceania, Total","","2191.38","1875.7","9.61","306.07","0.47","1146.97","0.58",,"2.68",,,"0.18","135.7","11.78",,,,"0.15","0.19","128.13","3.42","0.21",,"228.13","1.56","0.02",,,,"0.05","1.63","0.03","8.87","205.42","86.26",,,,,,"0.21",,"-0.45",,,,,,"0.01","4.5",,,"0.13",,"0.06","5.15",,"0.23","0.23","69.81",,,,"69.81","69.81",,,,,,,,"34.17",,"0.01","4.77","4.09","1.74","5.2",,,"1.97","1.02","6.17",,,,,,"9.22",,"39.58","39.58",,"39.58",,"76.02","3.89",,,,,,"1.53","19.91","48.4",,,,,"2.29",,,,,,,"0.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"492.77","159.36",
"Melanesia, Total","","1182.69","990.75","-0.1","192.04","-0.02","848.82","0.58",,"0.93",,,"0.15","3.97","3.29",,,,"0.15","0.19","43.45","1.59","0.1",,"74.31","1.56","0.02",,,,"0.05","-0.01",,"3.55","8.05","39.26",,,,,,"0.07",,"-0.45",,,,,,,,,,"0.1",,"0.03","0.15",,"0.23","0.23","49.11",,,,"49.11","49.11",,,,,,,,"25.23",,,"4.65","0.69","1.74","4.36",,,"1.97","1.02","6.17",,,,,,"4.63",,"29.17","29.17",,"29.17",,"49.04","3.89",,,,,,"1.39","2.83","38.25",,,,,"2.69",,,,,,,"-0.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63.43","12.04",
"Micronesia, Total","","343.85","332.39","4.64","6.82","0.48","75.98",,,"0.17",,,"0.03",,"0.27",,,,,,"44.85","0.95",,,"15.3",,,,,,,,"0.02","0.04","194.77","3.79",,,,,,"0.14",,,,,,,,,"4.5",,,,,,,,,,"-0.25",,,,"-0.25","-0.25",,,,,,,,"1.33",,"0.01",,"0.23",,"0.18",,,,,,,,,,,"0.91",,"0.88","0.88",,"0.88",,"1.08",,,,,,,"0.14","0.93",,,,,,,,,,,,,"0.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240.11","0.34",
"Polynesia, Total","","400.81","342.39","5.07","53.35",,"108",,,,,,,"113.39","0.09",,,,,,"33.71","0.38",,,"85.01",,,,,,,,"0.01","0.06","1.74","16.97",,,,,,,,,,,,,,"0.01",,,,"0.03",,"0.03","5",,,,"20.96",,,,"20.96","20.96",,,,,,,,"2.46",,,"0.12","0.22",,"0.66",,,,,,,,,,,"1.47",,"9.53","9.53",,"9.53",,"3.42",,,,,,,,"3.83",,,,,,"-0.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"148.99","113.54",
"LDCs, Total","","43109.6","27359.26","700.61","15049.73","320.42","1247.53","53.13","444.22","1266.36","21.33","733.73","268.02","1267.15","2342.05","4","2.11","10.15","334.61","148.93","3006.95","416.72","105.23","665.03","100.57","927.04","11.69","135.57","1.7","0.66","253.73","951.78","473.55","3040.64","9125.08","3752.57",,,"0.9","0.43","3.76","2.74",,"34.57","0.27",,"17.31",,,"1.1","10.97",,,"1.64",,"341.68","285.23",,"472.13","472.13","2200.04","1494.5","106.1","1388.39","475.94","475.94","154.87","154.87",,"9.56",,,"65.17","1618.73",,"8.02","295.58","15.22","23.88","251.73",,,"137.11","158.28","396.74",,"47.98",,,"226.58","57.61",,"4538.34","4538.34",,"4538.34",,"2467.92","5.55","52.16","98.89",,,,"535.32","108.3","1612.82",,,,"9.23","45.66",,,,,,,"320.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20197.16","10785.32",
