Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients","",,"127029.14","6110.23","40628.87","2617.64","5402.72","1105.8","2314.93","5649.47","219.62","2692.59","1319.71","12028.27","12939.49","327.39","118.38","26.13","808.36","2737.12","10604.5","1597.46","399.03","5522.85","449.14","4752.99","421.06","580.77","79.68","58.44","2037.37","5239.8","3052.16","13891.49","30652.43","17479.05",,"39.95","21.36","25.08","23.24","181.19",,"179.74","21.11","28.6","51.91","18.32",,"142.41","465.01","1298.87","304.5","11.49",,"2533.3","764.15",,"769.29","769.29","4821.29","2453.64","114.44","2339.2","716.2","716.2","1412.85","1412.85",,"42.05","92.53",,"104.02","4868.39",,"68.92","448.58","238.05","242.01","483.37","12.28",,"332.39","423.79","1139.96",,"60.26","667.34",,"354.4","397.03",,"6921.04","6921.04",,"6921.04",,"5769.82","23.84","71.34","303.06",,,,"1068.26","670.73","3307.23",,,"4.86","37.74","147.94","134.81",,,,,,"2617.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88502.77","64842.14",
"All Developing Countries, Total","","133751.6","88458.29","4970.73","40322.57","2357.64","4540.08","535.65","1432.72","4027.44","66.42","1921.51","795","7929.17","8584.03","107.29","21.77","21.21","536.18","623.98","6402.2","1183.17","276.64","3857.53","361.57","3522.68","111.55","397.27","18.95","19.08","985.51","3637.82","2453.61","8665.43","25422.85","17172.75",,"0.16","14.52","9.28","8.6","156.3",,"148.92","1.16","23.9","22.06","11.75",,"32.99","214.71","957.13","241.32","5.08",,"2422.5","700.35",,"769.29","769.29","4821.29","2453.64","114.44","2339.2","716.2","716.2","1412.85","1412.85",,"42.05","92.53",,"104.02","4868.39",,"68.92","448.58","238.05","242.01","483.37","12.28",,"332.39","423.79","1139.96",,"60.26","667.34",,"354.4","397.03",,"6921.04","6921.04",,"6921.04",,"5769.82","23.84","71.34","303.06",,,,"1068.26","670.73","3307.23",,,"4.86","37.74","147.94","134.81",,,,,,"2357.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61655.09","40523.49",
"All Multilateral Recipients, Total","","40016.65","38570.85","1139.5","306.3","260","862.64","570.15","882.21","1622.03","153.2","771.08","524.71","4099.1","4355.47","220.1","96.61","4.92","272.18","2113.14","4202.3","414.29","122.39","1665.31","87.57","1230.32","309.51","183.5","60.73","39.36","1051.86","1601.98","598.55","5226.06","5229.58","306.3",,"39.79","6.84","15.8","14.64","24.89",,"30.82","19.95","4.7","29.85","6.57",,"109.42","250.3","341.74","63.18","6.41",,"110.8","63.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26847.68","24318.65",
"Africa, Total","","51841.3","30271.15","1133.99","20436.16","776.39","392.93","172.39","775.04","1850.2","8.61","804.55","323.45","4127.75","2783.53","9.28","0.9","10.03","351.87","112.31","1724.45","261.01","109","743.58","6.98","955.79","3.38","343.22","3.04","1.12","305.31","1201.49","540.84","3445.41","8903.69","7140.96",,,"0.03","0.04","0.51","8.73",,"118.63",,,,"0.61",,"4.46","28.09","46.59",,"0.86",,"749.47","175.97",,"837.14","837.14","2531.78","2453.64","114.44","2339.2",,,,,,,,,"78.14","1730.79",,"21.85","286.62","37.76","42.07","223.6",,,"159.23","174.48","406.6",,"49.79",,,"235.63","93.17",,"4788.7","4788.7",,"4788.7",,"3406.78","6.06","71.34","293.39",,,,"595.63","182.48","2172.8",,,"0.11","12.51","72.46",,,,,,,"776.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22947.34","15625.23",
"North of Sahara, Total","","4760.99","1876.72","660.8","2223.46","3.7","11.84","8.34","19.52","18.31","1.54","28.37","8.63","978.06","224.13","2.83","0.18",,"0.56","4.1","6.45","17.9","1.39","9.02","0.81","4.48","0.6","58.46","0.42","0.04","40.87","24.99","53.67","56.89","294.33","1997.15",,,,"0.02","0.03","0.01",,"75.44",,,,,,"2.62","0.87",,,"0.08",,"569.97","11.76",,,,"-12.1","-5.27","2.33","-7.6",,,,,,,,,"-6.82","45.31",,"1.48","0.55","2.39","0.97","3.99",,,"9.7","12.29","5.6",,"0.86",,,"5.41","2.06",,"-57.06","-57.06",,"-57.06",,"250.17","1.62",,"191.9",,,,,"24.03","12.9",,,"0.11","-0.16","19.77",,,,,,,"3.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1582.27","1468.93",
"South of Sahara, Total","","45104.24","27046.9","425.12","17632.21","669.21","368.29","162.5","750.72","1703.71","7.07","730.25","259.6","3046.92","2254.58","5.88","0.72","10.03","345.23","102.14","1673.38","230.8","102.1","698.29","6.17","849.92","2.78","284.68","2.62","1.04","250.82","982.59","450.19","3154.52","8609.36","4843.75",,,,"0.02","0.48","8.72",,"43.12",,,,,,"1.84","27.22",,,"0.78",,"179.5","163.44",,"837.14","837.14","2346.42","2261.46","111.19","2150.27",,,,,,,,,"84.96","1623.43",,"10.12","286.07","24.05","37.24","218.05",,,"149.53","160.91","400.99",,"48.93",,,"230.21","57.32",,"4834.46","4834.46",,"4834.46",,"3147.02","4.44","68.87","101.49",,,,"595.63","152.7","2159.9",,,,"11.31","52.68",,,,,,,"669.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20544.61","13145.05",
"Eastern Africa, Total","","21477.63","13201.55","311.37","7964.71","224.02","209.66","33.53","198.38","631.19","4.72","467.61","187.91","420.15","778.45","2.52","0.25","9.15","269.72","68.61","986.19","130.63","8.9","362.15","2.93","611.53","2.36","80.43","2.55","0.19","55.47","610.86","173.09","2063.38","4829.04","1883.43",,,,,"0.15","2.14",,"31.42",,,,,,"0.39","6.2",,,"0.45",,"163.03","107.59",,"223.09","223.09","915.3","903.68","6.46","897.22",,,,,,,,,"11.62","768.46",,"4.54","170.72","6.78","13.87","109.53",,,"60.69","78.61","173.24",,"14.54",,,"114.95","20.99",,"2389.45","2389.45",,"2389.45",,"1784.98","2.42","23.3","71.49",,,,"378.63","47.47","1224.07",,,,"10.89","26.7",,,,,,,"224.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9777.01","5618.14",
"Middle Africa, Total","","4664.24","2515.62","3.77","2144.85","14.81","9.28","0.75","136.67","130.9","0.89","0.59","15.04","255.39","713.65","1.11","0.05",,"20.46","11.26","169.4","32.08","4.22","22",,"46.2","-0.13","23.06",,,"35.1","99.19","38.72","222.98","526.76","639.89",,,,,"0.18","0.24",,"-4.05",,,,,,"0.75","3.84",,,,,"1.33","1.48",,"2.17","2.17","311.78","291.95","101.81","190.14",,,,,,,,,"19.83","266.43",,"1.01","26.52","2.81","4.57","31.26",,,"24.63","36.18","82.38",,"9.72",,,"36.54","10.82",,"581.73","581.73",,"581.73",,"342.85",,"7.88",,,,,"61.66","10.28","256.17",,,,,"6.86",,,,,,,"14.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2030.34","1562.29",
"Southern Africa, Total","","1757.22","1143.32","8.36","605.55","19.92","11.79","0.66","18.52","14.36","0.13","5.19","12.3","54.84","103.68","0.49","0.07","0.04","18.21","1.81","9.39","1.18","0.97","22.56","0.55","-24.34","0.02","0.21","0.01",,"1","29.3","9.05","-7.91","859.25","331.73",,,,"0.01",,"0.35",,"6.96",,,,,,"0.07","0.23",,,"0.16",,"0.15","0.42",,"34.64","34.64","0.16","0.16","2.55","-2.4",,,,,,,,,,"50.36",,"1.03","1.96","2.74","6.45","3.14",,,"8.79","12.89","4.29",,,,,"3.49","5.58",,"-4.17","-4.17",,"-4.17",,"192.83",,"4.17",,,,,"0.32","13.41","168.22",,,,"-0.38","7.1",,,,,,,"19.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1035.42","262.05",
"Western Africa, Total","","14174.36","7877.41","84.93","6212.02","196.34","45.51","117.76","377.86","503.05","1.33","205.64","13.45","2082.23","428.44","1.76","0.35","0.21","33.53","20.02","497.37","63.66","85.82","175.66","1.41","89.78","0.53","178.38","0.03","0.85","131.54","125.49","169.23","778.91","1747.61","1363.26",,,,"0.01","0.15","5.99",,"8.79",,,,,,"0.6","3.03",,,"0.17",,"12.25","53.94",,"577.24","577.24","1119.19","1065.67","0.36","1065.31",,,,,,,,,"53.52","518.06",,"3.54","86.87","5.07","7.41","74.13",,,"46.11","33.23","141.87",,"24.67",,,"75.23","19.92",,"1847.58","1847.58",,"1847.58",,"786.7","2.02","33.51","30",,,,"155.02","51.63","506.96",,,,"0.81","6.76",,,,,,,"196.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6057.63","4759.58",
