"","Donor(s)","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"Europe, Total","","5910.06","3097.81","198.75","2613.51","5.98","0.21","153.95","-3.22","49.22","21.09","23.35","27.85","233.14","508.78","88.56","9.61","0.55","0.4","64.3","637.69","38.72","19.25","62.74",,"110.6","24.15","16.91","3.45","12.77","93.99","175.19","151","56.7","516.86","1990.28",,,,"0.07","0.91","20.1",,"-10.42","0.19",,"1.18",,,"23.24",,,,"0.03",,"139.84","23.61",,"101.48","101.48","24.22",,,,,,,,,,"15.6",,"8.62","106.4",,"14.52","10.42",,"4.39","11.99","11.65",,"8.98","9.78","9.6",,,,,,"25.07",,"188.37","188.37",,"188.37",,"202.76",,,,,,,"1.71","28.49","83.78",,,,,"8.26","80.52",,,,,,"5.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2066.69","1592.96",
"Oceania, Total","","1849","1616.18","0.32","232.5","1.41","976.9","1.15",,"2.15","0.02","-0.09","0.46","146.5","4.1","0.37",,,"0.06",,"176.3","5.6",,"0.02","171.14","1.8",,,,,"5.26","0.02","0.17","6.95","117.3","120.97",,,,,,"0.08",,"-0.44",,,,,,,,,,"0.02",,"0.66",,,"9.52","9.52",,,,,,,,,,,,,,"19.06",,,"-0.67",,"1.25","8.41",,,"2.12","0.31","7.64",,,,,,,,"33.9","33.9",,"33.9",,"49.05",,,,,,,"2.65","23.84","22.96",,,,,"-0.4",,,,,,,"1.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"453.3","164.82",
"Melanesia, Total","","1032.43","907.11","0.15","125.17","0.07","730.62","0.75",,"0.43","0.02","0.01","0.17","4.69","1.45",,,,"0.04",,"73.17","2.52",,"0.02","65.82","1.8",,,,,"0.18",,"0.1","1.87","23.45","83.31",,,,,,"0.02",,"-0.44",,,,,,,,,,"0.02",,"0.55",,,"9.52","9.52",,,,,,,,,,,,,,"12.28",,,"-0.46",,"1.25","7.5",,,"2.12","0.31","1.56",,,,,,,,"4.12","4.12",,"4.12",,"15.94",,,,,,,"2.62","2.77","10.71",,,,,"-0.16",,,,,,,"0.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105.06","9.2",
"Micronesia, Total","","169.01","162.95","0.17","5.89","0.62","41.7",,,"0.01",,,,,"0.31",,,,"0.02",,"43.62","0.29",,,"4.74",,,,,,,,,"0.09","72.17","3.62",,,,,,"0.06",,,,,,,,,,,,,,"0.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.27",,,,,,,"0.03","2.24",,,,,,,,,,,,,"0.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116.2","0.42",
"Polynesia, Total","","375.58","325.08",,"50.5",,"76.46",,,"0.14",,,,"122.99","0.01",,,,,,"55.47","0.2",,,"66.6",,,,,,"0.01","0.02","0.05","0.42","2.71","18.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.7",,,"-0.21",,,"0.91",,,,,,,,,,,,,"29.78","29.78",,"29.78",,"1.2",,,,,,,,"1.44",,,,,,"-0.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"181.74","123.45",
"LDCs, Total","","43599.77","28168.66","432.27","14998.84","239.05","852.1","202.75","1083.55","1725.91","24.46","803.31","283.19","1461.73","1765.44","5.86","6.95","11.12","381.62","286.77","2646.78","333.24","102.7","1331.7","65.73","997.16","9.37","191.08","1.4","1.36","868","828.75","364.79","2595.81","8936.03","4418.19",,,,"2.5","1.58","42.7",,"70.28","0.24",,"13.03",,,"0.24",,,,"-8.08",,"159.04","150.74",,"1211.88","1211.88","1447.27","1231.66","123.78","1107.88",,,,,,"6.32",,,"209.29","1373.49",,"12.21","152.6",,"20.69","301.21",,,"135.61","42.91","492.56",,"48.12",,,"167.58",,,"4173.8","4173.8",,"4173.8",,"2374.21","8.62","66.9","140.47",,,,"359.65","92.68","1628.85",,,,"30.58","46.46",,,,,,,"239.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19418.47","12235.8",
"Other LICs, Total","","791.36","533.36","2.93","255.07","2.63","45","0.52","2.05","9.25","0.37","26.87","9.7","3.73","35.62","0.42",,,"6.55","1.86","18.92","2.06",,"14.95","4.13","26.95","0.05","0.06",,,"3.62","36.38","15.17","108.42","160.71","124.26",,,,,,"0.03",,"2.8",,,,,,"0.04",,,,"0.01",,"0.03","0.02",,"-3.98","-3.98","0.02",,,,,,,,,,,,"0.02","36.52",,"0.5","-1.56",,"0.9","10.58",,,"5.68","0.51","8.39",,,,,"11.52",,,,,,,,"98.25",,"0.22",,,,,"8.37",,"90.66",,,,,"-1",,,,,,,"2.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"338.51","251.17",
"LMICs, Total","","31882.24","20934.94","727.47","10219.83","288.47","1224.89","95.01","221.06","537.68","31.2","459.46","132.55","2746.52","1824.54","34.1","5.96","2.09","60.9","195.58","2979.33","363.88","80.15","392.55","57.03","457.26","25.26","143.31","3.03","1.58","905.16","381.41","326.47","1845.62","5401.36","3213.14",,,,"1.39","2.04","62.38",,"132.18","0.41",,"0.89",,,"22.26",,,,"2.2",,"328.97","174.75",,"43.41","43.41","394.88","333.91","3.69","330.22",,,,,,,"0.4",,"60.57","1222.79",,"16.1","111.73",,"16.38","145.39",,,"99.62","90.18","214.62",,"2.82","474",,"51.95",,,"3673.36","3673.36",,"3673.36",,"1672.25","12.92","6.29","346.57",,,,"213.21","159.26","815.02",,,"4.68","14.02","45.92","54.37",,,,,,"288.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15530.63","9584.95",
"UMICs, Total","","12258.46","8900.36","324.13","3033.96","56.34","236.67","123.3","71.36","111.03","14.88","89.35","43.92","1334.03","1221.5","78.89","6.59","2.59","15.56","136.15","-69.94","104.85","29.35","182.96","52.7","227.49","59.93","24.84","2.65","6.01","570.96","192.01","141.93","335.5","3553.3","1980.84",,,,"0.47","0.16","20.79",,"-0.34","0.11",,"1.03",,,"2.47",,,,"1.02",,"258.09","40.33",,"-21.38","-21.38","74.1","-3.55",,"-3.55",,,,,,"39.91","34.12",,"3.62","310.55",,"19.87","21.1",,"11.89","46.1","0.09",,"37.92","53.01","46.4",,,"70.97",,"3.2",,,"-73.15","-73.15",,"-73.15",,"763",,"-1.76","-17.41",,,,"3.17","221.11","436.21",,,"15.82","-1.37","55.29","51.94",,,,,,"56.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6621.57","4539.74",
"MADCTs, Total","","1048.88","890.86","-8.22","166.24","0.79","10.62","6.2","2.07","4.13","0.73","0.51","1.33","629.51","97.38","0.69","0.41",,"0.71","17.13","42.3","0.36","0.64","0.94","10.68","16.62","0.04","0.11",,"3.43","19.53","1.8","2","3.16","17.83","164.13",,,,,,"1.15",,"5.34",,,,,,,,,,"0.03",,"3.03","-17.77",,,,"-17.66","-0.72",,"-0.72",,,,,,"3.32","-18.92",,"-1.34","9.9",,"1.82",,,"1.13","3.31",,,"1.24","0.24","2.16",,,,,,,,"-0.73","-0.73",,"-0.73",,"10.6",,"2.36","0.32",,,,,"6.27",,,,,,"-0.16","1.81",,,,,,"0.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"811.44","786.32",
"Part I Unallocated by income","","39683.31","31219.38","3770.85","4693.08","1308.77","917.8","184.65","644.82","1538.4","7.72","729.24","368.44","1880.04","3091.03","91.86","8.45","4.97","119.93","121.66","1720.05","96.22","49.18","2918.33","80.94","1627.45","2.18","36.67","12.86","9.94","1631.59","1488.78","861.93","3128.29","7845.96","2595.03",,"0.23",,"26.05","1.13","0.55",,"0.33","0.84","21.8","1.45","8.4",,"1.66","302.14","2870.43","326.03","0.43",,"170.97","38.41",,,,"281.77","268.46",,"268.46",,,,,,"5.67",,,"7.64","1235.83",,"37.36",,,"194.77","95.46","11.8",,"33.63","205.71","281.64",,,,,"9.22","366.24",,"45.39","45.39",,"45.39",,"535.06",,"1.87","7.78",,,,"187.13","243.98","32.73",,,,"6.49","13.47","41.61",,,,,,"1308.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19325.43","16525.66",
"WorldBank Low income countries","","29910.54","19139.25","326.48","10444.82","122.07","157.41","185.84","978.76","972.93","17.71","422.66","162.57","967.62","1323.54","8.37","6.68","10.31","261.44","198.48","1649.74","125.17","63.37","1073.47","4.05","637.68","7.36","144.14","1.4","0.94","592.22","587.72","238.65","1825.04","6513.98","3179.41",,,,"1.3","0.9","36.91",,"-8.46","0.12",,"13",,,"0.38",,,,"0.61",,"150.45","131.27",,"902","902","1033.69","882.01","116.47","765.54",,,,,,,,,"151.68","1049.41",,"7.51","94.25",,"12.91","197.16",,,"85.71","75.56","374.16",,"37.52","45.04",,"119.59",,,"2740.64","2740.64",,"2740.64",,"1539.67",,"41.46","0.4",,,,"232.23","54.17","1161.53",,,,"15.92","33.96",,,,,,,"122.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13451.33","8829.33",
"WorldBank Lower-middle income countries","","43530.13","29168.12","675.24","13686.78","406.55","1998.96","88.14","334.65","1282.48","26.76","852.79","252.51","3299.97","2167.3","25.51","6.07","2.77","185.42","279.57","3957.29","559.27","109.41","633.35","125.34","801.48","19.44","189.91","2.05","0.91","1091.91","582.02","391.33","2696.54","7204.97","3877.26",,,,"2.42","1.6","28.26",,"132.87","0.14",,"0.48",,,"2.29",,,,"-6.54",,"319.72","194",,"221.71","221.71","796.93","683.56","11","672.56",,,,,,"8.6",,,"104.77","1407.88",,"20.45","154.14",,"24","254.39",,,"152.84","43.48","339.35",,"13.42","296.02",,"109.79",,,"4995.65","4995.65",,"4995.65",,"2387.35","21.53","31.95","352.35",,,,"346.75","188.49","1340.26",,,"4.33","28.68","52.69","20.31",,,,,,"406.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20888.12","12844.23",
"WorldBank Upper-middle income countries","","14725.19","9909.16","484.57","4331.46","57.71","175.39","147.38","64.43","128.04","26.4","103.54","53.54","1148.48","1349.06","85.17","6.75","2.72","17.77","141.94","-53.11","119.38","39.42","215.21","22.77","269.64","67.79","25.09","3.63","7.1","655.35","268.74","218.35","292.42","4306.77","2645.82",,,,"0.64","1.28","60.26",,"80.51","0.5",,"1.47",,,"22.34",,,,"1.08",,"275.94","40.55",,"106.22","106.22","85.34","-3.55",,"-3.55",,,,,,"37.37","34.52",,"17","481.07",,"20.49","35.48",,"12.62","50.95","0.09",,"39.03","66.35","47.28",,,"203.91",,"4.87",,,"37.72","37.72",,"37.72",,"975.3",,"-1.76","116.88",,,,"5.42","224.97","468.95",,,"16.19","-1.37","60.02","86",,,,,,"57.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7313.6","4719.21",
"WorldBank High income countries","","499.28","335.76","-8.22","171.74","0.79","31.12","6.2","2.07","4.13","0.73","0.51","1.36","26.78","97.36","0.77","0.41",,"0.71","17.13","60.19","0.42","0.64","0.94","2.58","16.62","0.04","0.11",,"3.43","19.56","1.8","2","3.1","35.05","168.75",,,,,,"1.15",,"5.34",,,,,,,,,,"0.03",,"3.03","-17.76",,,,"-17.55","-0.72",,"-0.72",,,,,,"3.43","-18.92",,"-1.34","9.84",,"1.82",,,"1.13","3.25",,,"1.24","0.24","2.16",,,,,,,,"-0.73","-0.73",,"-0.73",,"11.43",,"2.36","0.32",,,,,"7.1",,,,,,"-0.16","1.81",,,,,,"0.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243.74","183.65",
"Countries not classified by the World Bank","","915.55","875.89","0.52","39.14","0.17","6.4","0.22","0.18","0.42","0.04",,"0.71","732.67","7.22","0.14",,,,"0.37","3.28","0.15",,"0.13","35.53","0.06","0.02","0.15",,,"8.23","0.07","0.03","71.41","8.46","29.32",,,,,,"0.47",,,,,,,,,,,,,,"0.02","0.03",,,,"0.2",,,,,,,,,"0.15",,,"0.05","5.05",,"0.23",,,"0.33","0.84",,,"1.25","1.22","1.18",,,,,,,,,,,,,"4.57",,,,,,,,"4.59",,,,"-0.02",,,,,,,,,"0.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"823.83","821.56",
"HIPCs, Total","","43968.61","28353.4","347.67","15267.54","216.97","184.41","212.12","1195.88","1816.31","20.42","810.16","262.36","2543.12","1805.37","6.41","6.7","11.86","357.95","386.64","2314.03","191.76","99.3","1375.3","7.78","940.64","8.17","170.22","1.4","1.36","1087.3","786.16","354.28","2412.75","8983.24","4343.59",,,,"1","1.58","43.44",,"57.8","0.24",,"13.03",,,"0.19",,,,"0.74",,"146.91","82.74",,"1374.12","1374.12","1597.34","1419.77","127.47","1292.3",,,,,,"9.57",,,"168","1202.16",,"12.53","130.14",,"21.39","254.71",,,"124.19","39.16","447.67",,"43.46",,,"128.91",,,"4495.59","4495.59",,"4495.59",,"2254.74","17.95","66.08","128.5",,,,"299.49","95.19","1580.66",,,,"31.73","35.14",,,,,,,"216.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20261.46","13549.09",
"Land-Locked countries, Total","","24391.62","15522.4","506.56","8362.66","125.2","229.75","55.58","294.16","750.73","30.43","404.12","136.8","414.07","1258.48","7.33","7.29","7.25","209.04","119.23","1769.52","265.76","72.33","506.36","12.56","508.85","11.73","15.62","1.96","2.13","282.34","433.9","290.81","1442.39","5981.88","2542.15",,,,"1.89","1.27","23.59",,"32.11","0.17",,"13.27",,,"19.71",,,,"23.79",,"353.35","37.4",,"496.17","496.17","722.32","613.42","9.85","603.57",,,,,,,"7.02",,"101.88","779.5",,"10.23","91.94",,"14.29","170.29",,,"72.23","30.92","257.35",,"16.75",,,"115.5",,,"2507.3","2507.3",,"2507.3",,"1315.22",,"34.49",,,,,"153.94","63.02","971.09",,,,"20.39","32.21","40.08",,,,,,"125.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11736.3","5705.29",
"Small island states, Total","","6365.82","4698.41","49.37","1618.05","15.29","999.41","14.42","38.82","478.64","3.88","37.22","14.96","245.08","54.71","0.9","0.05","1.34","13.4","73.8","389.64","13.73","21.57","97.01","133.12","107.45","0.21","217.4",,"0.42","285.79","45.33","29.6","58.87","1321.64","934.78",,,,"0.15","0.68","5.59",,"-6.71","0.12",,"0.02",,,"0.15",,,,"0.56",,"8.7","40.11",,"155.45","155.45","68.67","18.55",,"18.55",,,,,,"49.55",,,"0.57","96.85",,"3.27","7.8",,"4.37","36.14",,,"18.68","0.72","15.28",,"7.28",,,"3.31",,,"214.34","214.34",,"214.34",,"147.95",,"0.81",,,,,"4.39","28.39","103.35",,,,"-0.99","12",,,,,,,"15.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2622.38","1223.84",
"Fragile states, Total","","56138.39","37655.56","782.55","17700.28","298.91","1260.92","239.74","1076.87","1873.86","29.61","948.61","346.84","2665.96","2388.28","21.38","8.07","10.45","392.61","509.23","3033.9","359.86","101.21","1421.16","72.89","1172.89","10.76","131.24","2.54","1.65","1249.14","1059.36","440.34","3297.35","13528.84","5242.38",,,,"2.32","2.21","45.87",,"15.87","0.24",,"13.07",,,"1.58",,,,"-9.04",,"393.45","316.98",,"917.66","917.66","1441.53","1225.39","125.84","1099.55",,,,,,"6.32",,,"209.82","2010.62",,"19.59","165.5",,"28.37","345.5",,,"175.54","107.22","587.98",,"43.54","341.06",,"196.32",,,"5436.22","5436.22",,"5436.22",,"2651.87","12.92","52.38","81.82",,,,"504.64","109.18","1793.02",,,"-0.02","33.3","57.55","7.09",,,,,,"298.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27297.42","15901.61",
"Afghanistan","","6235.32","5546.34","142.78","546.2","6.31","99.18","2.41","15.18","267.12","13.26","76.84","25.82","58.56","469.76","0.14","6.45","1.27","9.12","54.34","745.66","93.68","3.19","115","3.49","120.18","6.78","14.01","0.51","0.51","60.83","91.72","17.66","234.83","2938.84","285.02",,,,,"0.81",,,"0","0.12",,"13",,,"0.03",,,,"0.13",,"107.32","21.37",,"8.62","8.62","6.31",,,,,,,,,,,,"6.31","73.3",,"0.19","3.38",,,"13.24",,,"5.82",,"39.34",,,,,"11.33",,,"141.42","141.42",,"141.42",,"31.53",,,,,,,"22.99","0.13","8.41",,,,,,,,,,,,"6.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4769.11","1259.26",
"Albania","","365.07","226.28","11.01","127.79",,"0.01","8","0.05","0.01","0.54","1.49","0.63","4.25","35.35","51.93","0.09",,"0.07","54.8","2.44","0.01","0.09","4.16",,"2.51","0.43",,,"0.23","4.82","10.9","14.2","0.87","28.4","74.95",,,,,,"0.01",,"2.57",,,,,,"0.54",,,,,,"7.75","0.14",,"-12.12","-12.12","30.74",,,,,,,,,,"25.24",,"5.5","4.73",,"0.35","1.97",,"0.08","0.75",,,"0.56","0.27","0.75",,,,,,,,"15.12","15.12",,"15.12",,"14.37",,,,,,,"0.35","1.88","0.68",,,,,"7.59","3.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126.12","178.7",
"Algeria","","201.25","143.34","-2.34","60.25","0.09",,"0.12","10.28","-0.5","0.26","5.31","0.19","69.78","10.23","0.07","0.05",,,"4.87","15.48","2.89",,"0.16",,"1.02","0.03","0.02",,,"9.53","1.59","1.14","2.2","8.62","51.75",,,,,,,,,,,,,,"0.02",,,,,,"0.51","-2.87",,,,,,,,,,,,,,,,,"5.61",,"1.13",,,"0.15","0.68",,,"0.21","1.44","1.09",,,,,"0.91",,,,,,,,"2.89",,,,,,,,"2.89",,,,,,,,,,,,,"0.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110.68","114.69",
"Angola","","235.17","151.56","0.09","83.52","5.58",,"0.02","0.38","0.66","1.86","1.23","1.95","4.09","7.05","0.12",,,"1.17","0.23","37.62","18.83",,"-2.72",,"13.22","1.37","-12.8",,,"5.49","1.18","0.4","16.68","53.53","24.39",,,,,,"0.01",,,,,,,,"0.08",,,,,,,,,,,"6.71","6.71",,"6.71",,,,,,,,,,"13.62",,"0.36","-0.18",,"0.7","2.2",,,"1.76","0.49","8.29",,,,,"0",,,"3.9","3.9",,"3.9",,"34.89",,,,,,,"7.77","0.22","25.88",,,,,"1.02",,,,,,,"5.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"119.86","27.3",
"Anguilla","","8.27","0.3",,"7.97",,,,,,,,,,"0.21",,,,,,,,,,,,,,,,,,,"0.09",,"8.29",,,,,,,,,,,,,,,,,,,,,,,,,"-0.32",,,,,,,,,"-0.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.3","0.3",
"Antigua and Barbuda","","19.66","7.03","0.01","12.63",,,,,,,,"0.03",,"0.01","0.08",,,,,"6.76","0.01",,,,,,,,,"0.03",,,,"0.11","12.24",,,,,,,,,,,,,,,,,,,,,"0.01",,,,"-0.21",,,,,,,,,"-0.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.88","0.15",
"Argentina","","130.31","108.11","-0.96","23.17",,"0.18","0.35","0.01","1.03","0.17",,"0.2","13.5","21.93","0.63","0.02",,"0.31","0.44","40.33","0.17","0.15","0.52","0.12","0.1","0.01","0.04",,"0.06","22.96","0.12","0.45","0.54","3.77","7.96",,,,,,"2.3",,"-3.41",,,,,,,,,,"0.02",,"0.11","0.02",,,,,,,,,,,,,,,,,"4.61",,"0.75",,,"0.52","0.83",,,"0.76","0.98","0.77",,,,,,,,,,,,,"10.6",,,,,,,,"10.41","-0.38",,,"0.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81.54","61.96",
"Armenia","","320.32","206.52","2.21","111.59",,,"1.45","0.03","0.01","0.68","1.78","0.13","4.47","16.72","1.73","0.02",,,"0.07","77.45","0.86","0.11","1.56",,"3.57","0.56",,,,"0.26","0.94","2.63","0.49","91","33.35",,,,"0.1",,"0.19",,,,,"0.03",,,"0.06",,,,"0.01",,"0.99","0.83",,"35.51","35.51",,,,,,,,,,,,,,"8.26",,"0.91","2.71",,"0.32","1.4",,,"0.5","0.55","0.79",,,,,"1.08",,,"20.29","20.29",,"20.29",,"14.19",,,,,,,"0.81","2.23","4.24",,,,,"3.63","3.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"190.21","31",
"Aruba","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azerbaijan","","156.48","61.81","22.02","72.65",,,"0.58","0.01",,"0.11","0.02","0.45","5.13","15.87","0.14","0.05",,"0.01","0.01","-11.01","4.07","0.08",,,"3.36","0.18",,,,"0.06","0.96","3.91","0.86","36.96","20.76",,,,"0.02",,"1.39",,"-2.12","0.01",,"0.06",,,"0.02",,,,,,"22.77","-0.13",,"-14.73","-14.73","3.42",,,,,,,,,,,,"3.42","7.96",,"0.26","3.1",,"0.13","1.36",,,"0.75","1.13","1.23",,,,,"0",,,"35.93","35.93",,"35.93",,"19.31",,,,,,,"1.64","1.42","9.52",,,,,"3.4","3.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47.82","24.52",
"Bahamas","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahrain","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bangladesh","","1327.33","872.57","-3.14","457.9","25.93","50.27","0.53","-0.01","86.11",,"84.1","1.63","-3.03","65.05","0.08",,,"2.24","5.39","24.19","54.67","0.87","78.57","0.11","16.92","0.05",,,,"5.53","36.26","21.03","228.32","113.69","188.65",,,,,,,,"-3.05",,,,,,,,,,"0.22",,"0.64","-0.95",,"-45.31","-45.31","11.98",,,,,,,,,,,,"11.98","89.21",,"0.92","17.7",,"0.42","19.69",,,"6.6","0.45","24.04",,,,,"19.39",,,"109.53","109.53",,"109.53",,"103.84",,,,,,,"52","1.58","42.08",,,,"4.34","3.84",,,,,,,"25.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"519.72","505.58",
"Barbados","","15.58","2.45",,"13.13",,"0.24",,,"0.64",,,,"0.03","0.1",,,,,,"1.2",,,,"0.01",,,,,,"0.04",,,"0.08","0.11","12.35",,,,,,,,,,,,,,,,,,,,,,,,,"0.08",,,,,,,,,"0.08",,,,"0.7",,,,,"0.45","0.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.16","0.25",
"Belarus","","136.26","98.38","3.39","34.49",,,"5.91","0.12",,"1.65","2.11","0.37","4.13","17.96","0.11","0.05","0.08","0.03","0.13","1.39","0.09",,,,"2.21","15.09",,"0.16","0.06","0.26","17.5","0.83","0.37","27.77","15.23",,,,,"0.11","2.78",,"-1.11","0.1",,"0.95",,,,,,,"0.01",,"0.55",,,,,,,,,,,,,,,,,,"3.23",,"0.52",,,"0.17","0.84","0.09",,"0.44","0.31","0.86",,,,,,,,,,,,,"16.03",,,,,,,,"2.14","12.75",,,,,,"1.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51.75","66.01",
