Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"America, Total",,"8804.84","5924.57","434.36","2445.92","376.73","3.95","21.85","49.02","456.49","1.65","4.75","4.62","567.24","1181.1","0","5.38","0.33","12.68","-12.3","157.47","210.26","16.99","16.92","6","196.34","2.42","7.37","0.26","0.06","315.95","119.98","215.4","311.8","2050.59","782.63","0",,,,"0.17","11.88",,"6.06","0.02",,"0.15","0.08","0.13","0.1","361.19","18.23","1.56","0.5",,"20.76","13.53",,"127.05","127.05","712.09",,,,,,"530.77","530.77",,"180.48",,,"0.83","316.39","46.58","15.22","0.78","40.87","8.13","13.87",,,"36.12","19.78","50.2",,"16.07",,,"21.27","47.13","0.37","224.7","224.7",,"224.7",,"283.05","15.23",,,,"44.14","27.18","16.17","59.13","108.84","0.6","40.8",,"-3.6","-25.44",,,"15.1","1.66","143.1","4.41","18.24",,"1.16","5.37","10.21","2.1","11.97","37.56",,"27.58",,"1.34","4.55","0.34","10.54","13.29","8.88","3.27","4.28","0.76","1.12","1.53","4.69",,"21.37","5.32","0.84","4.65","6.09","1.63","3.27",,,"0.51","4712.39","2627.74","3.77"
"Caribbean & Central America, Total",,"4517.8","2831.16","411.34","1275.3","101.29","1.45","11.76","19.84","189.7","0.51","3.57","2.08","227.22","491.46","0","0.82","0.09","7.03","26.46","117.03","102.89","11.64","2.42","2.66","17.9","0.46","0.43","0.22",,"114.58","43.71","92.31","136.52","1206.38","403.24","0",,,,,"2.98",,"-1.89","0.02",,"0","0.05","0.1","0.05","360.96","17.91","1.56","0.18",,"18.01","11.4",,"23.41","23.41","390.12",,,,,,"235.77","235.77",,"154.35",,,,"115.08","5.53","4.71","0.61","13.51","5.63","9.69",,,"18.21","7.44","21.99",,"5.52",,,"12.5","9.75",,"193.72","193.72",,"193.72",,"149.72","7.96",,,,"26.14","11.93","14.53","16.31","73.5","0.32","14.88",,"-2.1","-13.74",,,,"1.38","9.18",,"9.13",,"0.33","2.63","2.82","2.1","11.09","15.64",,"0.42",,"0.3","0.18",,"8.31","7.22","2.81","3.2","2.91",,"1.12",,"4.61",,"10.27",,,"1.34","4.1",,,,,"0.2","2394.77","1100.75","0.2"
"Caribbean, Total",,"1873.37","791.33","382.24","699.8","25.03","0.75","0.23","11.57","122.7","0.28","3.43","0.14","87.58","26.43",,"0.01",,"1.87","14.97","47.46","11.09","0.81","0.35","2.28","3.71","0.08","0.13","0.14",,"18.56","4.1","36.1","86.79","309.77","227.27","0",,,,,"0.15",,"-3.04",,,,"0.03","0.1","0.03","357.6","16.47",,"0.03",,"0.3","10.56",,"23.41","23.41","185.42",,,,,,"57.46","57.46",,"127.97",,,,"37.79","2.23","2.49","-2.01","3.1","2.7","7.24",,,"5.36","1.86","10.61",,,,,,"4.22",,"133.49","133.49",,"133.49",,"92.42","7.43",,,,"13.15","6.82","12.31","4.74","48.72","0.1","4.37",,"-0.84","-4.38",,,,"0.65","9.14",,"5.34",,"0.33",,"0.35","0.25","0.31","1.77",,,,,,,,"3.28",,,,,"1.12",,,,"2.49",,,"0.01",,,,,,,"695.71","257.47",
"Central America, Total",,"2234.47","1702.07","12.92","519.48","71.49","0.7","11.06","8.27","47.65","0.23","0.13","0.87","137.94","378.4","0","0.81","0.09","4.74","6.81","69.56","91.8","8.28","1.11","0.39","8.18","0.38","0.3","0.08",,"90.91","33.25","47.89","44.17","708.05","136.49",,,,,,"2.83",,"1.15","0.02",,"0","0.02",,"0.02","3.35","1.34","1.56","0.16",,"1.63","0.84",,,,"206.19",,,,,,"179.81","179.81",,"26.38",,,,"67.02","3.3","2.22","2.62","7.52","2.84","2.45",,,"9.73","1.4","11.38",,"5.52",,,"12.5","5.54",,"61.18","61.18",,"61.18",,"48.6","0.54",,,,"6.99","5.11","2.22","11.57","24.78","0.22","7.8",,"-1.26","-9.36",,,,"0.72","0.04",,"2.61",,,"2.63","2.21","0.33","10.69","13.17",,"0.42",,"0.3","0.18",,"8.31","3.94","2.81","3.2","1.91",,,,"4.61",,"7.78",,,"1.33","4.1",,,,,"0.2","1392.58","727.75","0.2"
"South America, Total",,"3642.33","2620.5","21.85","999.97","263.35","2.5","9.96","29.17","148.19","1.13","1.18","2.54","339.18","559.01","0","4.56","0.24","5.58","-40.39","27.8","101.3","5.35","12.63","3.34","175.34","1.96","5.72","0.04","0.06","178.62","76.06","114.5","166.77","688.17","332.83",,,,,"0.06","8.89",,"7.94","0",,"0.14","0.03","0.03","0.06","0.23","0.32",,"0.31",,"1.7","2.13",,"103.64","103.64","290.74",,,,,,"263.77","263.77",,"26.14",,,"0.83","126.69","7.96","10.51","0.17","16.79","2.5","3.06",,,"17.91","12.18","28.21",,"10.56",,,"8.77","8.06",,"30.97","30.97",,"30.97",,"115.1","7.27",,,,"18.01","15.24","1.64","38.01","27.66","0.28","22.92",,"-1.5","-14.43",,,"15.1","0.25","133.92","4.41","8.56",,"0.83","2.74","3.98",,"0.88","19.88",,"27.16",,"1.04","4.37","0.34","2.23","6.07","6.07","0.07","1.38",,,"1.53","0.08",,"9.29","4.09","0.7","2.63","0.63","1.63","3.19",,,"0.31","1888.73","1359.12","3.5"
"Northern America, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, Total",,"47741.77","26391.17","10878.15","10472.44","1133.21","834.88","105.83","105.45","925.58","21.17","335.82","123.48","1329.54","5373.17","0.56","82.9","4.82","57.46","221.6","3639.39","988.6","68.21","251.04","83.02","689.28","30.06","23.75","2.76","1.57","48.79","610.13","511.71","3152.43","6768.15","3331.84","2.91","0.78","2.07","1.74","4.33","104.15","3.81","128.1","0.84",,"1.63","0.37","350.3","3.91","259.46","1240.69",,"69.42",,"7867.82","835.82",,"264.1","264.1","1623.49",,,,"1498.64","1498.64",,,"1.66",,"-1.15",,"124.34","1836.84","55.53","19.18","161.48","64.05","14.65","64.6",,,"94.73","49.24","284.51",,"16.23","765.02",,"87.98","159.39","0.24","1927.23","1927.23",,"1927.23",,"1488.94","7.62",,"-7.39",,"95.57","28.62","564.44","51.36","701.83","3.42","48.58",,"-7.14","-16.47","18.5",,"1.87","3.76",,"4.09","561.77","4.07","5.66","72.24","8.69","0.25","44.78","45.38",,,"17.43","8.57","70.26","0.56","40.01","2.74","17.2","12.39","15.11",,"1.51","1.68","8.12","24.36","14.74","12.95","9.24","77.49","23.33","6.97","10.22",,"0.77","5","21409.87","11945.74","15.98"
"Middle East, Total",,"23411.98","10187.88","10015.77","3208.32","77.89","130.46","45.02","68.51","379.74","10.24","205.22","40.75","236.69","2747.83","0.43","29.46","3.81","35.72","136.52","526.27","83.7","16.8","106.81","7.65","398.71","11.59","4.77","1.54","1.1","81.69","267.89","147.07","1227.39","3234.55","1484.31","0.58","0.26","1.55","1.74","1.47","68.21",,"128.8","0.01",,"0.1","0.17","343.82","2.43","35.85","1076.9",,"0.19",,"7666.02","687.68",,"82.98","82.98","90.15",,,,,,,,,,,,"90.15","967.54","3.77","1.7","-1.58","10.63","1.46","8.98",,,"20.59","24.73","34.7",,"5.18","765.02",,"51.23","40.88","0.24","499.74","499.74",,"499.74",,"83.6",,,"-7.39",,"41.39",,"10.25","3.56","25.17","0.29","2.28",,,"8.06",,,"1.34","0.04",,"0.91","15.52","3.83","1.67",,"1.62",,,"8.41",,,"1.12","0.97","1.54",,"25.11","1.31",,"3.96",,,"1.51",,"0.13",,"0.51","0.05","0.05","0.19",,"4.87","2.2",,"0.64","0.38","8488.97","5275.94","3.22"
"South & Central Asia, Total",,"20367.19","13366.51","664.37","6336.32","785.88","245.45","37.61","5.54","271.29","7.86","125.72","66.05","839.47","1608.43","0.12","19.48","0.81","10.04","85.69","4275.64","469.68","17.8","123.15","20.47","193.1","15.93","2.73","1.15","0.45","22.46","254.2","247.05","1556.57","2842.56","1477.7","2.33","0.46","0.51",,"2.86","26.45","2.72","16.12","0.77",,"1.39","0.02","6.03","1.08","144.74","122.34",,"26.96",,"166.14","143.45",,"181.29","181.29","1372.16",,,,"1338.08","1338.08",,,"0.82",,"-1.15",,"34.42","615.46","7.42","6.1","165.94","25.33","5.37","38.59",,,"38.45","13.09","209.97",,"11.04",,,"27.22","66.95",,"1707.32","1707.32",,"1707.32",,"982.38","6.6",,,,"45.12","15.16","492.67","20.68","382.67","0.9","40.69",,"-3.83","-36.77","18.5",,"0.02","0.26",,"3.18","463.88",,"3.34","42.83","2.52","0.25","10.49","13.53",,,"9.65","3.86","56.91","0.56","12.5","0.77","13.69","6.55","5.84",,,,"2.74","24.36","8.56","12.7","7.23","62.1","6.84","1.23","5.61",,,"3.88","11479.65","4800.45","9.49"
"Far East Asia, Total",,"2861.58","1904.77","173.66","783.16","233.39","428.55","22.21","31.39","41.86","3.05","4.86","10.92","246.58","836.19","0.02","33.97","0.2","11.68","-5.12","-1308.96","390.85","33.41","16.92","52.73","76.86","2.53","16.23","0.08","0.02","-55.37","43.16","108.09","205.78","656.07","336.13",,"0.06","0.01",,,"9.49","0.05","-16.82","0.05",,"0.14","0.17","0.45","0.41","77.81","41.46",,"42.27",,"13.4","4.69",,"-0.17","-0.17","119.25",,,,"119.47","119.47",,,"0.84",,,,"-1.06","186.61","4.33","11.39","-2.87","21.2","3.75","13.54",,,"22.96","11.38","39.84",,,,,"9.53","51.56",,"-279.83","-279.83",,"-279.83",,"421.17","1.02",,,,"9.07","12.94","61.52","27.07","292.78","2.23","5.61",,"-3.31","12.25",,,,"3.46",,,"58.64","0.25","0.65","29.4","4.29",,"33.69","22.35",,,"6.67","3.74","11.81",,"2.4","0.66","2.99","1.87","8.3",,,"1.68","3.49",,"5.67",,"0.86","12.77","15.95","0.88","0.49",,"0.13","0.3","672.41","1458.51","0.92"
