Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients",,,"146536.7","16852.61","45259.03","7099.1","2888.43","1227.07","2207.66","4534.51","309.2","2541.37","1149.3","11984.15","24122.38","367.66","311.49","61.42","973.4","4298.17","11720.17","2517.13","471.57","5292","554.76","4297.83","761.03","381.63","115.77","87.74","2708.7","5204.71","3095.7","19371.02","32980.72","15266.61","25.95","65.39","72.61","19.97","48.49","281.18","34.21","401.81","34.36","25.47","67.67","41.01","567.35","254.15","1227.39","2068.91","315.85","144.19",,"8666.81","2489.85",,"246.36","246.36","4107.09","1650.39","13.17","1637.21","1558.97","1558.97","530.77","530.77","1.66","180.48","41.47",,"143.36","5881.27","455.03","73.87","515.03","280.72","132.55","370.93",,,"416.65","669.03","1010.94","184.05","146.94","765.02",,"304.39","547.81","8.31","12670.37","12670.37",,"12670.37",,"7087.33","63.86",,"333","1.12","537.67","66.63","2063.65","274.96","3503.93","8.31","257.19",,"-3.47","-118.97","99.47",,"55.05","15.1","143.1","14.26","4056.91","23.96","46.02","253.43","26.92","42.26","119.81","193.99","18.85","48.2","10.77","16.55","190.68","17.36","108.87","41.1","45.57","44.49","44.17","298.27","39.75","8.75","14.04","35.16","136.25","58.94","110.51","326.93","123.35","16.68","237.93","2.03","57.3","55.78","109011.13","83886.02","353.04"
"All Developing Countries, Total",,"163504.36","103331.13","15267.21","44906.02","6590.4","2228.15","443.86","1136.41","3040.24","95.85","1757.54","601.61","7443.95","18505.78","142.67","158.56","51.35","568.23","1322.78","7477.42","1910.99","361.93","3425.04","455.37","3315.32","207.78","117.61","21.52","31.08","802.29","3468.37","2356.27","13069.01","28814.12","14913.6","6.42","8.82","20.36","6.39","16.85","239.32","26.73","400.99","4.46","19.23","12.01","32.19","526.11","64.54","692.89","2015.56","253.69","73.37",,"8469.04","2378.21",,"246.36","246.36","4107.09","1650.39","13.17","1637.21","1558.97","1558.97","530.77","530.77","1.66","180.48","41.47",,"143.36","5881.27","455.03","73.87","515.03","280.72","132.55","370.93",,,"416.65","669.03","1010.94","184.05","146.94","765.02",,"304.39","547.81","8.31","12670.37","12670.37",,"12670.37",,"7087.33","63.86",,"333","1.12","537.67","66.63","2063.65","274.96","3503.93","8.31","257.19",,"-3.47","-118.97","99.47",,"55.05","15.1","143.1","14.26","3548.21","23.96","46.02","253.43","26.92","42.26","119.81","193.99","18.85","48.2","10.77","16.55","190.68","17.36","108.87","41.1","45.57","44.49","44.17","298.27","39.75","8.75","14.04","35.16","136.25","58.94","110.51","326.93","123.35","16.68","237.93","2.03","57.3","55.78","79673.3","53681.89","353.04"
"All Multilateral Recipients, Total",,"45143.99","43205.57","1585.4","353.01","508.7","660.27","783.21","1071.25","1494.28","213.35","783.83","547.69","4540.2","5616.6","224.99","152.93","10.07","405.17","2975.39","4242.75","606.14","109.64","1866.96","99.38","982.51","553.25","264.02","94.24","56.65","1906.41","1736.34","739.43","6302.01","4166.6","353.01","19.53","56.57","52.25","13.58","31.64","41.86","7.48","0.82","29.89","6.24","55.66","8.82","41.23","189.61","534.5","53.35","62.16","70.82",,"197.77","111.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"508.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29337.83","30204.13",
"Africa, Total",,"57672.65","29627.31","2313.59","25731.76","2173.26","74.42","82.79","436.17","1080.52","14.87","482.36","174.8","2950.09","4549.19","0.8","30.1","19.28","263.24","384.92","1572.5","501.68","167.02","743.93","13.39","800.54","24.03","64.94","3.28","0.58","110.14","1130.96","564.38","3814.3","9572.09","6831.12","0.03","0.07","0.02","0.01","0.45","4.09","0.01","261.13",,,"0.19","0.71","106.91","1.15","32.06","644.77",,"2.25",,"102.64","1157.11",,"-63.49","-63.49","1669.71","1650.39","13.17","1637.21",,,,,,,,,"19.32","2171.33","73.69","22.78","342.74","74.67","41.68","254.71",,,"152.36","228.78","585.97",,"97.81",,,"161.67","133.73","0.73","10537.25","10537.25",,"10537.25",,"4585.85","37.85",,"340.39",,"389.25",,"1140.98","90.54","2590.62","1.63","68.11",,"2.4","-75.92",,,"1.83","7.34",,"1.39","1177.19","19.31","38.86","102.44","4.79","36.9","12.14","46.52","18.85","0.78","20.87","3.87","45.43","7.7","30.12","13.61",,"20.23","8.79","294.03","16.42","3.39",,"10.8","9.4","8.66","38.68","61.53","34.51","8.08","59.75",,"1.53","7.49","23923.6","15428.51","68.78"
"North of Sahara, Total",,"4015.02","1853.24","658.87","1502.92","11.79","0.27","8.83","27.05","13.05","1.61","1.35","3.82","486.51","537.01","0.4","9.18",,"0.19","74.96","207.06","77.52","2.57","36.73","0.26","22","1.26","0.7",,"0.08","-4.52","12.25","50.61","109.58","172.9","1352.44",,,"0",,"0.06","0.35","0.01","198.18",,,"0","0.04","27.91","0.38",,"169.92",,"0.2",,"7.7","254.12",,"-16.25","-16.25","2.28","-5.77","4.66","-10.43",,,,,,,,,"8.05","65.73","1.89","1.5","-2.79","5.79","0.91","1.65",,,"6.78","8.7","10.97",,"2.05",,,"20.22","8.06",,"-124.67","-124.67",,"-124.67",,"223.39","1.91",,"168.42",,"3.76",,,"6.5","11.21","0.02","19.42",,"-0.31","12.46",,,"1.33",,,,"1.5","2.17","0.43",,"0.84",,,"1.76",,,,"0.53","0.01",,,"0.1",,,,"0.76","0.58",,,,,,,"0.01",,,"1.76",,,,"1601.07","1309.54","1.76"
"South of Sahara, Total",,"50457.12","25618.3","1626.39","23212.43","1911.07","65.74","68.14","406.17","799.88","13.26","416.74","139.43","2334.67","3180.06","0.4","20.92","19.28","261.58","262.72","1333.5","416.1","155.41","653.22","12.31","714.43","22.45","64.04","3.28","0.5","111.95","1049.46","493.64","3199.82","9399.19","4985.6","0.03","0.07","0.01","0.01","0.21","3.74",,"62.94",,,"0.18","0.59","78","0.73","32.06","474.85",,"2.05",,"94.45","876.45",,"-47.25","-47.25","1352.41","1341.27","5.64","1335.62",,,,,,,,,"11.14","1962.71","23.98","12.45","345.53","55.51","34.15","239.35",,,"145.58","218.53","575",,"95.76",,,"141.45","75.42",,"10634.59","10634.59",,"10634.59",,"4324.37","33.84",,"171.97",,"385.49",,"1140.98","79.32","2554.91","1.61","44.5",,"3.11","-91.35",,,,"7.34",,"1.39","1014.74","17.14","38.43","58.16","3.51","35.53","11.24","37.86","18.85",,"20.87","3.34","45.41","7.7","30.07","12.33",,"20.23","8.79","293.07","14.54","3.39",,"10.8","9.4","5.47","33.24","52.33","33.41","8.08","45.38",,"1.53","7.49","20509.84","12364.22","54.41"
"Eastern Africa, Total",,"24911.85","13135.9","1188.14","10587.82","804.31","38.38","40.24","163.31","377.72","8.65","303.48","104.32","304.59","1038.65","0.14","14.29","16.32","202.89","147.31","893.93","240.49","9.95","360.86","9.44","470.49","21.35","27.59","3.23","0.33","26.29","658.34","179.58","2066.38","5407.34","1440.84","0.03",,"0","0.01","0.09","1.83",,"58.15",,,"0","0.48","74.17","0.2","25.96","377.06",,"1.33",,"60.83","587.98",,"70.95","70.95","731.88","728.8","2.21","726.58",,,,,,,,,"3.09","880.91","10.92","4.63","179.2","25.44","12.7","115.44",,,"62.2","98.79","240.05",,"35.17",,,"63.46","32.91",,"5237.61","5237.61",,"5237.61",,"2225.63","9.09",,"49.15",,"262.39",,"509.44","32.84","1372.91","1.38","23.48",,"-1.08","-33.99",,,,"1.88",,,"349.54",,"23.58","38.79","1.3","19.16","7.29","14.15","18.85",,"6.49","2.12","43.57","0.34","6.85","7.64",,"13.55","6.93","154.64",,"1.08",,"0.05","5.33","1.3","17.33","26.77","14.32","6.44","9.57",,"1.53","3.9","10235.92","5502.21","15.01"
"Middle Africa, Total",,"5870.99","3098.87","26.81","2745.31","63.92","6.97","1.71","113.69","85.74","0.19","7.5","5.08","761.32","421.24","0.11","0.49",,"21.93","28.57","92.21","56.07","5.94","22.82","0.03","40.82","-1.76","-7.1",,"0.03","8.7","109.87","74.55","292.47","949.69","568.2",,,,,,"0.25",,"-3.51",,,"0.01","0","0.23","0.26","1.21","16.64",,"0.03",,"6.91","4.78",,"-54.95","-54.95","145.77","145.88","1.02","144.86",,,,,,,,,"-0.11","401.49","3.14","1.97","41.86","7.27","7.02","41.21",,,"25.97","62.41","131.5",,"25.37",,,"38.48","15.28",,"1012.49","1012.49",,"1012.49",,"672.32","2",,,,"82.3",,"202.45","6.37","378.92",,"1.44",,,"-1.16",,,,"3.39",,"0.7","38.74",,"0.67","3.4","0.42",,"3.4","0.05",,,"0.6","0.09",,,,"0.69",,,,"2.75",,,,,"2",,"0.45","2.75","0.55",,"3.27",,,,"2631.23","1792.81","3.27"
"Southern Africa, Total",,"1396.21","988.81","-4.36","411.77","110.96","4.56","0.83","10.5","6.6","0.16","0.37","1.24","48.49","247.75","0.15","1.37",,"5.29","3.02","17.3","2.59","0.13","0.75","0.28","5.68","0.23","1.61","0.03",,"-2.88","6.12","12.33","47.48","566.85","181.6",,,"0",,,"0.76",,"-4.23",,,"0.01","0.01","0.1","0","0.45","-1.16",,"0.12",,"1.97","-2.38",,"-2.04","-2.04","-5.25","-5.25","1.13","-6.38",,,,,,,,,,"44.85","2.44","1.7","2.21","4.35","5.03","4.75",,,"6.19","0.92","6.97",,"0.6",,,"4.45","5.23",,"27.62","27.62",,"27.62",,"164.99","5.91",,,,"7.85",,"1.14","7.9","133.99",,"8.05",,"-0.47","0.62",,,,"0.62",,,"28.97",,"3.32","0.76","0.32",,,"12.82",,,"3.77",,,,,"1.31",,"5.47",,"10.19","3.38",,,"10.75","1.45","2.5",,"2.3","0.66","0.18","21.49",,,"0.7","937.49","372.62","22.2"
"Western Africa, Total",,"14911.06","6489.27","410.36","8011.43","496.84","7.44","15.24","112.93","281.75","4.26","93.26","15.64","1118.6","909.8","0.01","4.77","2.96","30.56","72.61","309.67","107.23","136.21","128.26","0.97","83.97","2.62","40.5",,"0.03","80.7","154.39","171.43","593.89","2009.56","1409.17",,,"0",,"0.12","0.91",,"12.53",,,"0.17","0.09","3.5","0.18","4.44","82.31",,"0.58",,"19.45","286.07",,"-61.21","-61.21","480.01","471.84","1.28","470.56",,,,,,,,,"8.16","598.91","7.48","4.15","122.26","15.64","9.4","77.95",,,"51.22","29.47","189.68",,"34.62",,,"35.05","22",,"4352.32","4352.32",,"4352.32",,"1232.23","4.3",,"122.82",,"32.95",,"427.94","32.21","662.17","0.23","11.53",,"-3.54","-58.37",,,,"0.54",,"0.7","276.81","0.05","6.74","13.21","1.46","8.69","0.55","10.38",,,"10.01","1.13","1.73","7.37","23.19","2.68",,"1.22","1.86","75.51","11.16","1.23",,,"0.35","1.67","10.77","7.8","10.58","1.46","6.4",,,"1.58","5295.89","3514.29","7.98"
