Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"America, Total","","5840.96","4591.34","18.26","1231.36",,"1.46","17.66","67.85","175.91","10.63","79.32","24.53","213.21","473.25","0.47","0.03",,"11.19","55.15","463.87","11.16","23.76","195.15","2.82","74.7","0.22","0.53","0.67",,"517.37","139.44","101.3","131.74","1797.95","558.69",,,,,,"19.21",,"-1.17",,,,,,,,,,,,,"0.22",,"-3.38","-3.38","24.52",,,,,,,,,"24.53",,,"-0.01","190.78",,,"14.77",,,"17.35",,,"31.98","14.68","21.27",,,,"68.76","21.97",,,"306.39","306.39",,"306.39",,"154.36",,,,,,,,"106.18","32.23",,,"2.71","12.23","1.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3311.08","1962.17",
"Caribbean & Central America, Total","","2423.19","1806.59","5.87","610.73",,"0.21","13.69","15.02","107.1","0.96","47.96","16.96","90.34","225.41","0.31","0.01",,"7.41","46.25","181.49","7.55","13.09","75.2","0.8","41.16","0.03",,"0.62",,"222.01","84.06","38.07","79.07","491.81","248.58",,,,,,"2.54",,"3.19",,,,,,,,,,,,,"0.14",,"15.43","15.43","16.53",,,,,,,,,"16.53",,,,"97.1",,,"15.19",,,"10.2",,,"21.3","4.42","12.07",,,,"18.92","15",,,"152.33","152.33",,"152.33",,"80.76",,,,,,,,"45.23","22.41",,,,"9.14","3.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1221.47","938.4",
"Caribbean, Total","","518.94","391.97","0.6","126.37",,"0.19","0.13","7.3","49.21","0.19","0.51","0.21","28.5","13.03","0.03","0.01",,"0.83","-5.64","49.8","0.54","0.24","7.78","0.17","4.72","0.01",,"0.01",,"40.76","3.48","6.96","56.34","126.66","61.41",,,,,,"0.57",,"0.03",,,,,,,,,,,,,,,"-0.95","-0.95","15.57",,,,,,,,,"15.57",,,,"31.42",,,"2.16",,,"4.49",,,"2.69","0.37","4.82",,,,"8.09","8.8",,,"1.8","1.8",,"1.8",,"17.12",,,,,,,,"2.71","17.71",,,,"-0.18","-3.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"317.9","153.72",
"Central America, Total","","1730.2","1287.39","5.27","437.54",,"0.02","13.56","7.61","46.08","0.77","40.69","12.01","43.73","210.3","0.28",,,"6.58","51.89","131.3","7.01","12.72","59.47","0.55","27.98","0.02",,,,"172.33","68.58","22.62","22.73","328.56","152.43",,,,,,"1.97",,"3.16",,,,,,,,,,,,,"0.14",,"16.38","16.38","0.96",,,,,,,,,"0.96",,,,"61.03",,,"13.03",,,"5.64",,,"18.23","3","5.7",,,,"9.23","6.2",,,"150.53","150.53",,"150.53",,"56.21",,,,,,,,"35.09","4.7",,,,"9.32","7.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"834.59","723.27",
"South America, Total","","3028.49","2517.93","12.39","498.17",,"1.25","3.97","52.83","67.32","0.89","31.36","7.57","122.86","220.27","0.16","0.02",,"3.78","7.89","279.63","3.61","10.67","107.33","1.91","30.84","0.19","0.43","0.05",,"238.49","42.76","60.97","42.11","1178.77","225.66",,,,,,"16.67",,"-4.36",,,,,,,,,,,,,"0.08",,"-18.81","-18.81","7.99",,,,,,,,,"8",,,"-0.01","60.1",,,"-0.42",,,"7.08",,,"8.22","8.28","9.2",,,,"20.77","6.97",,,"154.06","154.06",,"154.06",,"69.17",,,,,,,,"56.52","9.82",,,"2.71","3.09","-2.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1918.85","893.63",
"Northern America, Total","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, Total","","19888.12","13925.04","797.26","5165.82",,"366.5","18.51","59.7","62.55","55.49","147.95","71.58","586.53","781.04","37.34","1.3","1.19","29.89","72.08","3900.99","192.46","35.71","562.99","37.07","382.21","6.08","51.5","2.3",,"148.73","305.6","219.28","1227.94","4560.53","1312.01",,,,,"0.21","45.62",,"-3.18",,,"0.14",,,,,,,,,"21.73","732.74",,"406.86","406.86","3.09",,,,,,,,,,,"15.34","-12.25","1168.58",,,"53.22",,,"111.38",,,"94.3","88.61","140.37",,,"430.06","167.9","82.74",,,"2015.52","2015.52",,"2015.52",,"259.76",,,,,,,,"125.47","53.34",,,"59.65","9.03","12.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11191.66","4202.26",
"Middle East, Total","","6062.92","4215.03","735.1","1112.79",,"45.17","14.3","17.64","65.3","41.31","9.55","13.35","141.23","206.6","18","0.4","1.19","12.85","59.65","106.19","42.18","7.91","129.59","10.27","132.84","1.14","8.31","0.98",,"72.82","52.55","25.83","219.53","2758.35","502.15",,,,,"0.11","21.17",,"20.58",,,"0.06",,,,,,,,,"2.44","690.74",,"-12.32","-12.32","-5.57",,,,,,,,,,,,"-5.57","560.38",,,"4.65",,,"11.68",,,"11.27","21.47","15.88",,,"430.06","50.49","14.88",,,"62.06","62.06",,"62.06",,"6.09",,,,,,,,"4.15","0.53",,,"0.22",,"1.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3556.85","1027.71",
"South & Central Asia, Total","","7711.18","4991.53","61.17","2658.48",,"49.5","-5.62","10.58","-127.85","8.24","53.97","27.64","125.7","319.67","18.41","0.11",,"10.65","33.68","1485.91","63.98","6.43","252.38","6.18","179.7","2.69","0.3","1.02",,"11.4","134.53","136.13","893.01","1293.19","522.72",,,,,"0.1","20.34",,"-13.09",,,"0.08",,,,,,,,,"14.04","39.7",,"486.76","486.76","8.9",,,,,,,,,,,"13.83","-4.93","384.5",,,"26.23",,,"70.92",,,"49.83","50.46","88",,,,"50.76","48.3",,,"1202.95","1202.95",,"1202.95",,"52.65",,,,,,,,"30.58","9.58",,,"14.11","2.21","-3.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4023.31","1904.79",
"Far East Asia, Total","","5863.11","4564.13","0.99","1297.99",,"271.83","9.83","26.7","114.46","5.94","84.43","24.29","309.79","223.7","0.93","0.79",,"6.39","-21.26","2285.07","86.3","20.66","170.71","20.46","52.39","2.25","42.89","0.3",,"64.51","102.24","51.03","102.11","505.39","228.19",,,,,"0","4.11",,"-10.67",,,"0",,,,,,,,,"5.25","2.3",,"-67.58","-67.58","-0.24",,,,,,,,,,,"1.51","-1.75","188.43",,,"22.34",,,"28.78",,,"27.57","16.68","36.49",,,,"37.26","19.31",,,"750.51","750.51",,"750.51",,"198.68",,,,,,,,"88.4","43.23",,,"45.32","6.82","14.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3519.26","1177.2",
"Europe, Total","","3493.84","2309.4","18.9","1165.54",,"30.18","68.5","0.89","29.01","11.77","19.39","18.2","345.64","220.67","176.79","7.56","0.06","3.78","48.39","104","3.05","9.21","122.04","0.07","142.45","11.97","3.49","3.02",,"115.87","110.58","100.8","39.25","562.77","757.51",,,,,"0.19","3.24",,"7.58",,,"0.02",,,,,,,,,"4.52","3.35",,"-4.69","-4.69","35.75",,,,,,,,,,,"37.41","-1.66","113.92",,,"9.86",,,"7.53",,,"4.64","58.74","4.07",,,,"26.73","2.35",,,"245.77","245.77",,"245.77",,"17.28",,,,,,,,"7.69","3.21",,,"4",,"2.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1349.73","1337.01",
"Oceania, Total","","809.02","747.73","-0.34","61.63",,"376.86","0.54","0.01","4.79",,"0.05","0.25","62.23","2.46",,,,"0.15",,"52.14","4.84",,"2.37","65.86","0.26",,,,,"0.1","0.13","0.26","0.13","174.3","36.24",,,,,,"0.1",,"-0.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.84",,,"-0.51",,,"1.92",,,"1.95",,"3.13",,,,"9.35",,,,"0.43","0.43",,"0.43",,"9.12",,,,,,,,"5.89","2.42",,,,,"0.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"296.05","68.42",
"Melanesia, Total","","369.04","346.44","-0.4","23",,"306.32","0.54",,"1.24",,"0.05","0.14","5.01","2.6",,,,"0.15",,"5.08","0.05",,"1.16","21.31","0.24",,,,,,"0.08","0.26",,"2.21","16",,,,,,"0.04",,"-0.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.79",,,"-0.31",,,"1.29",,,"0.44",,"3.13",,,,"5.24",,,,"-4.15","-4.15",,"-4.15",,"1.36",,,,,,,,"1.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.14","9.73",
"Micronesia, Total","","222.59","217.6","0.06","4.93",,"24.04",,,,,,,"0.07","0.09",,,,,,"25.88","2.66",,,"2.79","0.02",,,,,"0.1",,,,"161.95","2.73",,,,,,"0.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.43",,,,,,"0.07",,,"0.02",,,,,,"1.34",,,,,,,,,"0.77",,,,,,,,"0.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"187.99","0.26",
"Polynesia, Total","","138.39","122.83","0","15.56",,"19.15",,"0.01","0.21",,,,"53.51","-0.84",,,,,,"18.89","2.13",,,"27.58",,,,,,,,,,"2.19","6.28",,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.01",,,"-0.2",,,"0.56",,,,,,,,,"2.65",,,,"4.58","4.58",,"4.58",,"1.69",,,,,,,,"0.88",,,,,,"0.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.96","52.68",
"LDCs, Total","","23810.66","16455.24","106.75","7248.67",,"193.79","61.37","959.22","486.83","8.11","447.88","99.22","2239.37","1549.16","10.78","0.02","3.94","225.98","721.1","1048.43","56.76","46.24","972.63","31.92","577.39","0.55","110.61","0.89",,"146.46","608.67","252.57","1363.79","4231.56","2284.29",,,,,,"31.71",,"-6.17",,,"0.02",,,,,,,,,"0.78","80.41",,"48.87","48.87","427.49","432.13","63.86","368.27",,,,,,,,,"-4.64","1106.98",,,"84.95",,,"169.79",,,"109.58","203.45","192.7",,,,"118.13","228.38",,,"3165.07","3165.07",,"3165.07",,"215.97",,,,,,,,"42.2","103.35",,,,"26.05","44.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11640.24","9572.05",
"Other LICs, Total","","318.07","238.89","1.47","77.71",,"3.6","0.95","2.75","12.06","0.14","2.01","1.75","4.76","18.82","0.06","0",,"4.32","5.34","5.01","0.11","0.74","7.51","0.97","11.23","0.02",,,,"0.05","15.03","4.57","59.23","77.86","45.12",,,,,,"0.1",,"1.34",,,,,,,,,,,,"0.03",,,"-4.48","-4.48",,,,,,,,,,,,,,"26.95",,,"2.74",,,"4.15",,,"1.66","1.65","4.52",,,,"4.1","8.13",,,"0","0",,"0",,"10.12",,,,,,,,"0.76","1.42",,,,,"7.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"183.08","123.48",
"LMICs, Total","","17818.82","12527.68","430.45","4860.69",,"397.15","40.24","93.43","-37.99","9.45","189.25","44.68","1135.16","1064.43","24.24","0.93",,"26.65","114.16","3543.27","100.4","45.87","483.07","26.81","194.53","1.92","40.39","1.19",,"353.42","252.91","177.75","841.47","3362.9","1295.07",,,,,"0.09","39.31",,"67",,,"0.04",,,,,,,,,"9.36","314.65",,"319.15","319.15","125.31","116.35","21.1","95.25",,,,,,,,"10.44","-1.48","936.65",,,"53.84",,,"84.9",,,"72.78","91.33","117.11",,,"378.95","84.76","52.98",,,"2018.89","2018.89",,"2018.89",,"165.62",,,,,,,,"69.75","49.4",,,"17.54","23.45","5.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10023.4","4762.86",
"UMICs, Total","","10661.23","7906.82","421.24","2333.17",,"144.58","81.19","54.78","195.87","52.86","36.85","55.71","599.16","689.07","165.86","3.74","2.25","33.64","48.95","550.52","69.9","23.91","309.99","34.79","236.71","16.15","11.44","3.73",,"372.36","166.05","171.65","483.87","3291.24","1360.56",,,,,"0.31","27.23",,"3.59",,,"0.09",,,,,,,,,"13.58","376.44",,"18.34","18.34","28.07","-1.25",,"-1.25",,,,,,"20.8",,"14.37","-5.85","350.92",,,"13.9",,,"36.79",,,"28.37","77.44","46.07",,,"51.11","68.47","28.77",,,"318.82","318.82",,"318.82",,"256.46",,,,,,,,"155.01","52.98",,,"48.78","0.22","-0.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5858.68","3209.31",
"MADCTs, Total","","633.33","360.68","189.72","82.93",,"1.34","3.93","16.12","7.19","0.07","0.1","0.19","196.04","31","0.26","0.46",,"0.1","-4.59","21.53","3.31","0.97","4.11","4.2","14.92","0.03","0.06","0.04",,"6.92","8","2.86","5.58","35.94","56.32",,,,,"0","3.32",,"33.56",,,,,,,,,,,,"0.03","152.81",,,,"0.92",,,,,,,,,"1.41",,"0.65","-1.14","18.85",,,,,,"0.59",,,"0.36","8.01","1.85",,,,"8.04",,,,"-0.73","-0.73",,"-0.73",,"7.57",,,,,,,,"2.91","4.61",,,"0.09",,"-0.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"292.69","269.39",
