Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients","",,"69603.45","3637.12","17625.03",,"1218.59","504.71","1853.14","2030.59","90.55","1748.16","558.45","7252.77","6784.23","362.17","21.23","17.66","503.58","2432.85","8879.66","365.88","193.82","3972.21","165.41","2043.91","27.14","319.6","15.07",,"1961.26","2400.09","1299.43","6261.75","16319.54","7173.15",,,,,"1.08","111.68",,"137.79","0.88",,"1.91",,,,,"2390.85",,,,"66.63","926.3",,"381.88","381.88","632.33","567.78","84.96","482.82",,,,,,"24.53",,"52.75","-12.73","3138.4",,,"155.43",,,"296.3",,,"270.71","534.3","629.33",,,"430.06","503.64","318.63",,,"5507.69","5507.69",,"5507.69",,"791.58",,,,,,,,"399.17","216.41",,,"66.41","52.37","57.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49961.39","37262.78",
"All Developing Countries, Total","","70525.19","50117.5","3510.86","16896.83",,"974.52","228.43","1467.91","1347.61","80.36","1031.59","308.69","5213.39","4059.86","228.27","13.88","13.99","351.76","1061.27","6334.23","245.15","149.63","2829.28","129.11","1463.72","18.92","182.46","8.49",,"1151.35","1779.36","944.7","3840.97","14658.6","6445.33",,,,,"0.45","103.5",,"113.75","0.08",,"0.67",,,,,"2340.17",,,,"26.43","925.81",,"381.88","381.88","631.95","567.78","84.96","482.82",,,,,,"24.53",,"52.75","-13.11","3138.4",,,"155.43",,,"296.3",,,"270.71","534.3","629.33",,,"430.06","503.64","318.63",,,"5507.69","5507.69",,"5507.69",,"791.58",,,,,,,,"399.17","216.41",,,"66.41","52.37","57.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36515.93","24005.87",
"All Multilateral Recipients, Total","","20340.41","19485.95","126.26","728.2",,"244.07","276.28","385.23","682.98","10.19","716.57","249.76","2039.38","2724.37","133.9","7.35","3.67","151.82","1371.58","2545.43","120.73","44.19","1142.93","36.3","580.19","8.22","137.14","6.58",,"809.91","620.73","354.73","2420.78","1660.94","727.82",,,,,"0.63","8.18",,"24.04","0.8",,"1.24",,,,,"50.68",,,,"40.2","0.49",,,,"0.38",,,,,,,,,,,,"0.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13445.46","13256.91",
"Africa, Total","","27398.27","19170.95","334.47","7892.85",,"41.31","88.57","1053.3","516.26","2.47","468.57","116.99","3584.66","2059","13.67","0.02","4.94","247.36","743.88","703.63","18.98","66.17","1027.42","11.98","580.71","0.65","113.47","2.33",,"210.28","683.1","255.91","1491.86","5063.46","2929.75",,,,,,"35.33",,"110.96",,,"0",,,,,,,,,"0.18","188",,"-16.91","-16.91","568.59","567.78","84.96","482.82",,,,,,,,,"0.81","1181.18",,,"78.09",,,"158.12",,,"101.24","260.71","199.24",,,,"172.21","211.57",,,"2939.58","2939.58",,"2939.58",,"290.66",,,,,,,,"93.61","125.14",,,"0.05","31.11","40.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14162.75","11973.77",
"North of Sahara, Total","","2255.63","1540.48","231.14","484.01",,"5.2","20.12","14.05","20.27","0.29","40.03","4.96","569.55","126.59","4.48","0.02",,"0.72","46.66","172.18","3.77","5.02","9.5","0.02","4.45","0.12","0.25","0.23",,"52.43","4.61","9.76","4.32","420.88","418.81",,,,,,"1.44",,"104.03",,,"0",,,,,,,,,"0.1","125.57",,,,"14.5","12.97",,"12.97",,,,,,,,,"1.53","38.84",,,"-0.25",,,"3.3",,,"5.3","6.76","5.87",,,,"9.99","7.87",,,"-7.37","-7.37",,"-7.37",,"19.23",,,,,,,,"17.88","1.86",,,"0.05",,"-0.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1360.45","903.95",
"South of Sahara, Total","","24686.85","17251.53","101.99","7333.33",,"36.04","68.37","1024.82","463.22","2.18","428.54","102.52","2974.8","1894.48","3.06","0","4.94","246.64","692.67","529.42","15.21","55.57","976.67","11.96","517.73","0.53","112.91","2.1",,"157.85","612.55","244.77","1429.4","4642.58","2509.92",,,,,,"33.89",,"5.59",,,"0",,,,,,,,,"0.08","62.43",,"-16.91","-16.91","554.09","554.81","84.96","469.85",,,,,,,,,"-0.72","1079.17",,,"78.34",,,"154.82",,,"88.66","245","193.37",,,,"115.28","203.7",,,"2944.93","2944.93",,"2944.93",,"262.13",,,,,,,,"66.43","123.28",,,,"31.11","41.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12626.57","10785.66",
"Eastern Africa, Total","","9887.05","6065.26","58.2","3763.59",,"14.98","28.47","88.51","183.23","0.97","272.8","66.52","399.27","578.96","1.38",,"3.94","190.97","123.62","269.28","2.23","8.65","390.64","7.9","399.08","0.2","20.91","0.79",,"46.74","294.11","81.25","918.17","1671.69","1216.75",,,,,,"31.06",,"4.87",,,"0",,,,,,,,,"0.06","22.21",,"-39.53","-39.53","208.96","207.49","45.23","162.26",,,,,,,,,"1.47","523.64",,,"41.65",,,"73.87",,,"42.74","134.66","78.69",,,,"47.2","104.83",,,"1706.75","1706.75",,"1706.75",,"147.02",,,,,,,,"18.61","75.33",,,,"21.06","32.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4144.22","3431.68",
"Middle Africa, Total","","7216.78","6297.9","0.22","918.66",,,"12.71","820.13","103.06","0.4","0.62","6.11","1637.92","932.53","0.5",,,"9.31","456.94","49.78","0.53","2.06","257.57","0.86","44.15","0.13","33.03","0.02",,"23.44","193.67","54.64","55.78","1602.01","296.39",,,,,,"0.38",,"-1.51",,,"0",,,,,,,,,,"1.35",,"75.58","75.58","27.26","29.83","6.39","23.44",,,,,,,,,"-2.57","178.83",,,"1.34",,,"24.99",,,"13.2","32.27","38.97",,,,"19.3","48.76",,,"335.66","335.66",,"335.66",,"4.94",,,,,,,,"1.68","2.96",,,,,"0.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4838.02","4442.87",
"Southern Africa, Total","","931.91","662.15","0.13","269.63",,"11.07","1.96","15.25","15.85","0.4","24.17","19.98","23.57","81.36","0.27","0","1","30.99","10.46","28.73","0.21","5.99","33.42","1.77","21.56","0.01","0.36","0.02",,"4.61","34.31","9.05","133.48","152.3","188.8",,,,,,"0.69",,"-0.71",,,,,,,,,,,,,"0.15",,"2.36","2.36","0.84","0.9",,"0.9",,,,,,,,,"-0.06","38.12",,,"1.07",,,"3.82",,,"3.93","9.22","5.23",,,,"10.33","4.52",,,"10.92","10.92",,"10.92",,"28.59",,,,,,,,"5.63","24.3",,,,"-0.19","-1.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"445.75","420.61",
"Western Africa, Total","","5264.44","3078.36","43.41","2142.67",,"0.18","23.89","73.17","132.13","0.31","115.24","5.54","697.46","283.39","0.91",,,"14.8","93.4","181.35","12.23","35.67","255.36","0.42","36","0.17","53.77","0.04",,"79.78","41.03","75.2","276.43","590.49","619.76",,,,,,"1.73",,"2.94",,,"0",,,,,,,,,"0.02","38.72",,"-55.32","-55.32","296.48","296.04","33.34","262.7",,,,,,,,,"0.44","336.41",,,"34.28",,,"52.14",,,"28.79","68.85","68.43",,,,"38.45","45.47",,,"887.41","887.41",,"887.41",,"57.93",,,,,,,,"21.67","18.53",,,,"7.59","10.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2254.65","2050.36",
