Recipient,"FakeColumn","Donor(s)","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients","",,"120675.5","5897.57","36173.83","2479.23","2761.62","1141.75","2609.6","4000.11","214.7","2809.88","1290.25","12601.59","12079.3","607.27","116.92","34.42","1005.87","3297.51","9466.57","816.04","414.74","6426.11","309.25","4081.24","374.89","512.69","75.4","71.24","6584.15","4548.28","2310.07","11282.69","28831.35","13581.24",,,,"45.5","18.44","123.9",,"221.12","20.98","26.24","36.21","13.69",,"152.54",,"3133.74","411.35","38.54",,"707.17","948.15",,"1825.07","1825.07","3259.17","2749.53","167.22","2582.31",,,,,,"67.82",,,"441.82","4157.11",,"64.87","229.72",,"243.03","630.52","12.86",,"346.47","300.81","1086.22",,"42.64","472.83",,"290.35","436.79",,"9246.03","9246.03",,"9246.03",,"4105.22",,"87.6","266.84",,,,"469.48","686.33","2333.09",,,"29.35","63.74","168.79",,,,,,,"2479.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81559.12","68064.83",
"All Developing Countries, Total","","125122.05","83968.37","5402.04","35751.64","2204.23","2311.8","507.09","1585.06","3141.01","101.02","1905.45","791.17","7186.79","7096.66","296.94","29.6","25.27","693.29","874.73","6176.21","581.1","265.98","4797.96","225.96","3163.65","92.06","276.58","19.83","25.25","4473.07","3009.02","1750.6","7391.57","25173.65","13159.05",,,,"23.24","3.61","107.52",,"220.24","2","21.1","7.93","7.56",,"33.77",,"2924.63","402.15","34.83",,"665.31","948.15",,"1825.07","1825.07","3259.17","2749.53","167.22","2582.31",,,,,,"67.82",,,"441.82","4157.11",,"64.87","229.72",,"243.03","630.52","12.86",,"346.47","300.81","1086.22",,"42.64","472.83",,"290.35","436.79",,"9246.03","9246.03",,"9246.03",,"4105.22",,"87.6","266.84",,,,"469.48","686.33","2333.09",,,"29.35","63.74","168.79",,,,,,,"2204.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57040.62","41419.12",
"All Multilateral Recipients, Total","","37624.85","36707.13","495.53","422.19","275","449.82","634.66","1024.54","859.1","113.68","904.43","499.08","5414.8","4982.64","310.33","87.32","9.15","312.58","2422.78","3290.36","234.94","148.76","1628.15","83.29","917.59","282.83","236.11","55.57","45.99","2111.08","1539.26","559.47","3891.12","3657.7","422.19",,,,"22.26","14.83","16.38",,"0.88","18.98","5.14","28.28","6.13",,"118.77",,"209.11","9.2","3.71",,"41.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24518.5","26645.71",
"Africa, Total","","48186.06","28192.37","368.6","19625.09","847.31","96.69","141.31","795.51","1342.45","10.01","882.2","311.32","4093.36","2083.61","46.4","0.81","13.1","466.3","435.75","1498.65","95.01","134.36","1216.32","9.73","904.02","11.08","171.95","0.24","0.62","1577.71","914.48","471.81","2795.13","7672.44","5671.32",,,,"1.19",,"29.42",,"154.37",,,"0.03",,,"0.05",,"49.68",,"1.5",,"46.96","85.4",,"2075.6","2075.6","2954.75","2749.53","167.22","2582.31",,,,,,,,,"205.22","1502.43",,"21.73","118.79",,"33.31","294.21",,,"156.97","93.88","464.3",,"40.74",,,"174.88","103.62",,"5090.18","5090.18",,"5090.18",,"2330.81",,"87.6","280.73",,,,"219.84","198.42","1405.24",,,"0.12","42.17","96.69",,,,,,,"847.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19921.39","16088.47",
"North of Sahara, Total","","3132.15","1971.85","142.18","1018.12","3.67","3.04","13.43","33.65","32.95","0.43","16.46","2.35","650.44","301.32","19.57","0.2",,"0.3","19.66","95.47","13.58","2.16","18.74",,"1.65","0.21","20.88",,"0.02","426.12","3.7","14.85","51.14","229.53","839.71",,,,"0.23",,"0.33",,"81.57",,,,,,,,,,"0.1",,"3.23","56.72",,,,"4.78","-6.08",,"-6.08",,,,,,,,,"10.86","33.47",,"2.57","-4.23",,"0.88","5.85",,,"9.07","7.81","6.86",,,,,"4.66",,,"-53.97","-53.97",,"-53.97",,"194.13",,,"125.72",,,,,"23.4","12.81",,,"0.12","-0.17","32.25",,,,,,,"3.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1380.51","1580.78",
"South of Sahara, Total","","42733.58","24875.19","175.54","17682.85","709.38","88.38","126.23","751.63","1118.49","9.58","829.31","265.41","3316.66","1573.45","23.87","0.61","13.1","466","415.84","1299.32","74.7","126.9","1147.6","9.73","813.18","10.36","150.64","0.24","0.6","1019.01","830.61","446.57","2504.26","7442.91","4799.61",,,,"0.96",,"29.09",,"72.8",,,"0.03",,,"0.05",,,,"1.4",,"43.73","27.48",,"2075.6","2075.6","2082.47","1888.11","167.22","1720.89",,,,,,,,,"194.36","1468.92",,"19.16","123.02",,"32.43","288.32",,,"147.9","86.07","457.44",,"40.74",,,"170.22","103.62",,"5134.36","5134.36",,"5134.36",,"2121.89",,"87.6","155.01",,,,"219.84","168.94","1392.43",,,,"42.34","55.73",,,,,,,"709.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17670.93","13568.81",
"Eastern Africa, Total","","21355.77","12745.64","119.41","8490.73","226.94","68.77","52.33","261.14","519.93","3.73","530.93","199.39","917.54","708.02","7.53","0.21","9.26","343.96","149.68","695.77","25.86","19.38","594.86","6.65","646.01","1.98","69.06","0.17","0.29","392.22","525.4","120.62","1629.48","4245.47","1873.75",,,,"0.09",,"24.32",,"42.95",,,"0.01",,,"0.05",,,,"0.72",,"28.77","22.5",,"1088.05","1088.05","1045.4","1018.88","13.84","1005.04",,,,,,,,,"26.52","648.6",,"5.47","87.83",,"12.29","130.43",,,"60.83","39","193.84",,"9.92",,,"108.99",,,"2899.92","2899.92",,"2899.92",,"935",,"32.97","67.44",,,,"113.1","47.36","620.58",,,,"24.76","28.79",,,,,,,"226.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8865.89","6407.3",
"Middle Africa, Total","","4468.71","2286.9","3.25","2178.56","13.85","7.14","22.89","211.88","78.07","3.17","10.95","17.94","343.85","235.91","4.53","0.03","0.06","21.18","46.49","101.61","30.82","5.09","51.36","0.08","49.23","7.63","6.51",,"0.07","152.54","78.17","36.77","240.17","522.76","546.65",,,,,,"0.55",,"0.38",,,"0.02",,,,,,,"0.01",,"0.92","1.37",,"332.84","332.84","374.09","351.15","144.4","206.75",,,,,,,,,"22.94","213.71",,"1.66","3.64",,"4.34","45.16",,,"25.95","22.2","91.9",,"5.36",,,"13.5",,,"512.47","512.47",,"512.47",,"198.79",,"4.56",,,,,"49.18","11.4","130.27",,,,,"3.38",,,,,,,"13.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1568.86","1460.36",
"Southern Africa, Total","","1865.69","1423.79","4.19","437.72","25.54","4.74","1.56","19.03","16.87","0.25","18.97","20.13","34.23","130.84","1.04","0.35","2.4","32.8","2.97","45.63","0.82","10.98","50.78","1","35.51","0.36","0.15",,"0.01","28.29","15.84","6.29","73.31","868.64","249.39",,,,"0.52",,"1.51",,"1.42",,,,,,,,,,"0.3",,"0.07","0.37",,"-5.94","-5.94","-7.01","-7.18",,"-7.18",,,,,,,,,"0.17","38.27",,"1.33","0.37",,"3.98","7.35",,,"7.39","5.89","8.65",,,,,"3.31",,,"10.52","10.52",,"10.52",,"152.48",,"12.58",,,,,"0.32","20.43","107.38",,,,"-0.26","12.03",,,,,,,"25.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1172.49","441.89",
"Western Africa, Total","","12413.78","6816.07","39.84","5557.88","155.85","1.46","41.47","214.9","362.49","2.4","249.29","7.8","1827.09","384.07","2.83","0.02","1.38","30.19","201.31","449.75","11.76","87.28","379.78","0.23","47.74","0.39","68.1",,"0.23","300.86","108.57","248.71","519.52","1266.45","1324.41",,,,"0.35",,"2.71",,"28.05",,,,,,,,,,"0.37",,"5.11","3.25",,"660.65","660.65","669.96","525.26","8.98","516.28",,,,,,,,,"144.7","434.9",,"4.35","31.18",,"6.04","105.32",,,"42.68","15.18","160.34",,"25.46",,,"44.35",,,"1691.24","1691.24",,"1691.24",,"776.72",,"35.17","87.57",,,,"57.24","37.62","529.75",,,,"17.84","11.53",,,,,,,"155.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5010.68","4426.1",
