Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients","",,"137538.87","24562.4","43710.29","3048.49","4382.43","1234.52","2446.17","4240.04","212.15","3003.27","1634.57","10620.34","16566.2","247.44","144.03","37.33","815.79","4009.18","9483.3","1856.73","423.22","5572.97","506.17","5085.94","451.87","430.23","83.21","61.54","1876.83","6232.72","3521.91","19263.21","33095.56","16451.12","15.88","48.67","72.09","18.51","37.52","199.6","33.37","276.83","25.37","27.33","45.57","20.41",,"213.63","875.85","13633.95","273.97","68.96","3.37","3591.08","5080.43",,"179.88","179.88","5464.11","2041.8","137.44","1904.35","1477.34","1477.34","1719.5","1719.5",,"86.77","68.8",,"69.91","4967.65",,"74.07","320.43","222.86","238.67","459.1","13.98",,"339.12","480.08","1295.25",,"64.41","680.1",,"308.6","470.97",,"10262.1","10262.1",,"10262.1",,"6385.43","40.42","55.83","358.09",,,"350.19","1414.73","841.41","2847.19","15.52",,"44.79","26.29","260.45","130.51",,,,,,"2865.1",,"69.11",,,"40.78",,,"8.73",,,"11.91",,,,,"9.6",,,,"26.38",,"16.88",,,,,,,,,,,,"97277.82","75329.46",
"All Developing Countries, Total","","161729.79","94805.64","23275.65","43648.5","2822.89","3498.29","636.61","1319.07","3278.33","62.57","2130.71","937.62","6513.7","11589.34","46.1","30.1","30.94","519.16","1372.27","6128.62","1395.77","300.43","4027.13","409.1","3889.01","82.3","246.44","16.38","20.21","463.96","4343.15","2778.49","11230.51","27509.34","16389.32","10.11","0.99","30.11","0.19","14.98","175.67","27.08","228.91","2.07","23.17","6.44","12.83",,"69.99","660.29","13271.97","224.74","60.48","3.3","3502.35","4949.97",,"179.88","179.88","5464.11","2041.8","137.44","1904.35","1477.34","1477.34","1719.5","1719.5",,"86.77","68.8",,"69.91","4967.65",,"74.07","320.43","222.86","238.67","459.1","13.98",,"339.12","480.08","1295.25",,"64.41","680.1",,"308.6","470.97",,"10262.1","10262.1",,"10262.1",,"6385.43","40.42","55.83","358.09",,,"350.19","1414.73","841.41","2847.19","15.52",,"44.79","26.29","260.45","130.51",,,,,,"2639.5",,"69.11",,,"40.78",,,"8.73",,,"11.91",,,,,"9.6",,,,"26.38",,"16.88",,,,,,,,,,,,"67622.1","45887.76",
"All Multilateral Recipients, Total","","44081.77","42733.23","1286.75","61.8","225.6","884.14","597.91","1127.1","961.71","149.58","872.55","696.96","4106.64","4976.86","201.34","113.93","6.39","296.63","2636.91","3354.68","460.96","122.79","1545.85","97.07","1196.93","369.57","183.78","66.83","41.32","1412.88","1889.57","743.42","8032.7","5586.22","61.8","5.77","47.68","41.98","18.32","22.55","23.93","6.29","47.92","23.3","4.16","39.13","7.58",,"143.64","215.56","361.98","49.23","8.48","0.07","88.73","130.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29655.72","29441.71",
"Africa, Total","","54082.88","29050.13","4359.83","20672.93","1031.02","183.31","71.49","534.46","1361.86","6.79","635.52","399.75","2717.35","3016.38","3.28","0.95","14.81","340.9","195.94","1557.67","332.72","139.45","760.56","12.34","945.85","41.06","196.79","1.94","0.32","141.04","1108.87","650.58","4340.64","9337.5","6737.33",,"0.07",,"0.01","1.28","3.25","0.05","114.09",,,"0.04","0.35",,"0.75","57.87","7.76",,"0.88","3.2","383.29","3786.94",,"242.83","242.83","2117.67","2041.8","137.44","1904.35",,,,,,,,,"75.87","1588.49",,"26.19","209.48","36.3","43.71","239.31",,,"154.37","21.91","524.59",,"44.39",,,"179.99","108.26",,"6386.18","6386.18",,"6386.18",,"3600.44","14.8","55.83","157.53",,,"202.14","843.98","234.19","1957.06","2.7",,,"11.78","120.43",,,,,,,"917.03",,"63.82",,,"28.44",,,"8.73",,,"0.52",,,,,"0.73",,,,"11.03",,"0.72",,,,,,,,,,,,"22527.33","14653.49",
"North of Sahara, Total","","7325.69","1679.44","4012.44","1633.8","8.22","3.8","4.46","24.73","20.01","0.35","11.2","9.61","736.25","773.15","1.26","0.49",,"0.82","28.85","0.24","16.14","2.14","4.04","0.05","4.36","0.41","0.74","0.12","0.03","18.99","26.78","74.65","40.31","-124.51","1409.34",,,,,"0.14","0.07",,"64.62",,,,"0.01",,"0.32","7.15",,,"0.02",,"229.65","3710.46",,,,"4.96","-2.61","6.22","-8.83",,,,,,,,,"7.57","53.83",,"2.12","1.41","2.45","0.8","3.96",,,"5.74","18.97","8.74",,"0.36",,,"5.29","3.98",,"-60.01","-60.01",,"-60.01",,"225.69",,,"-1.31",,,"154.79",,"25.2","11.23","0.27",,,"-0.22","35.72",,,,,,,"3.27",,,,,,,,,,,,,,,,,,,,"4.23",,"0.72",,,,,,,,,,,,"1474.3","1684.7",
"South of Sahara, Total","","44262.26","25486.92","327.17","18448.17","882.53","164.21","62.46","506.68","1142.1","6.44","590.29","324.07","1897.1","1767.48","1.98","0.46","14.81","340.08","162.61","1199.05","313.33","127.21","742.97","11.76","831.9","40.49","195.95","1.8","0.26","119.16","983.45","538.06","3938.75","9462.01","5091.33",,"0.07",,"0.01","1.11","3.18","0.05","49.41",,,"0.03","0.34",,"0.43","50.72",,,"0.86","3.2","153.64","64.13",,"242.83","242.83","1883.76","1815.45","129.88","1685.58",,,,,,,,,"68.31","1468.27",,"13.83","208.07","24.03","38.63","235.35",,,"148.63","0.06","515.85",,"44.03",,,"174.7","65.09",,"6392.77","6392.77",,"6392.77",,"3369.21","14.8","55.83","158.84",,,"47.35","843.98","204.61","1945.83","2.43",,,"12.18","83.36",,,,,,,"773.49",,"63.82",,,"28.44",,,"8.73",,,"0.52",,,,,"0.73",,,,"6.81",,,,,,,,,,,,,,"19569.09","11809.69",
"Eastern Africa, Total","","21793.06","13259.92","179.12","8354.02","302.67","98.36","34.96","203.2","500.24","4.9","399.97","259.27","505.05","663.59","0.35","0.13","11.89","271.21","88.56","714.26","225.05","8.97","339.73","3.95","612.82","25.61","53.82","1.7","0.2","26.18","610.96","189.93","2352.1","5052.97","1876.11",,,,"0.01","0.44","1.17",,"16.72",,,,"0.27",,"0.14","19",,,"0.69",,"103.77","36.92",,"-117.07","-117.07","1021.06","1003.76","1.41","1002.35",,,,,,,,,"17.3","670.46",,"5.95","122.78","6.88","14.71","117.89",,,"63.02",,"215.64",,"6.02",,,"93.32","24.25",,"3114.93","3114.93",,"3114.93",,"1788.52","13.75","5.7","99.28",,,"12.48","429.11","67.89","1089.95","2.2",,,"3.48","64.68",,,,,,,"237.6",,"42.63",,,"13.24",,,"8.32",,,"0.22",,,,,"0.07",,,,"0.59",,,,,,,,,,,,,,"9876.77","5850.45",
"Middle Africa, Total","","4753.81","2315.99","12.38","2425.44","12.38","9.57","2.17","166.29","66.35","0.53","6.11","16.35","370.22","226.59","1.32","0.09","0.11","21.02","15.11","120.35","29.71","7.93","24.82","0.44","68.57","14.51","-9.53",,"0.04","11.53","88.61","61.58","390.17","605.44","747.34",,,,,"0.13","0.13","0.05","-3.85",,,"0.03","0.06",,"0.17","6.32",,,,,"7.16","2.18",,"14.63","14.63","350.31","336.59","124.71","211.88",,,,,,,,,"13.71","252.27",,"1.47","19.94","2.46","6.33","33.43",,,"23.91",,"115.2",,"9.58",,,"26.22","13.71",,"724.85","724.85",,"724.85",,"336.04",,"3.11",,,,"0.56","141.89","24.23","159.61",,,,,"6.64",,,,,,,"10.02",,"2.28",,,,,,"0.08",,,,,,,,,,,,,,,,,,,,,,,,,,"1794.22","1353.87",
"Southern Africa, Total","","1596.54","1076.28","16.02","504.24","22.24","6.78","0.44","19.01","10.05","0.13","2.21","11.19","51.32","130.21","0.09","0.01","0.13","7.97","10.58","5.2","0.68","0.49","3.39","0.52","13.08","0.09","2.18","0.03",,"0.1","11.53","12.69","-27.06","803.25","285.8",,,,,,"0.39",,"4.45",,,,,,"0",,,,"0.02",,"1.59","9.56",,"-1.6","-1.6","-7.93","-7.93","3.01","-10.94",,,,,,,,,,"34.38",,"1.8","1.78","2.54","5.35","4.87",,,"6.16",,"5.73",,,,,"1.09","5.07",,"5","5",,"5",,"188.59","1.04","4.34",,,,"28.24","1.58","20.91","126.07","0.23",,,"-0.42","6.59",,,,,,,"17.61",,"4.33",,,,,,,,,"0.29",,,,,,,,,,,,,,,,,,,,,,,"983.54","223.9",
"Western Africa, Total","","12783.47","6175.54","104.4","6503.53","317.24","10.79","12.85","103.79","363.91","0.88","161.48","9.1","898.86","450.33","0.22","0.2","0.31","33.06","39.49","356.69","57.68","106.14","139.57","1.97","94.13","0.28","148.68","0.07","0.02","69.48","113.81","162.88","1048.24","1790.64","1598.87",,,,,"0.1","1.49",,"32.09",,,,"0.01",,"0.12","25.4",,,"0.15","1.2","28.38","15.47",,"346.86","346.86","520.32","483.03","0.74","482.28",,,,,,,,,"37.29","484.88",,"4.61","63.57","5.9","7.86","79.15",,,"44.54","0.06","174.64",,"28.42",,,"54.07","22.06",,"2547.23","2547.23",,"2547.23",,"1005.37",,"39.91","59.56",,,"6.07","271.4","63.07","566.85",,,,"-2.16","0.67",,,,,,,"289.53",,"12.63",,,"10.91",,,,,,,,,,,"0.66",,,,"3.5",,,,,,,,,,,,,,"4948.17","3336.54",
"America, Total","","9995.4","6476.36","210.8","3308.24","47.63","15.93","28.74","96.63","408.33","0.79","35.89","47.75","1119.67","1816.24","0.46","0.06",,"12.09","46.81","29.38","109.08","30.24","43.27","4.09","342.07","0.47","5.82","0.08","0.04","50.37","134.11","228.23","120.78","1748.94","709.94","0.08",,,,"0.01","8.1","0.1","1.21","0.03",,"0.02","0.06",,"0.17","195.88",,,"0.38",,"4.48","0.28",,"-29.93","-29.93","1806.16",,,,,,"1719.5","1719.5",,"86.77",,,"-0.11","182.08",,"13.69","-16.33","27.7","11.68","20.3",,,"33.24","3.75","34.74",,"6.28",,,"14.31","32.72",,"255.98","255.98",,"255.98",,"384","11.46",,,,,"20.39","10.7","171.89","104.75","1.59",,"0.04","9.89","53.29",,,,,,,"38.26",,"1.79",,,"1.5",,,,,,,,,,,,,,,,,"6.08",,,,,,,,,,,,"5290.15","3590.3",
"Caribbean & Central America, Total","","4444.5","2583.82","199.6","1661.08","18.9","6.9","17.23","25.29","188.83","0.33","4.36","25.82","322.75","373.6","0.1","0.02",,"9.17","22.47","3.85","40.02","23.99","22.16","1.68","59.2","0.16","0.53","0.02","0.04","114.57","51.85","116.96","82.17","1069.76","402.12","0.08",,,,"0.01","1.53","0.1","1.48","0.02",,"0","0.03",,"0.1","194.22",,,"0.18",,"1.74","0.11",,"-18.66","-18.66","761.4",,,,,,"683.12","683.12",,"78.28",,,,"61.69",,"4.5","-17.61","8.78","5.88","11.67",,,"13.21","2.93","17.27",,"4.43",,,"10.64",,,"223.24","223.24",,"223.24",,"231.29","7.54",,,,,"19.19","9.79","75.84","71.07","0.43",,,"5.64","41.81",,,,,,,"12.81",,"1.02",,,"1.5",,,,,,,,,,,,,,,,,"3.57",,,,,,,,,,,,"2063.42","1096.62",
"Caribbean, Total","","1898.15","887.16","181.24","829.75","5.01","3.36","0.22","13.93","133","0.23","0","1.06","83.72","22.91","0.03","0.01",,"3.26","4.22","26.52","6.1","1.92","1.52","1.08","17.74","0.06","0.2",,"0.04","25.29","4.4","34.98","69.59","431.77","353.42","0.08",,,,"0.01","0.48","0.1","2.51",,,,,,"0.01","176.98",,,"0.02",,"1","0.05",,"9.43","9.43","269.33",,,,,,"195","195",,"74.33",,,,"13.42",,"1.42","-17.74","1.28","4.09","6.4",,,"5.06",,"9.22",,,,,"3.7",,,"83.99","83.99",,"83.99",,"100.16","3.44",,,,,"0.83","2.9","12.38","43.8",,,,"-0.66","37.46",,,,,,,"3.59",,"1.02",,,"0.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"771.73","232.61",
"Central America, Total","","2130.11","1398.04","18.15","713.91","11.03","3.54","14.85","11.36","53.05","0.1","0.58","13.97","237.58","292.96","0.07","0.01",,"4.18","17.86","-22.67","33.92","21.3","0.51","0.35","35.92","0.1","0.23","0.02",,"61.06","40.47","45.31","9.12","522.27","-2",,,,,,"1.05",,"-1.04","0.02",,"0","0.03",,"0.09","17.24",,,"0.16",,"0.53","0.07",,"-28.09","-28.09","449.18",,,,,,"445.23","445.23",,"3.95",,,,"41.69",,"3.08","0.13","3.85","1.8","5.27",,,"8.15",,"8.05",,"4.43",,,"6.93",,,"139.25","139.25",,"139.25",,"113.89","4.1",,,,,"18.3","6.88","52.22","27.26","0.43",,,"1","3.69",,,,,,,"6.35",,,,,"1.1",,,,,,,,,,,,,,,,,"3.57",,,,,,,,,,,,"1110.17","726.35",
"South America, Total","","4241.25","3409.69","9.29","822.27","28.62","9.03","8.83","71.26","104.38","0.46","31.53","17.5","796.88","1145.89","0.36","0.04",,"2.92","23.31","2.67","68.54","6.25","17.08","2.41","272.43","0.31","4.28","0.06",,"26.89","77.67","101.63","38.51","578.58","234.99",,,,,,"6.57",,"-0.27","0.01",,"0.02","0.03",,"0.07","0.2",,,"0.2",,"2.29","0.17",,"-11.26","-11.26","357.65",,,,,,"349.27","349.27",,"8.49",,,"-0.11","67.58",,"9.19","1.28","10.29","5.8","8.63",,,"11.08",,"15.79",,"1.85",,,"3.68",,,"32.75","32.75",,"32.75",,"140.57","3.92",,,,,"1.21","0.91","88.79","28.81","1.16",,"0.04","4.25","11.49",,,,,,,"25.35",,"0.77",,,,,,,,,,,,,,,,,,,,"2.51",,,,,,,,,,,,"2690.22","2270.03",
"Northern America, Total","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, Total","","53800.41","24786.73","17757.86","11255.82","367.26","1641.59","205.78","85.08","861.41","17.56","385.25","236.14","929.13","3708.75","5.43","6.13","3.14","65.78","142.16","2876.96","738.02","62.65","282.86","76.61","688.74","-3.98","28.65","1.79","0.46","57.54","642.58","591.68","2993.11","7455.71","2825.47","1.32","0.42",,"0.15","6.1","87.7","22.3","120.1","0.68",,"0.43","0.22",,"2.79","343.8","13049.8",,"59.08","0.1","2980.3","1082.57",,"1.52","1.52","1413.98",,,,"1420.31","1420.31",,,,,,,"-6.33","1581.37",,"22.4","124.16","39.02","16.63","124.68","0.14",,"111.94","3.65","238.39",,"13.36","680.1",,"84.86","122.03",,"3582.18","3582.18",,"3582.18",,"1851.31","5.78",,"200.56",,,"125.03","433.01","242.09","679.27","6.92",,"44.75","4.49","82.71","26.69",,,,,,"344.82",,"3.5",,,"1.81",,,,,,"2.65",,,,,"6.15",,,,"0.5",,"7.82",,,,,,,,,,,,"18967.23","9852.87",
"Middle East, Total","","25019.95","7230.82","15154.24","2634.89","16.73","103.24","23.59","31.56","300.4","2.93","150.27","63.7","180.73","935.23","3.66","2.47","2.42","30.1","87.1","508.99","74.63","13.15","140.37","7.14","266.48","2.61","0.47","0.36","0.29","42.71","251.42","119.95","868.11","3016.77","1248.46","0.66","0.34",,"0.13","1.59","79.75","0.01","126.56",,,"0.14","0.13",,"1.4","22.99","11533.85",,"0.05",,"2500.42","886.22",,"74.09","74.09","-3.05",,,,,,,,,,,,"-3.05","847.29",,"3.11","1.23","8.68","2.37","12.51",,,"18.25","3.65","22.78",,"4.58","680.1",,"55.8","34.24",,"184.69","184.69",,"184.69",,"283.41",,,"200.56",,,,"44.5","8.81","20.04","0.04",,"0.4",,"9.06",,,,,,,"16.2",,,,,"0.5",,,,,,,,,,,,,,,"0.03",,,,,,,,,,,,,,"5897.32","2830.81",
