Recipient,"FakeColumn","Donor(s)","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients","",,"105020.86","5512.85","28673.71",,"2668.52","1808.45","1950.72","4079.63","178.88","2562.23","981.37","9883.54","12290.64","500.82","103.47","48.25","1192.16","3970.64","7697.18","696.12","375.58","6224.29","319.77","3734.81","362.9","470.54","67.23","54.14","5139.75","4338.92","1684.87","9848.49","21786.95","11634.15",,,,"34.88","16.12","110.94",,"110.07","15.79","17.97","47.6",,,,,"1550.65","514","66.91",,"602.33","2425.59",,"-71.74","-71.74","1623.44","1424.36","176.28","1248.08",,,,,,"40.87",,"7.97","150.24","3574.21",,"72.51","322.04",,"193.1","439.31",,,"216.42","257.31","981.1",,"9.55","388.44","461.67","232.76",,,"8364.2","8364.2",,"8364.2",,"3549.45",,"105.79",,,,,"935.9","513.81","1626.63",,,"94.39","67.65","205.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69557.07","62304.76",
"All Developing Countries, Total","","107406.14","73734.61","5313.2","28358.33",,"2268.05","1324.27","1237.57","3152.16","80.95","1650.52","584.07","6258.44","7949.76","249.19","33.03","37.39","824.08","1270.33","5778.17","490.54","253.49","4643.87","247.05","2889.51","155.8","270.17","27.6","21.42","3338.94","2932.23","1263.31","5601.49","18901.21","11326.59",,,,"21","2.61","96.1",,"109.05","1.46","16.67","23.76",,,,,"1525.7","495","60.63",,"545.04","2416.18",,"-71.74","-71.74","1615.62","1424.36","176.28","1248.08",,,,,,"40.87",,"7.97","142.42","3574.21",,"72.51","322.04",,"193.1","439.31",,,"216.42","257.31","981.1",,"9.55","388.44","461.67","232.76",,,"8364.2","8364.2",,"8364.2",,"3549.45",,"105.79",,,,,"935.9","513.81","1626.63",,,"94.39","67.65","205.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48911.56","38707.22",
"All Multilateral Recipients, Total","","31801.28","31286.25","199.65","315.38",,"400.47","484.18","713.15","927.47","97.93","911.71","397.3","3625.1","4340.88","251.63","70.44","10.86","368.08","2700.31","1919.01","205.58","122.09","1580.42","72.72","845.3","207.1","200.37","39.63","32.72","1800.81","1406.69","421.56","4247","2885.74","307.56",,,,"13.88","13.51","14.84",,"1.02","14.33","1.3","23.84",,,,,"24.95","19","6.28",,"57.29","9.41",,,,"7.82",,,,,,,,,,,,"7.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20645.51","23597.54",
"Africa, Total","","40116.3","24662.2","677.28","14776.82",,"86.54","418.9","667.42","1195","6.84","895.83","228.97","3558.32","2415.45","29.68","17.93","12.02","499.93","326.37","1766.38","70.17","131.49","1676.73","10.33","913.24","4.64","141.27","19.4",,"760.68","1000.75","314.73","2462.42","5030.77","5183.77",,,,"0.86","0.09","33.61",,"179.2","0",,"0.41",,,,,"64.63",,"0.66",,"30.99","366.83",,"89.81","89.81","1530.36","1424.36","176.28","1248.08",,,,,,,,,"106","1379.7",,"22.45","190.34",,"47.78","227.73",,,"102.47","51.78","449.75",,"9.55",,"141.73","136.12",,,"4869.87","4869.87",,"4869.87",,"1723.31",,"105.79",,,,,"280.39","157.73","1019.82",,,"0.28","42.86","116.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16754.71","15263.02",
"North of Sahara, Total","","3379.85","2009.67","369.17","1001.01",,"12.59","28.18","29.91","27.76","0.2","30.58","5.91","628.88","355.79","8.2","0.13",,"0.53","82.32","65.86","11.45","2.06","12.34",,"3.47","0.04","0.55",,,"218.12","5.5","13.15","3.18","462.97","941.11",,,,"0.41",,"1.04",,"85","0",,,,,,,,,"0.07",,"2.91","279.74",,,,"0.4","0.61",,"0.61",,,,,,,,,"-0.21","35.8",,"3.17","0.4",,"2.23","4.67",,,"4.78","2.18","6.44",,,,"10.46","1.47",,,"-36.77","-36.77",,"-36.77",,"60.46",,,,,,,,"20.07","13.02",,,"0.28","-0.12","27.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1626.76","1412.42",
"South of Sahara, Total","","35451.21","21567.06","243.48","13640.67",,"66.03","389.83","631.07","785.34","6.64","827.17","203.24","2814.21","1961.8","16.86","17.8","12.02","499.4","242.69","1686.1","52.56","117.85","1602.61","10.33","846.84","4.22","124.8","17.88",,"477.39","925.88","298.3","2360.4","4567.8","4156.47",,,,"0.45","0.09","32.57",,"94.2",,,"0.41",,,,,,,"0.59",,"28.08","87.09",,"89.81","89.81","1529.96","1423.75","176.28","1247.47",,,,,,,,,"106.21","1312.62",,"12.05","189.94",,"45.55","223.06",,,"97.69","49.6","443.31",,"9.55",,"107.39","134.48",,,"4902","4902",,"4902",,"1649.81",,"105.79",,,,,"280.39","132.13","1006.8",,,,"42.98","81.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14418.34","13241.74",
"Eastern Africa, Total","","18044.01","11003.5","164.18","6876.33",,"43.41","32.07","157.25","407.04","1.81","472.17","153.63","831.86","532.6","8.34","17.8","10.36","368.24","172.19","1226.95","22.17","19.16","710.05","7.06","674.18","2.75","22.82","17.88",,"186.09","576.81","95.15","1566.56","2667.1","2032.06",,,,"0.08","0.09","28.9",,"34.12",,,"0.05",,,,,,,"0.39",,"22.49","78.06",,"189.6","189.6","745.56","730.91","29.29","701.62",,,,,,,,,"14.65","628.54",,"5.07","116.15",,"17.65","97.66",,,"41.24","23.69","204.73",,"3.76",,"42.64","75.95",,,"2343","2343",,"2343",,"937.56",,"40.19",,,,,"183.77","31.65","619.98",,,,"28.71","33.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7404.3","5850.08",
"Middle Africa, Total","","4348.1","3076.78","10.04","1261.28",,"3.41","8.25","291.28","74.46","1.9","29.67","16.39","787.93","875.28","1.88",,,"33.76","-23.68","85.4","20.71","7.36","17.21","0.11","51.13","0.82","35.78",,,"78.29","130.25","60.74","196.85","291.6","445",,,,"0.01",,"0.22",,"6.57",,,"0.03",,,,,,,,,"0.58","2.63",,"-48.4","-48.4","188.57","183.93","132.88","51.05",,,,,,,,,"4.64","193.07",,"1.38","10.95",,"3.44","36.42",,,"17.04","5.73","83.61",,,,"20.59","13.91",,,"345.23","345.23",,"345.23",,"137.81",,"5.48",,,,,"30.63","8.79","85.48",,,,,"7.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2287.84","2489.22",
"Southern Africa, Total","","1302.62","878.72","-3.4","427.3",,"3.38","2","15.81","20.83","0.95","20.76","13.86","116.27","125.96","0.91",,"1.56","40.62","7.6","20.33","0.45","8.24","46.02","1.48","21.69","0.07","0.18",,,"30.76","27.3","9.88","-11.87","353.68","236.18",,,,"0.26",,"0.48",,"-4.49",,,,,,,,,,"0.09",,"0.1","0.16",,"-2.68","-2.68","2.25","2.25",,"2.25",,,,,,,,,,"49.34",,"1.33","7.82",,"6.73","5.92",,,"4.17","3.59","7.97",,,,"8.81","3",,,"12.9","12.9",,"12.9",,"129.3",,"18.93",,,,,"0.06","17.23","90.13",,,,"-0.24","3.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"632.8","445.44",
"Western Africa, Total","","10007.81","5267.83","69.74","4670.24",,"1.43","337.82","126.93","274.42","1.93","285.12","5.79","902.25","346.24","3.27",,"0.1","46.95","78.56","264.84","8.47","78.92","747.8","0.31","60.1","0.58","60.38",,,"171.24","82.65","108.82","561.87","711.04","1232.32",,,,"0.1",,"1.49",,"58",,,,,,,,,,"0.11",,"3.8","6.24",,"-48.71","-48.71","485.06","398.14","14.11","384.03",,,,,,,,,"86.92","424.63",,"4.27","55.02",,"8.61","83.06",,,"35.24","15.07","140.6",,"5.79",,"35.35","41.62",,,"2194.44","2194.44",,"2194.44",,"382.51",,"39.68",,,,,"65.93","25.99","198.56",,,,"14.51","37.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3139.22","3838.3",
"America, Total","","6698.92","4868.34","6.72","1823.86",,"1.99","27.46","84.83","461.9","3.26","101.15","43.82","359.57","474.34","4.79","0.15","1.05","26.53","86.24","225.6","54.7","34.71","268.81","4.89","276.84","31.34","4.93","0.8",,"1181.46","203.05","114.6","-609.14","1398.67","1063.63",,,,"0.14",,"6.87",,"-1.7",,,"0.01",,,,,,,"0.15",,"1.12","0.13",,"29.92","29.92","41.4",,,,,,,,,"40.87",,,"0.53","215.53",,"14.05","19.92",,"14.16","23.9",,,"21.83","5.84","32.02",,,,"65.49","18.32",,,"163.77","163.77",,"163.77",,"309.61",,,,,,,"0.4","109.15","130.39",,,"5.45","10.34","53.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2397.18","2328.1",
"Caribbean & Central America, Total","","3296.71","2178.66","3.29","1114.76",,"0.78","21.34","23.17","237.6","1.15","65.64","31.88","147.08","129.7","2.5","0.08","1.05","17.52","73.06","81.71","24.76","24.31","60.42","2.01","62.75","30.82","0.34",,,"627.58","121.77","54.13","-263.69","599.2","606.78",,,,"0.09",,"1.45",,"0.6",,,,,,,,,,"0.13",,"0.89","0.13",,"29.92","29.92","31.57",,,,,,,,,"31.53",,,"0.04","137.44",,"3.85","17.13",,"10.4","14.25",,,"12.19","1.9","18.95",,,,"47.59","11.18",,,"151.24","151.24",,"151.24",,"157.82",,,,,,,"0.18","48.4","78.05",,,,"8.88","22.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1004.66","1114.67",
"Caribbean, Total","","1199.31","658.33","1.97","539.01",,"0.32","1.02","12.08","170.52","0.67","0.06","0.39","71.12","6.75","0.62",,,"3.08","51.23","10.04","3.14","0.86","-5.08","0.36","9.53","0.07","0.18",,,"67.29","3.62","11.32","8.07","231.07","336.2",,,,"0.03",,"0.56",,"0.79",,,,,,,,,,"0.07",,"0.52",,,"11.73","11.73","26.85",,,,,,,,,"26.81",,,"0.04","40.51",,"1.34","0.72",,"6.29","7.16",,,"3.88","0.13","10.94",,,,"6.35","3.7",,,"53.36","53.36",,"53.36",,"70.36",,,,,,,,"5.79","50.89",,,,"-0.22","13.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"548.8","222.03",
"Central America, Total","","1780.4","1316.25","1.02","463.13",,"0.44","17.13","10.86","65.53","0.48","49.76","27.22","52.36","115.93","0.39","0.08","1.05","14.44","16.57","71.49","20.45","23.45","64.62","1.56","37.28","30.75","0.16",,,"543.28","96.02","34.91","-303.1","323.14","211.77",,,,"0.06",,"0.89",,"-0.19",,,,,,,,,,"0.06",,"0.07","0.13",,"18.19","18.19","4.72",,,,,,,,,"4.72",,,,"62.79",,"2.51","16.41",,"4.11","7.09",,,"6.64","0.41","8.01",,,,"10.13","7.48",,,"96.72","96.72",,"96.72",,"68.94",,,,,,,"0.18","25.96","25.29",,,,"9.1","8.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"341.92","760.4",
"South America, Total","","2886.19","2270.23","3.43","612.53",,"1.21","5.99","61.66","104.49","2.11","35.51","11.94","211.94","281.92","2.19","0.07",,"9.01","13.17","135.63","29.94","10.4","203.14","2.79","204.98","0.52","4.59","0.3",,"437.89","66.77","57.52","-346.95","721.5","375.06",,,,"0.05",,"5.42",,"-2.3",,,"0.01",,,,,,,"0.02",,"0.23",,,,,"9.83",,,,,,,,,"9.34",,,"0.49","76.47",,"10.2","2.79",,"3.76","9.11",,,"9.64","3.94","12.14",,,,"17.9","6.99",,,"12.53","12.53",,"12.53",,"138.64",,,,,,,"0.22","49.53","50.41",,,"5.45","1.46","31.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1121.7","1012.17",
"Northern America, Total","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
