Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"America, Total",,"8700.83","5446.23","472.72","2781.88","1370.24","11.98","28.79","66.71","393.04","1.03","52.99","7.63","665.61","1048.62","0.15","1.05",,"9.85","107.46","-347.17","176.69","23.18","6.94","6.56","170.83","0.33","6.32","0.47","0","194.81","116","195.82","445.26","2055.29","859.21",,,"0.11",,"0.11","12.71","0.15","17.43","0.01",,"0.05","0.13",,"0.11","373.07","18.4","0.43","0.88",,"10.4","38.72",,"-35.69","-35.69","1088.27",,,,,,"1083.13","1083.13",,"4.96",,,"0.19","285.36","46.05","15.35","14.25","35.55","8.73","12.85",,,"19.37","36.33","38.52",,"3.42",,,"13.5","40.98","0.44","173.87","173.87",,"173.87",,"410.86","11.5",,,,"18.33","41.12","10.47","95.64","150.35","2.13","11.02",,"9","61.3",,,"2.49","0.55","1145.44","5.91","42.86",,"1.06","11.47","7.72","0.87","7.36","39.32",,"36.53","0.03","0.77",,,"15","5.11","1.23",,"3.02",,,,"4.57",,"12.03","5.06",,"1.96","13.06","2.32","2.06",,,"2.46","4368.12","2783.19","4.52"
"Caribbean & Central America, Total",,"5121.78","3229.74","424.88","1467.17","255.4","9.75","22.19","25.48","172.17","0.48","4.89","-5.18","354.11","388.66","0.04","0.12",,"6.11","110.82","115.67","82.16","18.09","0.38","2.43","28.24","0.1","0.45","0.36",,"86.15","44.33","87.08","219.47","1455.18","410.44",,,,,,"4.23","0.05","7.04","0.01",,"0.02","0.06",,"0.05","367.84","18.4","0.43","0.49",,"4.99","21.26",,"-35.69","-35.69","569.32",,,,,,"568.72","568.72",,"0.6",,,,"128.4","21.29","4.25","7.42","10.48","3.47","7.43",,,"13.23","11.95","22.74",,"2.39",,,"12.95","10.35","0.44","146.75","146.75",,"146.75",,"247.94","8.04",,,,"13.17","24.88","6.83","45.42","112.26","0.49","1.71",,"10.24","24.9",,,"2.49","0.46","165.21",,"33.08",,"0.36","1.07","1.59","0.75","5.17","13.7",,,"0.03","0.33",,,"10.03","2.68","1.23",,"1.52",,,,"2.05",,"4.15","0.43",,"0.97","6.67","1.44",,,,,"2816.08","1277.06",
"Caribbean, Total",,"2265.89","1332.88","387.38","545.63","152.39","4.67","10.42","17.44","127.85","0.34","2.75","0.32","150.33","20.58","0.01","0",,"1.46","98.58","56.79","9.52","1.04","-2.2","1.95","14.72","0.03","0.33","0.36",,"11.15","5.68","36.71","176.85","585.2","199.04",,,,,,"0.21","0.05","8.27",,,"0.01","0.05",,"0.01","353.83","16.9",,"0.13",,"0.67","7.26",,"-14.06","-14.06","116.13",,,,,,"118.85","118.85",,"-2.72",,,,"45.93","11.43","0.83","1.21","1.34","2.33","5.59",,,"2.8",,"13.34",,,,,"2.86","4.21",,"83.93","83.93",,"83.93",,"114.67","1.57",,,,"13.17","10.76","4.78","8.05","72.63",,"1.14",,"-0.65","3.21",,,,"0.24","142.49",,"5.77",,"0.36",,"0.1",,,"2.36",,,"0.03",,,,"0.37",,,,,,,,,,"0.12",,,,,"0.55",,,,,"1216.18","495.48",
"Central America, Total",,"2453.27","1595","30.95","827.32","74","5.08","10.93","8.04","41.75","0.14","2.16","-6.44","202.7","329.94","0.03","0.12",,"4.24","11.9","58.88","72.36","16.71","2.17","0.48","11.8","0.07","0.11",,,"46.54","34.23","45.51","22.7","672.86","194.47",,,,,,"4.02",,"-1.23","0.01",,"0.01","0.02",,"0.04","14.01","1.51","0.43","0.36",,"0.78","11.01",,"-21.63","-21.63","415.74",,,,,,"412.42","412.42",,"3.32",,,,"62.39",,"3.43","6.21","4.87","1.14","1.84",,,"4.98","11.95","9.4",,"2.39",,,"10.08","6.09",,"62.83","62.83",,"62.83",,"113.52","6.47",,,,,"14.12","2.04","28.98","39.62","0.49","0.57",,"-0.38","21.59",,,,,"22.71",,"7.03",,,"1.07","0.49","0.75","4.82","9.96",,,,"0.33",,,"9.54",,"1.23",,"1.52",,,,"1.91",,"4.03","0.43",,"0.75","6.67","0.76",,,,,"1340.73","686.27",
"South America, Total",,"3011.78","1819.83","42.82","1149.13","1098.49","2.22","6.6","41.24","104.4","0.55","48.11","12.75","311.49","549.36","0.11","0.92",,"3.74","-10.89","-477.63","89.22","5.09","5.59","4.13","139.11","0.23","4.84","0.11","0","91.13","71.2","103.17","219.38","493.68","362.45",,,"0.11",,,"8.48","0.1","10.39",,,"0.03","0.07",,"0.06","0.4",,,"0.4",,"5.33","17.46",,,,"518.95",,,,,,"514.4","514.4",,"4.36",,,"0.19","95.21","7.76","3.75","6.83","15.96","2.58","3.85",,,"6.14","24.38","13.62",,"1.03",,,"0.56","8.75",,"27.12","27.12",,"27.12",,"145.4","3.45",,,,"5.17","16.24","3.64","50.22","28.99","1.64","9.31",,"-1.24","27.99",,,,"0.05","980.23","5.67","9.65",,"0.7","10.4","2.8","0.12","2.11","23.06",,"36.4",,"0.43",,,"4.96","2.43",,,"1.5",,,,"2.22",,"7.88","2.23",,"0.52","2.19","0.88","2.06",,,,"1189.79","1361.53","2.06"
"Northern America, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, Total",,"49430.47","27429.01","10896.16","11105.3","991.83","897.31","113.65","85.2","974.72","22.6","425.11","136.48","1497.19","5178.05","0.92","19.52","4.54","47.63","313.37","4626.16","786.53","69.06","323.66","78.56","725.1","66.39","30.83","4.38","0.97","61.03","608.07","543.98","3000.5","6787.5","3716.57","0.78","1.01","0.51",,"3.59","231.05","6.15","224.88","0.82",,"0.97","0.55",,"2.78","258.55","607.62",,"55.52",,"7527.41","1973.96",,"-105.15","-105.15","1121.39",,,,"1027.5","1027.5",,,,,"0.07",,"93.82","1804.76","39.48","20.14","116.79","42.11","8.24","78.25","1.04",,"60.66","57.38","275.27",,"6.75","892.9",,"73.06","131.51","1.18","2496.23","2496.23",,"2496.23",,"2071.5",,,"64.24",,"112.61","186.22","507.9","124.37","932.19","8.38","12.54",,"-6.4","109.03","20.42",,"4.66","4.63",,"3.02","612.7","5.15","2.44","44.72","9.54","3.33","34.95","52.19",,,"25.6","8.8",,"0.41","17.27","2.56","18.67",,"18.76",,"3.62",,"8","21.02","23.98","8.27",,"10.8","32.92","4.46","5.64",,,"3.74","22377.48","12004.62","9.39"
"Middle East, Total",,"23910.18","10672.8","9999.49","3237.9","50.77","100.27","42.43","66.07","406.94","11.57","252.9","38.01","704.77","2505.83","0.78","5.44","3.75","25.28","235.37","793.06","71.53","19.68","215.15","9.02","439.27","73.4","12.38","2.53","0.71","105.65","273.66","141.2","1165.7","2950.44","1427.64","0.05","0.42",,,"0.87","149.76",,"193.48","0.11",,"0.17","0.51",,"1.85","26.78","417.02",,"0.24",,"7324.82","1883.4",,"-18.09","-18.09","93.52",,,,,,,,,,,,"93.52","1068.92","16.39","1.91","-4.51","9.42","0.37","8.02",,,"10.88","19.16","28.65",,"0.5","892.9",,"45.36","39.45","0.41","511.17","511.17",,"511.17",,"154.73",,,"64.24",,"39.79",,"21.64","4.74","18.26","0.68","0.15",,,"5.23",,,,"0.4",,"2.44","23.64","3.63","0.38",,"1.01","0.75",,"9.69",,,,"0.67",,,,"0.73","0.11",,,,"2.37",,"0.04",,"3.13",,,,,"0.65","1.13",,,,"8762.11","5757.32","1.13"
"South & Central Asia, Total",,"19180.03","12069","618.3","6492.73","701.66","287.44","44.21","4.06","174.18","7.8","159.22","64.82","380.79","1529.7","0.13","5.43","0.79","10.34","84.46","3874.8","258.78","17.21","110.47","17.42","199.53","8.02","2.52","1.64","0.26","7.92","242.22","269.57","1554.11","2751.17","1872.35","0.73","0.54","0.51",,"2.66","41.37","5","14.57","0.68",,"0.7","0.02",,"0.66","165.42","159.71",,"11.07",,"127.41","87.26",,"-87.07","-87.07","953.6",,,,"954.85","954.85",,,,,"0.07",,"-1.31","527.11","14.84","6.23","108.38","14.79","3.53","47.22","1.04",,"27.33","20.72","206.82",,"5.29",,,"22.92","48",,"2091.97","2091.97",,"2091.97",,"1134.76",,,,,"52.67","109.55","418.43","55.25","407.22","1.3","7.59",,"-3.03","65.35","20.42",,,"0.28",,"0.58","513.53","1.1","1.88","28.15","2.71","1.5","12.75","13.96",,,"21.12","5.26",,"0.41","6.52","0.9","14.44",,"5.86",,"0.13",,"4.42","21.02","9.6","8.27",,"4.74","13.55","2.11","3.95",,,"2.93","10349.21","4235.31","6.88"
"Far East Asia, Total",,"4867.18","3413.83","221.93","1231.42","212.47","481.96","24.59","15.07","36.74","3.23","11.14","25.18","408.94","929.08","0","8.65",,"12.01","-6.5","-422.13","419.59","31.54","-9.39","47.45","70.67","-15.03","15.93","0.21","0","-52.67","55.03","126.35","141.28","1054.91","376",,"0.05","0",,,"39.93","0.02","16.83","0.03",,"0.09","0.02",,"0.27","66.34","30.9",,"44.2",,"19.94","3.3",,,,"6",,,,"4.39","4.39",,,,,,,"1.61","180.22","7.21","4.19","12.91","12.48","2.8","18.82",,,"14.7","17.49","39.8",,"0.96",,,"4.78","44.06",,"-106.91","-106.91",,"-106.91",,"776.11",,,,,"20.15","76.67","67.84","60.09","505.09","6.4","4.8",,"-3.37","38.45",,,"2.17","3.95",,,"65.6","0.32","0.17","16.57","5.82","0.83","20.46","25.9",,,"4.48","2.87",,,"8.09","0.92","2.49",,"11.05",,"1.12",,"2.9",,"8.25",,,"6.06","19.38","1.7","0.56",,,"0.82","2142.32","1598.29","1.38"
"Europe, Total",,"8412.14","3568.66","1162.87","3680.62","27.27","0.86","145.49","9.81","64.52","18.55","39.77","26.6","457.3","1095.55","14.27","9.04","0.36","15.11","99.74","46.31","-4.13","10.7","10.43","0.01","66.84","120.55","0.06","4.86","18.64","66.01","164.24","171.74","286.86","608.59","3514.56",,"4.1","13.22",,"5.39","16.62","0.06","-5.48","2.26",,"5.41","0",,"33.81","14.12","6.89",,"0.02",,"226.88","839.56",,"-40.64","-40.64","58.28",,,,,,,,,,"62.28",,"-4","125.64","3.92","8.96","0.59","5.9","3.66","5.25","9.54",,"4.35","32.18","10.9",,"0",,,"2.12","37.9","0.38","-113.21","-113.21",,"-113.21",,"135.98",,,,"0.39",,"12.84","0.46","15.74","56.73",,"0.38",,,"-3.71","53.15",,,"0.21",,"1.77","6.01",,,,"0.3",,,"0.03",,,"0.11",,,,,,"0.48",,,,"11.26",,"0.18",,"5.54","0.93",,"0.06","0.1","0.29",,,,,"2658.87","2613.56",
