Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients",,,"147168.32","17201.33","44305.5","6309.3","3035.96","1251.27","2196.17","4304.89","304.12","2448.02","1083.79","11330.86","25005.06","313.54","148.68","68.27","838.03","5858.03","11462.29","2201.35","424.18","4958.45","449.69","4124.98","679.46","380.74","119.2","75.79","2560.3","5563.25","3146.59","18103.39","34731.97","16406.36","18.78","62.23","53.62",,"43.01","408.18","35.23","569.5","31.92","24.14","59.23","24.99",,"219.54","1189.6","1931.5","319.31","132.92",,"8120.92","3956.7",,"54.95","54.95","4930.81","2547.13","119.85","2427.28","1105.69","1105.69","1083.13","1083.13",,"4.96","62.35",,"127.57","5807.38","447.54","76.39","458.01","269.64","165.13","346.52","14.34",,"215.1","521.57","1517.52",,"54.12","892.9",,"285.56","530.35","12.7","9512.98","9512.98",,"9512.98",,"7593.01","30.85",,"5.62","0.9","418.21","342.42","1647.15","441.76","4226.41","20.63","63.45",,"16.9","269.79","108.92",,"45.65","15.44","93.58","14.2","3749.93","24.16","49.89","207.11","24.88","50.58","118.63","244.35","12.11","49.55","19.71","17.74",,"20.43","79.49","13.75","29.69",,"46.84","288.54","70.52",,"16.62","31.06","111.2","57.11",,"254.25","185.16","14.67","244.34",,"37.86","70.26","110796.49","83642.32","352.46"
"All Developing Countries, Total",,"165089.85","105568.65","15567.57","43953.63","5895.55","2412.29","600.41","1295.21","3126.9","80.54","1720.94","597.95","6649.07","19818.23","84.67","39.38","54.14","492.63","2977.01","8080.49","1615.02","304.02","3533.76","370.57","3127.04","222.11","114.53","35.41","24.92","683.66","3827.43","2338.88","11335.21","30006.21","16054.49","5.35","9.88","14.09",,"20.31","388.13","23.52","532.06","4.53","16.5","15.26","15.1",,"38.93","733.77","1611.34","293.45","60.34",,"7950.44","3834.55",,"54.95","54.95","4930.81","2547.13","119.85","2427.28","1105.69","1105.69","1083.13","1083.13",,"4.96","62.35",,"127.57","5807.38","447.54","76.39","458.01","269.64","165.13","346.52","14.34",,"215.1","521.57","1517.52",,"54.12","892.9",,"285.56","530.35","12.7","9512.98","9512.98",,"9512.98",,"7593.01","30.85",,"5.62","0.9","418.21","342.42","1647.15","441.76","4226.41","20.63","63.45",,"16.9","269.79","108.92",,"45.65","15.44","93.58","14.2","3336.17","24.16","49.89","207.11","24.88","50.58","118.63","244.35","12.11","49.55","19.71","17.74",,"20.43","79.49","13.75","29.69",,"46.84","288.54","70.52",,"16.62","31.06","111.2","57.11",,"254.25","185.16","14.67","244.34",,"37.86","70.26","81993.12","54437.11","352.46"
"All Multilateral Recipients, Total",,"43585.3","41599.66","1633.76","351.87","413.76","623.67","650.86","900.97","1178","223.57","727.08","485.84","4681.78","5186.83","228.87","109.3","14.12","345.4","2881.02","3381.8","586.33","120.17","1424.69","79.12","997.95","457.35","266.2","83.79","50.87","1876.64","1735.82","807.71","6768.18","4725.76","351.87","13.43","52.35","39.52",,"22.7","20.05","11.71","37.45","27.39","7.64","43.97","9.89",,"180.61","455.83","320.16","25.86","72.57",,"170.48","122.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"413.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28803.37","29205.21",
"Africa, Total",,"53830.77","29776.38","1690.16","22364.23","1818.74","153.95","87.52","460.16","1139.57","9.99","425.33","163.71","2361.51","3690.53","0.9","5.36","14.66","261.38","462.09","1674.42","408.01","129.88","716.14","15.06","748.4","24.7","61.36","3.13","0.47","125.75","1033.43","550.64","3858.12","11190.21","6325.53","0.23","0.56","0.25",,"1.51","4.55",,"295.22","0.28",,"0.11","0.8",,"0.86","27.54","829.7",,"2.59",,"-296.63","822.58",,"241.89","241.89","2584.55","2547.13","119.85","2427.28",,,,,,,,,"37.42","1932.24","88.83","25.04","317.36","44.28","36","206.61",,,"105.97","215.4","558.1",,"38.51",,,"170","125.38","0.75","6850.84","6850.84",,"6850.84",,"4429.18","16.69",,"-58.62",,"287.26","87.8","763.46","122.36","3059.38","5.74","31.25",,"12.83","101.01",,,,"7.62",,"0.06","950.68","18.5","45.76","80.35","3.35","32.92","14.89","65.06","12.11",,"11.86","4.22",,"12.7","23.32","4.87","2.54",,"12.65","287.58","41.88",,"0.09","10.04","13.29","8.63",,"78.35","43.33","6.81","19.55",,"2.12","3.63","24376.45","13881.46","25.3"
"North of Sahara, Total",,"4047.5","1869.61","1054.9","1122.99","17.39","0.27","13.25","18.82","12.44","1.43","5.03","4.01","711.67","751.78","0.61","2.4","0.08","0.26","119.47","79.72","16.35","2.41","23.52","0.18","14.25","2.81","6.14",,"0.03","-12.21","12.57","46.59","82.79","-47.09","1275.7",,"0.56",,,"0.12","0.1",,"195.95",,,"0","0.29",,"0.24","0.03","695.89",,"0.14",,"-433.7","595.28",,,,"5.02","7.52","16.19","-8.67",,,,,,,,,"-2.5","68.63","9.74","1.69","17.7","3.99","1.83","1.6",,,"3.2","11.65","7.36",,"0.87",,,"4.76","4.25",,"-92.74","-92.74",,"-92.74",,"-133.62",,,"-177.9",,"6.36","3.78",,"10.3","11.27",,"10.86",,"-0.28","1.98",,,,"0.18",,,"0.71",,"0.64",,"0.62",,,"1.18",,,,"0.59",,,"0.05",,,,,"2.28","11.06",,"0.09",,,,,,,,,,,,"1710.79","1746.82",
"South of Sahara, Total",,"46765.86","26085.31","632.94","20047.61","1646.7","149.09","71.17","435.87","868.95","8.55","392.67","139.02","1586.85","2514.8","0.29","2.96","14.59","258.41","324.8","1185.78","385.98","121.85","661.57","14.39","677.39","13.65","53.68","3.13","0.38","135.81","979.05","482.18","3365.16","11237.3","4595.23","0.23",,"0.25",,"0.26","4.45",,"99.28",,,"0.11","0.51",,"0.63","27.51","133.81",,"2.45",,"136.16","227.29",,"241.89","241.89","2058.72","2018.8","101.77","1917.03",,,,,,,,,"39.92","1760.02","55.16","13.34","299.66","25.91","30.9","195.3",,,"102.76","203.75","550.74",,"37.64",,,"165.24","79.62",,"6910.07","6910.07",,"6910.07",,"4481.68","16.69",,"119.28",,"280.91","84.02","763.46","111.18","2993.27","5.74","20.39",,"13.42","73.33",,,,"7.21",,"0.06","830.58","18.5","45.11","80.35","1.58","32.92","14.83","51.7","12.11",,"11.86","3.64",,"12.7","21.2","4.87","2.54",,"12.65","285.31","30.82",,,"10.04","13.29","8.51",,"65.81","36.42","6.81","19.55",,"2.12","3.63","21083.65","11069.66","25.3"
"Eastern Africa, Total",,"23867.5","14039.75","469.37","9358.38","581.9","98.28","44.21","188.35","448.73","6.24","262.15","111.19","319.97","1051.8","0.08","0.93","12.97","203.76","122.39","662.92","220.02","8.12","316.17","10.27","433.85","15.12","25.67","3.07","0.31","25.54","663.86","180.49","2138.41","6464.87","1869.66","0.12",,"0.01",,"0.17","2.14",,"86.83",,,"0.02","0.43",,"0.17","21.29","76.32",,"1.41",,"93.77","186.7",,"-178.8","-178.8","1038.65","1018.53","1.52","1017.01",,,,,,,,,"20.13","857.41",,"5.77","187.14","8.69","11.32","97.51",,,"41.13","140.67","235.27",,"12.57",,,"84.3","33.03",,"3521.15","3521.15",,"3521.15",,"2250.3","4.35",,"49.11",,"150.02","42.06","333.14","50.94","1606.58","4.67","8.22",,"-4.66","5.87",,,,"1.43",,,"295.82",,"24.44","40.65","0.17","16.28","11.77","15.3","7.19",,"1.2","1.86",,,"3.65","1.13","2.54",,"8.76","113.9",,,,"0.05","7.95","0.52",,"11.9","9.18","1.99","2.81",,,"1.4","11209.09","5507.36","4.22"
"Middle Africa, Total",,"5154.22","2435.84","17.44","2700.94","52.81","0.97","2.62","122.39","71.13","0.35","3.33","2.54","550.03","291.13","0.14","0.2","0.11","20.92","36.67","104.19","56.48","6.63","32.41","0.06","48.33","-1.92","-11.05","0.01",,"15.05","92.41","63.9","237.54","689.27","552.99",,,,,,"0.33",,"-4.17",,,,"0.03",,"0.22","1","7.59",,"0.16",,"9.43","2.84",,"252.67","252.67","391.31","392.46","97.87","294.6",,,,,,,,,"-1.15","276.42",,"1.6","13.31","4.34","5.88","27.88",,,"18.51","34.44","115.2",,"6.94",,,"33.37","14.94",,"602","602",,"602",,"625.54",,,,,"82.04","12.53","125.08","10.42","395.74",,"0.37",,,"-0.64",,,,"2.42",,,"32.06",,"1.02",,,"0.2","2.18",,,,"3.22",,,,,"0.05",,,,"2.99",,,,,,,,,,"1.67","5.6",,,"1.4","1979.96","1401.4","7"
"Southern Africa, Total",,"1600.62","1132.99","3.99","463.63","81.77","11.86","0.84","11.64","6.31","0.08","2.31","4.33","8.17","148.26","0.05","0.14","0.09","4.66","0.81","17.82","1.84","0.37","0.93","0.67","8.09","0.01","1.93","0.05",,"-0.2","6.27","15.65","27.66","852.35","188.18",,,"0.01",,,"0.54",,"-2.03",,,"0",,,,"1.5","-1.13",,"0.09",,"1.77","3.25",,"-6.52","-6.52","-3.62","-3.9","1.22","-5.12",,,,,,,,,"0.28","50.04",,"1.6","0.64","3.77","4.1","3.37",,,"3.62","17.19","6.89",,,,,"2.51","6.35",,"23.3","23.3",,"23.3",,"212.27","4.12",,,,,,"0.91","13.62","189.55",,"3.76",,"-0.38","0.69",,,,"0.4",,,"27.29",,"2.8",,"0.18",,"0.05","16.24",,,,"0.53",,,"0.05",,,,,"9.79","2.23",,,"9.99","2.51","4.98",,"1.93","0.31","0.36","2.14",,,,"1061.39","218.3","2.14"
"Western Africa, Total",,"13384.97","6278.43","141.25","6965.29","405.68","24.34","11.22","110.38","310.58","1.87","80.79","7.71","632.96","684.65","0.01","1.69","0","28.08","134.7","398.57","103.26","103.82","112.95","2.42","107.51","0.43","35.67",,"0.07","93.99","122.27","164.09","744.76","2259.62","1566.37",,,"0.01",,"0.09","1.45",,"18.65",,,"0.08","0.05",,"0.24","3.72","51.03",,"0.78",,"30.65","34.51",,"174.55","174.55","632.37","611.72","1.17","610.55",,,,,,,,,"20.65","504.34",,"4.37","98.57","7.08","7.78","66.53",,,"31.8","8.84","190.86",,"18.13",,,"45.06","25.3",,"2722.25","2722.25",,"2722.25",,"1365.42","3.55",,"70.17",,"48.85","29.43","304.34","36.19","801.41","1.06","8.04",,"-2.4","64.77",,,,"0.87",,,"223.61",,"7.87","17.93","0.23","8.41",,"9.68",,,"7.43","1.25",,"12.45","14.66","0.04",,,"3.89","58.43","19.82",,,,"0.25","1.35",,"0.43","9.05","2.58","4.89",,"0.55",,"5165.83","2908.03","5.43"
