Recipient,"FakeColumn","Donor(s)","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients","",,"122891.26","8333.84","30562.31",,"2954.13","1713.47","2385.64","4794.73","249.21","2803.28","1165.71","10907.63","13980.87","703.16","106.94","48.41","1327.84","4860.66","9600.75","802.33","414.94","6992.64","348.01","4005.76","372.54","620.18","91.85","67.6","6866.8","4731.71","2037.63","11499.89","26436.95","13196.99",,,,"37.44","22.01","137.82",,"283.18","21.82","23.69","47.84",,,"122.86",,"4978.83","435.2","177.04",,"780.36","1265.75",,"307.11","307.11","2029.4","1802.18","177.16","1625.02",,,,,,"64.1",,"7.11","156.01","4141.49",,"75.71","347.15",,"208.95","495.46","10.8",,"273.34","277.7","984.13",,"33.48","473.19","645.27","316.31",,,"6306.7","6306.7",,"6306.7",,"4580.62",,"102.55","611.24",,,,"718.85","619.07","2167.61",,,"75.5","90.65","195.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82081.48","71862.56",
"All Developing Countries, Total","","125376.39","87128.24","8021.37","30226.78",,"2653.02","1233.59","1376.05","3366.67","117.14","1828.33","693.16","6668.97","9062.68","312.17","15.45","36.07","930.68","1838.26","6823.28","539.21","278.51","5199.58","277.85","3078.07","83.99","373.41","40.82","29.3","4801.61","3142.32","1550.19","7323.41","23454.45","12868",,,,"21.75","5.86","118.66",,"282.19","4.25","20.86","14.87",,,"26.68",,"4958.34","407.4","166.38",,"735.74","1258.39",,"307.11","307.11","2022.86","1802.18","177.16","1625.02",,,,,,"64.1",,"7.11","149.47","4141.49",,"75.71","347.15",,"208.95","495.46","10.8",,"273.34","277.7","984.13",,"33.48","473.19","645.27","316.31",,,"6306.7","6306.7",,"6306.7",,"4580.62",,"102.55","611.24",,,,"718.85","619.07","2167.61",,,"75.5","90.65","195.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58537.72","45349.43",
"All Multilateral Recipients, Total","","36411.02","35763.02","312.47","335.53",,"301.11","479.88","1009.59","1428.06","132.07","974.95","472.55","4238.66","4918.19","390.99","91.49","12.34","397.16","3022.4","2777.47","263.12","136.43","1793.06","70.16","927.69","288.55","246.77","51.03","38.3","2065.19","1589.39","487.44","4176.48","2982.5","328.99",,,,"15.69","16.15","19.16",,"0.99","17.57","2.83","32.97",,,"96.18",,"20.49","27.8","10.66",,"44.62","7.36",,,,"6.54",,,,,,,,,,,,"6.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23543.76","26513.13",
"Africa, Total","","45115.45","27378.58","1180.38","16556.49",,"76.85","159.71","632.28","1346.49","9.8","916.82","261.9","3370.12","2702.81","44.28","0.16","16.25","610.3","356.5","1571.4","104.06","136.73","1516.13","14.27","1028.09","12.54","245.43","25.82","0.79","1114.4","1026.05","282.26","2594.21","7202.13","5756.18",,,,"1.28",,"39.21",,"282.23",,,"0.04",,,"0.06",,"21.78",,"1.24",,"51.73","782.81",,"539.75","539.75","1919.46","1802.18","177.16","1625.02",,,,,,,,,"117.28","1614.51",,"23.68","205.06",,"21.59","292.21",,,"147.28","69.58","474.41",,"33.57",,"160.45","186.68",,,"4039.6","4039.6",,"4039.6",,"2686.99",,"102.55","473.57",,,,"387.88","184.56","1371.92",,,"0.14","56.45","109.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19143.66","15736.78",
"North of Sahara, Total","","4177.96","2273.06","809.72","1095.18",,"7.23","30.92","32.69","43.46","0.36","48.33","2.06","633.15","349.07","15.4","0.06",,"0.51","-0.75","175.69","16.26","2.82","19.57","0.14","0.61","0.25","95.76","0.09","0.05","253.41","4.82","7.39","31.2","502.51","821.45",,,,"0.18",,"0.94",,"106.58",,,,,,"0.06",,,,"0.06",,"6.4","695.5",,,,"12.42","11.05",,"11.05",,,,,,,,,"1.37","47.83",,"3.27","11.88",,"0.66","5.74",,,"5.15","6.21","6.01",,,,"4.35","4.56",,,"-54.35","-54.35",,"-54.35",,"267.83",,,"190.94",,,,,"23.44","13.41",,,"0.14","-0.18","40.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1734.33","1519.77",
"South of Sahara, Total","","39672.84","24004.62","348.88","15319.34",,"65.2","127.1","590.4","1242.11","9.44","841.85","225.07","2620.16","2242.13","24.85","0.1","16.25","588.77","342.65","1279.96","86.3","125.99","1437.7","14.13","943.23","12.29","149.29","25.73","0.74","729.76","947.12","259.83","2356.85","6699.62","4933.57",,,,"1.1",,"38.27",,"175.65",,,"0.04",,,,,,,"1.18",,"45.33","87.31",,"539.75","539.75","1907.04","1791.13","177.16","1613.97",,,,,,,,,"115.91","1437.86",,"13.47","193.18",,"20.93","286.47",,,"142.13","63.37","468.4",,"33.57",,"34.22","182.12",,,"4088.83","4088.83",,"4088.83",,"2412.29",,"101.05","282.63",,,,"387.88","155.75","1358.51",,,,"56.63","69.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16783.48","13397.99",
"Eastern Africa, Total","","19854.87","12208.62","228.34","7417.91",,"49.39","45.4","220.46","501.98","3.54","475.88","164.52","812.56","608.7","11.55","0.03","12.67","435.34","189.79","503.36","22.65","21.62","803.76","9.87","739.99","4","27.01","0.66","0.24","297.08","627.67","111.52","1558.47","3948.91","2370.16",,,,"0.09",,"33.78",,"96.27",,,"0.02",,,,,,,"0.67",,"29.25","68.26",,"185.34","185.34","742.99","719.27","22.54","696.73",,,,,,,,,"23.72","691.7",,"6.18","107.62",,"9.24","139.41",,,"61.29","28.71","208.57",,"14.07",,"14.92","101.69",,,"2109.94","2109.94",,"2109.94",,"1317.77",,"34.79","152.48",,,,"155.74","46.12","829.98",,,,"43.28","55.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8123.77","6308.28",
"Middle Africa, Total","","4020.04","2375.12","18.48","1626.44",,"1.5","37.47","183.04","46.39","2.56","14.77","16.17","625.5","219.09","3.66","0.01",,"33.52","48.03","130.8","29.7","6.29","56.09","0.77","58.74","7.4","35.93",,"0.22","93.61","91.71","38.42","222.5","371.23","604.48",,,,,,"0.47",,"10.99",,,"0.02",,,,,,,"0.01",,"3.49","3.5",,"-118.48","-118.48","256.62","251.79","134.35","117.44",,,,,,,,,"4.83","245",,"1.92","43.06",,"3.44","44.98",,,"25.47","5.21","101.94",,"0.71",,"4.88","13.39",,,"354.33","354.33",,"354.33",,"284.49",,"10.86",,,,,"101.55","8.74","155.49",,,,,"7.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1663.54","1697.57",
"Southern Africa, Total","","2258.22","1802.18","-2.23","458.27",,"3.58","1.79","21.51","18.52","1.08","28.34","22.05","35.68","617.74","1.74","0.05","2.71","50.6","13.12","27.53","0.66","6.27","36.56","1.16","35.5","0.16","0.31",,,"17.21","19.37","9.16","125.95","703.83","260.87",,,,"0.26",,"1.3",,"-4.49",,,,,,,,,,"0.27",,"0.19","0.24",,"-4.98","-4.98","26.23","26.23",,"26.23",,,,,,,,,,"34.01",,"1.08","0.18",,"2.5","6.56",,,"6.09","4.58","7.25",,,,"2.79","2.98",,,"19.4","19.4",,"19.4",,"122.74",,"6.83",,,,,"0.46","19.88","93.45",,,,"-0.27","2.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1542.37","999.53",
"Western Africa, Total","","10760.7","5546","102.68","5112.02",,"0.28","27.72","138.07","346.92","2.26","296.33","7.38","914.45","679.27","3.88","0.01","0.87","39.68","77.66","299.26","29.92","90.01","412.8","0.25","67.23","0.73","80.93","25.07","0.27","272.81","95.03","77","402.7","1157.21","1384.89",,,,"0.75",,"2.54",,"72.88",,,,,,,,,,"0.23",,"10.97","15.31",,"477.87","477.87","553.72","466.36","20.27","446.09",,,,,,,,,"87.36","462.82",,"4.29","42.32",,"5.75","95.52",,,"49.28","22.71","148.47",,"18.79",,"11.63","64.06",,,"1605.03","1605.03",,"1605.03",,"627.68",,"48.57","130.15",,,,"130.13","33.88","267.11",,,,"13.62","4.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3877.47","3567.06",
