Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"Albania",,"171.04","98.6","17.44","55","0.99","0.23","8.6","0.11","0.08","0.16","1.84","0.06","4.05","13.05","0.62","0.03",,,"10.22","14.77","-1.18",,"0.06",,"0.57","0.06",,"0.35","0.65","-4.42","9.26","21.46","0.5","17.48","89.56",,,,,,,,"-1.92",,,"0","0",,"0.62",,,,,,"10.36","5.92",,"-2.2","-2.2","-5.63",,,,,,,,,,"-6.57",,"0.94","3.33",,"0.79","-1.29","0.27",,"0.41",,,"0.49","1.3","1.03",,,,,,"0.35",,"-31.9","-31.9",,"-31.9",,"1.84",,,,"0.05",,,,"1.88",,,,,,"-2.99","2.91",,,,,,"0.01",,,,,,,,,,,,,,,,,,"0.33",,"0.64",,,,,,,,,,,,,,"60.15","45.2",
"Algeria",,"144.55","91.97","-13.68","66.25",,"0.01","0.21","2.98","-1.19","0.02",,"0.13","88.73","7.48","0.14","0.89",,"0.03","0.41","0.22","2.64","0.06","0.06",,"0.61","0","0.19",,,"-24.75","1.74","3.13","4.39","3.86","56.52",,,,,,,,,,,,,,"0.04",,,,,,"2.9","-3.76",,,,"0.63","0.63","0.63",,,,,,,,,,,"6.51",,"0.45",,"0.29","0.19","0.39",,,"0.26","2.67","0.95",,,,,"-0.03","1.33",,,,,,,"2.59",,,"0.58",,,,,"2.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103.9","82.7",
"Angola",,"206.53","65.21","5.46","135.87",,"0.02","0.02","-0.22","0.83",,,"0.36","5.41","2.63",,"0.14",,"0.56","1.87","4.54","10.94",,"-1.22","0.04","7.78","4.33","-22.72","0.01",,"-5.12","1.44","0.74","0.53","52.32","43.28",,,,,,"0.01",,,,,,,,"0.11","5.26",,,,,"0.06","0.01",,,,"15.23","15.23","0.35","14.88",,,,,,,,,,"23.18",,"0.26","2.4","0.48","1.3","2.78",,,"1.68","2.07","9.22",,,,,,"3",,"26.26","26.26",,"26.26",,"27.91",,,,,,,"3.76","6.6","18.78",,,,,"-1.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.12","-12",
"Anguilla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",,"0.18","5.07","-1.3","-3.59",,"0.05","0.01",,"0",,,,"0.01","0.01","0","0",,,,"5.14","0.08",,,,,,,,,"0.02",,,"0","-0.24",,,,,,,,,"-1.37",,,,,,,,,,,,,"0.07",,,,"-5.58",,,,,,,,,"-5.58",,,,"0.15",,,,"0.09",,"0.06",,,,,,,,,,,,,,,,,,"1.85",,,,,,,,"1.73",,,"0.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.92","0.05",
"Argentina",,"2.62","-10.75","8.08","5.3","0.26","0.15","0.35","0.05","0.77","0.01",,,"10.21","4.12","0.06","0.02",,"0.14","-0.7","-10.42","0.17","0.06","0.1","0.14",,"0","0.11",,,"-17.14","0.14","0.31","1.36","-0.78","-7.1",,,,,,"3.14",,"4.88",,,"0.01",,,"0.01",,,,"0.02",,"0.01","0.01",,,,"-3.78",,,,,,"-3.78","-3.78",,,,,,"6.32",,"0.37",,"1.43","0.76","0.38",,,"0.2","2.33","0.85",,,,,,,,,,,,,"9.86","3.58",,,,,,,"6.29",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,"0.01",,,,,,,"0.25",,,,,"4.56","-1.1",
"Armenia",,"326.43","143.5","41.9","141.03","0.66","0.03","1.7","0.21","0.1","0.41","1.82","0.22","81.86","27.59","0.05","0.02",,,"0.59","-5.67","0.15",,"0.22",,"0.27","0.17","0","0.01",,"0.52","0.6","7.28","0.59","24.75","110.83",,,,,,"0.17",,"0.97",,,"0.04",,,"0.15","40.33",,,,,"0.02","0.23",,"-17.47","-17.47","20.92",,,,"20.92","20.92",,,,,,,,"7.69",,"0.13","5.01","0.11",,"0.61",,,"0.5",,"0.98",,,,,,"0.35",,"-8.99","-8.99",,"-8.99",,"28.06",,,,,,,"1.11","4.2","4.81",,,,,"14.96","2.97",,,,,,"0.08",,,,,,,,,,,,,,,,,,"0.33",,,,,,,,,,,"0.25",,,,,"129.82","116.59",
"Aruba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azerbaijan",,"79.43","73.78","9.89","-4.24",,,"1.13",,"0.07","0.07",,"0.05","-0.63","3.58",,"0.99",,,"0.01","38.18","12.36","0.05","0.03",,"0.8","0.05","0",,,"0.3","0.91","3.02","1.36","11.46","26.42",,,,,,"1.3","0.01","-2.01","0.01",,"0.02",,,"0.05","0.05",,,,,"14.24","-5.68",,,,"-3.8",,,,"0.42","0.42",,,,,,,"-4.22","1.61",,"0.2","-0.73","0.15",,"0.45",,,"0.41",,"0.7",,,,,,"0.42",,"-36.69","-36.69",,"-36.69",,"8.23",,,,,,,"0.17","2.7","6.27",,,,,"-0.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54.03","7.89",
"Bahamas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahrain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bangladesh",,"2532.82","1221.62","85.28","1225.92","36.17","34.12","0.89","1.39","45.91","0.01","24.5","0.45","13.9","61.08",,"0.01",,"1.3","0.25","461.27","27.45","2.36","38.24","0.21","2.7","0","0",,"0.01","-0.28","30.02","31.18","200.46","244.19","115.11",,,,,,,,"25.61",,,,,,"0.01",,,,"0.16",,"1.98","28.3",,"-18.71","-18.71","118.83",,,,"111.69","111.69",,,,,,,"7.13","89.59",,"0.82","42.22","1.28","0.22","7.09",,,"6.9",,"22.2",,,,,"1.11","7.75",,"752.52","752.52",,"752.52",,"168.58",,,,,,,"76.38","5.84","36.35",,"0.15",,"-0.65","50.5",,,,,,,"26.07",,,,,,,,,,,"1.22",,,,,"2.58",,"1.44",,,,"2.52",,,,,,,,"2.34",,,,"1027.06","374.59","2.34"
"Barbados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belarus",,"-22.31","51.55","-119.9","46.04",,,"1.12","0","0.07","0.64","0.26","0.11","1.9","6.53","0.01","0.08","0.39",,"0.71","0.22","0.24",,,,"0.44","19.18","0","0.17","0.03","0.12","9.6","0.48","0.53","8.74","31.15",,,,,"0.21","1.66",,"-1.06","0.03",,"1.27",,,"0.01","2.87",,,,,"0.11","-125",,,,,,,,,,,,,,,,,"2.7",,"0.26",,"0.03","0.01","0.47","0.02",,"0.32",,"0.87",,,,,,"0.72",,,,,,,"12.19",,,,,,,,"3.82","8.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.7","40.98",
"Belize",,"34.96","4.36","2.23","28.36","0.23","0.05","0.01",,"0.11",,,,"0","0.03",,,,,"0.3","1.2","0.13",,,,,,,,,"0.14",,,"0.57","1.81","17.16",,,,,,,,"2.21",,,,,,,,,,,,"0.02",,,,,"1.38",,,,,,"3.44","3.44",,"-2.05",,,,"2.64",,"0.16",,"0.08",,"0.25",,,,"0.98","1.18",,,,,,,,,,,,,"7.18","1.99",,,,,,,"2.82",,,,,,"2.37",,,,,,,"0.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.03","1.06",
