Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"Benin",,"500.76","221.93","11","267.83","1.91","0.04","0.06","19.94","7.98","0.01","0","0.04","27.62","39.84",,"0",,"0.02","1.34","10.92","0.23","0.98","29.73",,"0.02",,,,,"0.66","0.86","23.49",,"58.14","47.78",,,,,,,,"2.57",,,,,,"0.01",,,,"0.05",,"0.68","-0.15",,"-9.65","-9.65","50.65","47.79","0.04","47.75",,,,,,,,,"2.86","16.6",,"0.44","0.37","0.24","0.48","3.9",,,"1.64",,"6.78",,,,,"1.54","1.21",,"124.17","124.17",,"124.17",,"38.3",,,,,,,"7.2","6.93","22.51",,"0.04",,"-0.44","2.06",,,,,,,"1.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.23",,,,,"145.83","121.12",
"Bermuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhutan",,"51.6","30.75","1.1","19.74","1.89","4.1","1.6",,"0.12","0.03","-0.03","0.28","0.02","0.57",,,,,"0.01","19.79","0.71",,,"0.13","0.35",,,,,,"0.1","2.69","0.08","0.2","6.3",,,,,,,,,,,,,,,,,,"1",,"0.1",,,,,"3.36",,,,"3.36","3.36",,,,,,,,"5.78",,,"1.27",,"0","0.86",,,"0.73",,"1.01",,,,,"0.02","1.88",,"-0.37","-0.37",,"-0.37",,"4.68",,,,,,,"0","3.45","1.23",,,,,,,,,,,,"0.39",,,,,,,,,,,,,,,,,,,,"1.5",,,,,,,,,,,,,,"20.8","2.66",
"Bolivia",,"696.51","203.17","0.02","493.32","0.85","0.08","0.22","20.76","13.26","0.02","23.35","0.9","7.67","32.98",,"0",,"0.36","2.58","10.99","18.33","1.49","0.15","0.04","3","0.02",,,,"14.76","21.99","27.67","0.3","2.26","75.64",,,,,,,,,,,,,,,,,,,,"0.01","0.01",,,,"334.56",,,,,,"334.56","334.56",,,,,,"9.15",,"0.14","4.52","0.46","0.01","0.84",,,"0.99",,"2.15",,,,,"0.05",,,"56.43","56.43",,"56.43",,"17.54",,,,,,"0.09","1.64","4.26","8.09",,"0.06",,"-1.1","4.51",,,,,,,"0.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.41",,,,,"70.03","127.54",
"Bosnia and Herzegovina",,"446.12","164.62","35.56","245.93","0.48","0.02","20.09","-0.21","0.5","3.03","0.47","0.12","1.41","41","0.02","0.31",,"0.01","0.31","10.94","-0.31","0.04","2.3",,"5.29","-1.22","-0.39","0.19","3.47","-11.29","16.62","24.28","4.89","42.73","191.22",,"0.06",,,,,,"4.49",,,"0",,,"0","0",,,,,"30.29","0",,,,"-0.2",,,,,,,,,,"1.05",,"-1.25","7.67",,"0.09","0.86","0.22",,"0.43",,,"0.42","4.47","0.85",,"-0.12",,,,"0.45",,"13.12","13.12",,"13.12",,"34.12",,,,"0.05",,,,"3","0.78",,,,,"18.84","11.45",,,,,,"0.01",,,,,,,,,,,,,,,,,,"0.33",,"0.13",,,,,,,,,,,,,,"101.78","81.17",
"Botswana",,"90.57","78.46","-0.4","12.51","0.8","0.63","0.01","-0.07","0.43",,,"0.12","0.25","0.16",,,,"0.12",,"7.99","0.19",,,"0.46","0.2",,"0.03",,,,"0.27",,"0.38","67.28","2.65",,,,,,,,"-0.52",,,,,,,,,,"0.04",,"0.06","0.02",,,,"-2.69","-2.76","0.18","-2.94",,,,,,,,,"0.07","6.63",,"0.27","0.09","0.48","0.75","0.48",,,"0.63","2.11","0.92",,,,,,"0.89",,,,,,,"5.91",,,,,,,,"2.13","5.9",,,,"-0.29","-1.83",,,,,,,"0.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76.49","1.28",
"Brazil",,"674.63","587.65","2.1","84.87","16.02","0.27","1.7","1.89","0.85","0.01","0.45","0.47","124.58","247.68","0.01","0.02",,"0.4","6.65","-14.15","0.02","0.96","0.16","0.23","111.54","0.08","2.3",,,"4.74","1.6","3.72","72.43","19.03","55.65",,,,,,"1.76",,,,,"0",,,"0",,,,,,"0.23","0.1",,,,"-5.26",,,,,,"-5.26","-5.26",,,,,,"9.22",,"0.51",,"1.96","0.6","0.18",,,"1.19","2.15","2.64",,,,,,,,,,,,,"25.26",,,,,,"0.06",,"25.19",,,,,,,,,,,,,"12.84",,"0.24",,,"0.07",,,,,,,,,,,,,"2.5",,,,,,,,,,,"0.38",,,,,"457.08","466.14",
"British Virgin Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brunei Darussalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burkina Faso",,"1029.48","364.72","2.59","662.17","14.6","0.06","4.81","13.3","18",,"46.92","0.17","65.53","43.6",,"0",,"0.4","8.48","30.25","0.88","19.57",,,"0.42",,"0",,,"2.03","12.27","35.33","0.18","62.51","155.65",,,,,,"0.25",,"-5.08",,,,,,"0.01",,,,,,"0.67","0.66",,"11.94","11.94","54.08","42.53","0","42.53",,,,,,,,,"11.55","32.03",,"0.31","3.75","0.39","0.63","5.41",,,"2.47",,"14.25",,,,,"3.23","1.59",,"329.56","329.56",,"329.56",,"78.9",,,,,,"1.34","27.26","4.44","48.47",,,,"-0.23","-2.39",,,,,,,"11.66",,,,,"1.11",,,,,,,,,,,,,"1.83",,,,,,,,,,,,,,,,"228.55","217.25",
"Burundi",,"742.64","558.58","0.46","183.6","2.06","0.24","0.03","52.02","4.16",,"-0.04","0.55","5.58","46.09",,"0",,"1.79","0.98","3.64","0.57","0.57","33.9",,"5.15",,"0",,"0.1","0.98","2.28","7.15","4.3","388.55","58.19",,,,,,,,,,,,,,,,,,,,"0.4","-0.11",,"-18.04","-18.04","14.51","14.42",,"14.42",,,,,,,,,"0.09","51.74",,"0.17","12.62","0.14","0.49","8.36",,,"1.59","6.13","11.11",,"4.89",,,"5.06","1.18",,"30.71","30.71",,"30.71",,"46.49",,,,,,,"17.42","2.58","22.86",,,,,"3.63",,,,,,,"0.6",,,,,,,,,,,,,,,,,,"1.24",,,,,,,,,,,"0.22",,,,,"453.31","149.13",
"Cabo Verde",,"115.24","75.86","2.89","36.49","0.01","0.05","0.18","0","0.02","0.04",,,"4.19","0.61","0",,,,"0.34","10.13",,"10.86",,,,"0.01","30.79",,"0.06","-0.53","0.04","0.04","0.1","18.93","35.79",,,,,,,,"0.96",,,,,,,,,,"0",,"0.01","0.04",,,,"-0.11","-0.11","1.34","-1.46",,,,,,,,,,"4.36",,,"1.04","0.28",,"0.53",,,"0.51",,"1.21",,,,,,"0.78",,"-3.74","-3.74",,"-3.74",,"0.21",,,,,,,,"1.43","0.25",,,,"-0.11","-1.36",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.01",,,,,,,,,,,,,,"34.31","46.69",
"Cambodia",,"728.45","477.02","4.42","247.02","4.78","57.75","0.11","3.68","5.01","1.61","0.06","0.97","28.65","41.81",,"0.19",,"0.61","0.79","136","53.15","0.46",,"4.8","6.58","0.98",,"0.03",,"-3.94","30.69","17.22","2.76","87.06","62.74",,,,,,"0.07",,"0.5",,,,"0.01",,,"0.15",,,"3.49",,"0.19","0.01",,,,"119.47",,,,"119.31","119.31",,,,,,,"0.16","26.86",,"0.38","9.31","0.53","0.65","2.88",,,"2.39",,"5.49",,,,,"3.73","1.47","0.04","-7.15","-7.15",,"-7.15",,"45.1","1.09",,,,,,"10.88","4.63","23.21","0.89","0.04",,"1.61","2.75",,,,"0.47",,,"2.07",,,,,,,,,,,"0.13",,,,,"0.1",,"1.76",,,,,,,,,,,"0.25",,,,,"302.08","109.45",
"Cameroon",,"756.61","472.32","2.03","282.26","5.61","0.35","1.65","6.23","8.41",,"-0.6","0.51","237.89","87.72",,"0.05",,"0.64","3.89","23.72","11.25","0.53",,"0.17","0.37",,"0.01",,,"0.17","5.32","2.91","2.3","78.82","75.2",,,,,,"0.67",,"-1.39",,,,"0.01",,"0.05",,,,,,"1.93","0.24",,"-29.87","-29.87","33.12","42.03",,"42.03",,,,,,,,,"-8.91","30.33",,"0.25","5.55","1.09","0.73","1.87",,,"2.91",,"11.39",,,,,"4.86","1.66",,"126.76","126.76",,"126.76",,"46.72",,,,,,,"8.32","5.48","34.59",,,,,"-1.67",,,,"0.36",,,"2.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.08","2.64",,,,"442.76","346.32","2.64"
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central African Republic",,"506.76","256.84","6.49","243.44","-0.14","2.87","0.01","8.29","14.2","0.1","2.97","0.83","29.88","18.31","0.01",,,"6.7","6.51","15.7","0.51","2.09","11.86",,"6.97",,"0.05",,,"1.06","15.85","7.25","25.52","79.26","126.19",,,,,,,,"0.3",,,,,,"0",,,,,,"0.48","0.05",,"15.46","15.46","9.74","9.52",,"9.52",,,,,,,,,"0.22","27.74",,"0.21","1.73","0.24","0.64","5.74",,,"1.62",,"7.04",,"3.15",,,"4.71","2.67",,"37.72","37.72",,"37.72",,"26.58",,,,,,,"6.59","2.26","17.53",,"0.15",,,"0.05",,,,,,,"-0.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"189.4","130.07",
"Chad",,"624.46","176.17","5.41","442.87","3.49","0.01","0.05","2.32","5.99",,,"1.18","31.64","18.72",,"0",,"1.46","0.27","5.08","0.24","0.11",,,,,,,,"0.93","6.98","25.94",,"75.24","149.52",,,,,,,,"2.17",,,,"0.01",,"0.01",,,,,,"1.29","1.94",,"61.73","61.73","57.34","55.71",,"55.71",,,,,,,,,"1.64","29.85",,"0.21","2.65","0.2","0.56","3.56",,,"2.82",,"15.56",,"0.02",,,"2.71","1.54",,"87.41","87.41",,"87.41",,"57.02",,,,,,,"10.03","3.98","42.36",,,,,"0.66",,,,,,,"3.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136.95","63.67",
"Chile",,"178.44","159.62","0.39","18.43","5.46","0.32","0.28","0.16","2.44","0.01",,"0.27","5.95","135.17","0.02","0",,,"0.24","2.32","0.23","0.11",,"0.37","0","0","0.06",,,"0.77","0.14","0.25","9.07","1.42","5.46",,,,,,"0.23",,,,,,,,"0.01",,,,"0.1",,"0.04","0.01",,,,"4.71",,,,,,"4.71","4.71",,,,,,"3.13",,"0.73",,"0.95","0","0.32",,,"0.17",,"0.95",,,,,,,,,,,,,"5.13",,,,,,"0.34",,"4.79",,,,,,,,,"3.37",,,,,,,,,,,,,,,,,,,,,,,,,,"2.09",,,,,,,,,,,,"156.62","152.26",
"China (People's Republic of)",,"-791.43","-215.63","14.43","-590.23","22.12","3.79","5.53","-1.15","-11.54","0.04","3.28","1.97","58.8","589.24","0","2.44",,"0.01","-15.62","-949.15","-5.27","0.5","0.48","0.54","10.37","-16.8","8.84","0.09",,"-23.03","1.81","9.84","63.3","46.09","113.66",,,,,,"1.9",,"9.44","0.03",,"0.04",,,"0.06","0.01",,,"0.18",,"2.41","0.26",,,,"15.92",,,,"15.92","15.92",,,,,,,,"10.03",,"0.65","-8.37","1.56","1.15","2.05",,,"1.59","0.6","7.07",,,,,,"3.74",,"-796.12","-796.12",,"-796.12",,"66.28",,,,,,,,"54.51","-3.63","0.51",,,"-0.25","15.13",,,,"1.13",,,"14.73",,,,,,,,,,,"0.25",,,,,"2.86",,,,"1.35",,"0.85",,,,,,,"0.96",,,,,"-218.89","679.7",
"Chinese Taipei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colombia",,"1106.5","988.32","1.37","116.8","8.13","0.15","1.05","2.68","35.49","0.14","0.3","0.79","189.04","278.64",,"0.14",,"1.41","2.42","13.21","12.65","0.87","4.64","0.79","38.92","0.1","0.21","0.02","0.04","11.74","31.38","34.5","33.58","293.43","90.99",,,,,,"0.19",,,,,"0.01",,,"0.01",,,,"0.01",,"1.14","0.01",,,,"3.57",,,,,,"3.57","3.57",,,,,,"10.24",,"0.64","-0.84","0.48","0.16","0.56",,,"0.93","6.94","1.09",,"0.08",,,"0.2",,,,,,,,"11.99",,,,,,"0.49",,"13.32","3.04","0.52",,,"-0.05","-5.33",,,,,,,"6.47",,"0.84",,,,,,,,,,,,,,,,,,,,"0.68",,,,,,,"0.15",,,,,"845.81","559.19",
"Comoros",,"53.75","20.61","1.84","31.3","0.01","0.03",,"0",,,,,"19.11",,,"0",,,,"0.29","0.13",,,,,,"0.01",,,,,,"0.01","1.03","8.69",,,,,,,,,,,,,,,,,,"0.05",,"0.34","1.36",,"-1.82","-1.82","2.95","2.91",,"2.91",,,,,,,,,"0.05","4.96",,,"-0.15","0.25",,"1.16",,,"0.79",,"1.45",,"0.45",,,,"1.02",,"5.63","5.63",,"5.63",,"10.9",,,"1.96",,,,"0.64","3.14","5.16",,,,,,,,,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.44","19.13",
"Congo",,"87.05","32.88","-0.26","54.43","1.73","0.04","0.04","1.21","0.11",,,"0.02","21.53","0.43","0.01","0",,"0","0.65","3.82","0.11",,,,"0.36",,"0.1",,,"0.13","0","0.2","0.12","4.01","13.81",,,,,,,,,,,,,,"0",,,,"0.03",,"0.31","0.33",,"-3.7","-3.7","8.87","8.87","0.01","8.85",,,,,,,,,,"11.24",,"0.01","1.87","0.19","0.55","1.34",,,"1.19","1.75","2.15",,,,,"0.79","1.4",,"11.74","11.74",,"11.74",,"12.48",,,,,,,"4.35","1.85","4.57",,"0.15",,,"1.56",,,"0.17","0.28",,,"1.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.66","24.24",
"Cook Islands",,"17.47","14.45","0.03","2.99",,"3.1",,,,,,,"-0.12","0.04",,,,,,"0.23","0.02",,,"11.19",,,,,,,,,,,"1.11",,,,,,,,,,,,,,,,,,"0.03",,,,,,,"-0.96",,,,"-0.96","-0.96",,,,,,,,"0.3",,,,,,"0.05",,,,,,,,,,,"0.25",,,,,,,"2.54","1.17",,,,,,,"1.24",,,"0.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.14","-0.09",
"Costa Rica",,"100.72","68.78","0.33","31.62","0.23","0.29","0.1","0","0.17",,,"0","4.68","24.52",,"0",,,"0.26","28.44","0.9","0","0.99",,"0.02","0",,,,"-1.28","0.04","0.04","1.08","8.51","21.4",,,,,,"0.1",,,,,"0",,,,,,,"0.07",,"0.01","0.14",,,,"2.04",,,,,,"2.04","2.04",,,,,,"2.79",,"0.7",,"0.56","0","0.42",,,"0.42",,"0.69",,,,,,,,,,,,,"5.39",,,,,,,,"3.65","1.74",,,,,,,,,,,,"0.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.67","30.41",
"Cote d'Ivoire",,"615.79","210.82","2.77","402.2","2.05","1.54","0.05","0.23","4.12",,"0","0.39","15.83","9.24",,,,"0.01","0.77","22.55","6.02","0.09",,,"0.35",,"0.03",,,"0.72","0.7","1.52","0.79","145.88","108.5",,,,,,"0.16",,"2.04",,,,,,"0.03",,,,"0.03",,"0.95","0.02",,"-31.9","-31.9","20.36","25.89","0.05","25.85",,,,,,,,,"-5.53","28.97",,"0.14","1.87","1.31","0.8","3.27",,,"2.91",,"11.95",,"4.88",,,"0.61","1.23",,"178.86","178.86",,"178.86",,"97.41",,,,,,,"8.14","3.06","89.21",,,,,"-3.01",,,,"0.23",,,"1.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"199.18","28.84",
"Croatia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuba",,"2698.11","2277.85","387.48","32.79",,"0.03","7.85","7.09","1.98","0.16","1.83","-0.03","78.57","2.4","0","0",,,"4.9","20.48","3.08","0.19","0.19",,"2.4",,"0.26","0.06",,"2117.63","0.41","14.81","3.63","9.92","12.37",,,,,,,,"15.02",,,,,,"0.01","352",,,"0",,"0.05","0.03",,,,,,,,,,,,,,,,,"0.69",,"1.12","-2.49","0.01",,"0.44",,,"0.48",,"1.11",,,,,,,,,,,,,"19.73","1.34",,,,,,"0.31","2.46","6.23",,,,,"9.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121.88","2225.14",
"Cyprus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Democratic People's Republic of Korea",,"119.65","25.75","57.27","36.63","0.56",,"0.06",,"2.04",,,"0.37","0.89","2.85",,,,"0.44","0.02",,,,"0.03",,"1.19","0.02",,,,"0","3.67","11.73","0.29","2.14","6.9",,,,,,,,"-1.5",,,,,,"0.01","58.63",,,"0.13",,,,,,,,,,,,,,,,,,,,"12.34",,,"-0.01",,,"2.99",,,"0.72",,"2.56",,,,,"2.37","3.7",,,,,,,"17.4",,,,,,,"4.36",,"13.04",,,,,,,,,,,,"0.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.23","8.66",
"Democratic Republic of the Congo",,"2102.33","974.46","0.41","1127.47","12.69","4.98","0.24","103.1","43.86","0.01",,"1.15","35.14","85.25","0.11","0",,"7.13","12.51","41.43","10.09","3.56","13.29",,"18.46","0.01","0.12",,,"6.27","53.32","22.42","174.83","337.18","207.34",,,,,,,,"-0.67",,,,,,"0.01",,,,"0.04",,"0.99","0.03",,"-78.32","-78.32","263.17","263.17","146.44","116.73",,,,,,,,,,"113.28",,"0.29","-1.06","0.54","1.74","13.72",,,"8.08","8.96","68.13",,"2.84",,,"7.58","2.47",,"333.58","333.58",,"333.58",,"288.41",,,,,,"1.92","74.45","7.58","204.48",,"0.12",,,"-0.14",,,"0.17","0.43",,,"11.38",,"0.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.55",,,,"730.2","496.03","0.55"
"Djibouti",,"185.35","69.54","57.13","58.68","0.01","0.01","0",,"0.85",,,,"49.06","1.14",,,,"0.04","0.87","9.13",,,,,,,,,,,"1.46","0.22",,"6.75","13.17",,,,,,,,"55.22",,,,,,,,,,,,"1.78","-0.11",,"-1.89","-1.89","2.48","-1.04",,"-1.04",,,,,,,,,"3.52","5.75",,"0.07","0.86","0.11","0.38","0.83",,,"0.73",,"1.09",,,,,"0.98","0.7",,"4.6","4.6",,"4.6",,"34.57","1.84",,"19.86",,,,"0.52","3.86","8.23",,,,,"0.26",,,,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.8","52.57",
"Dominica",,"8.57","1.07","-0.57","8.06",,"0.04","0.01",,,,,,"-2.4","0.04",,,,,,"2.91","0.12",,,"0.08",,"0",,,,"0",,"0.05","0.06","0.15","9.72",,,,,,,,"-0.57",,,,,,,,,,,,,,,"-1.56","-1.56","-0.7",,,,,,,,,"-0.7",,,,"0.13",,,"-0.09","0.08",,"0.14",,,,,,,,,,,,,"-0.73","-0.73",,"-0.73",,"1.19",,,,,,,,"1.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.76","-2.28",
"Dominican Republic",,"176.7","121.46","0.11","55.14",,"0.13","0.06","0.36","0.72",,,"0.28","58.97","-0.14",,,,,"0.28","0.88","10.45","0.04","0.03",,"0.04",,,,,"3.71","0.01","0.03","0.01","45.61","48.18",,,,,,"0.07",,,,,,,,"0",,,,,,"0.03",,,,,"-14.03",,,,,,"-14.03","-14.03",,,,,,"3.97",,"0.09","-0.58","0.28","0.4","0.38",,,"0.53","1.54","1.34",,,,,,,,,,,,,"17.01",,,,,,,,"1.02","6.02",,,,"-0.36","10.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106.33","63.61",
"East African Community",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador",,"243.71","186.32","1.55","55.84","0.94","0.06","1.37","9.45","2.55","0.13",,"0.05","81.49","26.08",,"0.58","0.1","0.09","2.93","10.04","24.11","0.22",,"0.32","4.24","0",,"0.07","0.03","-2.18","1.98","4.36","0.12","18.12","51.62",,"0.03",,,"0.02","0.12",,"0.36",,,"0.01","0.03",,"0.01","0.48",,,"0.1",,"0.33","0.05",,,,"-21.25",,,,,,"-21.25","-21.25",,,,,,"16.8",,"0.77","-0.91","0.4","0","1.04",,,"0.77","11.33","2.09",,,,,"1.32",,,,,,,,"8.66",,,,,,,,"6.25","2.01",,,,,"0.4",,,,,,,"0.92",,,,,,,,,,,,,,,,,,,,,,"0.02",,,,,,,,,,,,"141.33","122.43",
"Egypt",,"2437.35","172.09","1989.34","275.92","1.37","0.43","4.01","-0.96","6.84","0.1","1.79","1.36","206.69","13.32","0.24","0.18","0.03","0.06","4.62","28.77","2.81","0.21","-1.23","0.07","3.88","0.02","0.11","0.01","0.04","-2.47","4.87","10.74","15.49","-129.94","309.56",,,,,,,,"20.49",,,,"0",,"0.1",,,,"0.07",,"-398.79","2060.46",,,,"-2.6","-4.41","2.19","-6.61",,,,,,,,,"1.81","31.8",,"0.47","14.71","1.01","0.11","0.64",,,"1.57","6.51","2.91",,,,,"1.71","2.16",,"-85.73","-85.73",,"-85.73",,"22.89","2.03",,"17",,,,,"5.13","0.77",,,,,"-2.04",,,,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,"1.36",,,,,,,,,,,,"145.8","248.46",
"El Salvador",,"128.97","110.78","0.05","18.14","0.75","0.18","0.55","1.63","2.01","0",,,"3.02","18.98","0.01","0",,"0.1","1.41","-4.77","3.88","5.07",,,"0.85",,"0",,,"13.8","1.14","2.45","0.05","60.43","21.09",,,,,,,,,,,,,,,,,,"0.05",,,,,,,"-18.43",,,,,,"-18.43","-18.43",,,,,,"2",,"0.39","-2","0.73","0.12","0.45",,,"0.76",,"1.02",,,,,"0.53",,,,,,,,"13.47",,,,,,,,"1.03","7.45",,,,,"5",,,,,,,"0.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81.12","45.75",
"Equatorial Guinea",,"6.92","6.64",,"0.28","0.05","0.01","0.02",,"0.03",,,,"1.95","0.07",,,,,,"0.06","0.18",,,,,,"0.09",,,"2.18",,,,"2.04","0.08",,,,,,,,,,,,,,,,,,,,,,,,,"-1.32","-1.32",,"-1.32",,,,,,,,,,"2.95",,,"-0.05","0.15","0.25","0.34",,,"0.54",,"1.2",,,,,,"0.52",,"-2.13","-2.13",,"-2.13",,"0.7",,,,,,,,"0.7","0",,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.15","4.31",
