Recipient,"FakeColumn","Donor(s)","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients","",,"80200.03","3246","21777.76",,"1460.08","677.59","1463.34","2599.18","108.28","2037.13","679.83","8472.53","7534.24","320.8","70.14","21.26","607.49","2461.57","8922.46","423.39","235.59","4203.91","212.08","2198.34","117.51","1031.05","28.19",,"2436.95","2722.02","1545.44","7904.73","19704.91","8703.53",,,,,"4.84","83.85",,"160.94","8.33",,"9.07",,,,,"1734.08","420.96",,,"339.16","484.77",,"66.64","66.64","1302.28","1069.28","149.82","919.46",,,,,,"36.6",,"53.47","142.93","2866.01",,,"164.54",,,"374",,,"195.67","346.59","649.99",,,"448.78","433.82","252.62",,,"7552.82","7552.82",,"7552.82",,"1286.48",,"48.6",,,,,,"432.32","584.09",,,"59.29","70.16","92.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57599.62","43112.89",
"All Developing Countries, Total","","78979.04","54785.71","3052.8","21140.53",,"1190.55","352.49","902.46","1991.04","63.58","1202.05","401.71","5566.8","3822.61","160.73","35.49","16.38","409.64","704.17","5917.17","330.83","171.12","2670.27","159.02","1536.11","24.89","872.71","10.72",,"1400.24","2075.78","1186.89","5360.76","16249.5","8067.91",,,,,"0.59","74.98",,"99.12","0.21",,"0.8",,,,,"1690.91","410.1",,,"291.84","484.25",,"66.64","66.64","1300.67","1069.28","149.82","919.46",,,,,,"36.6",,"53.47","141.32","2866.01",,,"164.54",,,"374",,,"195.67","346.59","649.99",,,"448.78","433.82","252.62",,,"7552.82","7552.82",,"7552.82",,"1286.48",,"48.6",,,,,,"432.32","584.09",,,"59.29","70.16","92.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39612.05","26208.22",
"All Multilateral Recipients, Total","","26244.75","25414.32","193.2","637.23",,"269.53","325.1","560.88","608.14","44.7","835.08","278.12","2905.73","3711.63","160.07","34.65","4.88","197.85","1757.4","3005.29","92.56","64.47","1533.64","53.06","662.23","92.62","158.34","17.47",,"1036.71","646.24","358.55","2543.97","3455.41","635.62",,,,,"4.25","8.87",,"61.82","8.12",,"8.27",,,,,"43.17","10.86",,,"47.32","0.52",,,,"1.61",,,,,,,,,,,,"1.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17987.57","16904.67",
"Africa, Total","","29903.22","19383.08","286.46","10233.68",,"54.92","145.92","549.11","631.95","4.06","529.31","142.56","3728.1","1399.82","17.81","0.15","6.01","289.71","393.23","838.49","28.11","84.12","1224.86","13.87","626.86","9.93","804.12","0.72",,"292.29","676.18","255.74","2448.82","4186.31","3587.29",,,,,"0.04","28.33",,"33.39",,,"0.05",,,,,,,,,"3.84","220.81",,"-97.56","-97.56","1153.25","1069.28","149.82","919.46",,,,,,,,,"83.97","1097.46",,,"110.73",,,"190.59",,,"92.19","187.17","207.63",,,,"150.91","158.24",,,"3860.13","3860.13",,"3860.13",,"633.11",,"47.4",,,,,,"115.38","355.64",,,"0.17","40.08","74.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13626.72","12740.82",
"North of Sahara, Total","","3115.68","2115.08","197.6","803",,"5.46","20.71","26.42","17.12","0.23","20.96","4.72","692.04","153.07","1.98","0.05",,"0.29","72.59","189.99","6.09","3.6","14.03","0.01","3.35","0.27","0.45","0.03",,"111.72","5.03","5.71","76.9","682.26","672.49",,,,,,"0.57",,"15.81",,,,,,,,,,,,"0.59","180.63",,,,"31.27","22.14",,"22.14",,,,,,,,,"9.13","38.96",,,"3.2",,,"3.49",,,"6.02","5.45","6.61",,,,"7.36","6.83",,,"32.71","32.71",,"32.71",,"27.57",,,,,,,,"19.67","3.96",,,"0.17","-0.06","3.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1883.97","1205.09",
"South of Sahara, Total","","26219.59","16767.39","88.86","9363.34",,"49.46","124.75","517.27","566.58","3.83","501.48","124.98","2963.65","1204.43","7.99","0.1","6.01","289.42","309.73","646.29","22.02","78.68","1154.87","13.86","540.93","9.66","803.39","0.69",,"180.22","616.36","245.28","2281.41","3504.05","2914.57",,,,,"0.04","27.76",,"17.58",,,"0.05",,,,,,,,,"3.25","40.18",,"-97.56","-97.56","1121.98","1047.14","149.82","897.32",,,,,,,,,"74.84","1001.02",,,"107.53",,,"187.1",,,"80.54","170.4","201.02",,,,"103.02","151.41",,,"3826.59","3826.59",,"3826.59",,"596.74",,"47.4",,,,,,"86.91","351.68",,,,"40.14","70.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11476.14","11172.91",
"Eastern Africa, Total","","12454.09","7716.3","56.88","4680.91",,"20.21","27.23","110.2","262.97","1.67","317.41","85.85","1110.94","469.66","5.12","0.1","4.74","237.38","154.69","266.49","5.09","10.25","585.63","9.95","413.11","9.17","25.11","0.67",,"62.57","388.63","103.94","1262.5","1765.02","1223.39",,,,,"0.04","26.23",,"-3.23",,,"0.04",,,,,,,,,"3.02","30.78",,"13.76","13.76","414.54","406.78","23.79","382.99",,,,,,,,,"7.76","460.92",,,"50.84",,,"87.59",,,"33.36","80.19","88.48",,,,"42.44","78.02",,,"2260.06","2260.06",,"2260.06",,"308.24",,"11.81",,,,,,"25.86","229.08",,,,"24.82","16.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5292.27","4864.78",
"Middle Africa, Total","","4505.28","3088.14","1.96","1415.18",,,"65.56","291.14","72.93","0.34","17.7","9.22","428.1","312.91","1.08",,,"9.48","35.8","96.03","0.8","2.7","96.81","0.19","46.74","0.25","728.51","0.02",,"31.15","60.72","29.3","359.01","391.65","486.75",,,,,,"0.24",,"0.39",,,,,,,,,,,,"0.05","1.28",,"49.75","49.75","213.82","198.74","93.09","105.65",,,,,,,,,"15.08","175.48",,,"6.68",,,"31.32",,,"15.61","37.9","36.96",,,,"17.29","29.72",,,"445.48","445.48",,"445.48",,"43.9",,"5.04",,,,,,"2.48","29.17",,,,,"7.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1696.43","2450.5",
"Southern Africa, Total","","970.77","659.58","11.71","299.48",,"8.06","3.16","15.84","15.01","0.82","24.05","15.93","7.92","95.66","0.34",,"1.27","31.87","10.02","24.73","0.18","9.1","61.4","1.7","21.93","0.01","0.48","0",,"11.61","36.03","8.22","98.92","155.32","185.97",,,,,,"0.51",,"11.03",,,,,,,,,,,,,"0.17",,"9.81","9.81","10.39","10.39",,"10.39",,,,,,,,,,"44.7",,,"4.24",,,"6.06",,,"2.83","8.8","5.42",,,,"7.92","9.43",,,"9.34","9.34",,"9.34",,"39.27",,"2.87",,,,,,"8.85","28.9",,,,"-0.2","-1.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"407.58","423.16",
"Western Africa, Total","","6831.56","4168.17","18.31","2645.08",,"0.73","26.05","81.17","189.36","0.95","134.47","8.33","1220.18","288.26","1.45",,,"10.44","104.81","258.99","15.95","49.24","346.85","0.39","41.34","0.23","43.16","0",,"71.1","60.38","72.84","544.21","597.29","834.42",,,,,,"0.78",,"9.39",,,"0.01",,,,,,,,,"0.18","7.95",,"-170.88","-170.88","379.85","327.85","32.94","294.91",,,,,,,,,"52","318.05",,,"45.77",,,"62.13",,,"28.74","43.51","68.72",,,,"35.37","33.81",,,"1106.99","1106.99",,"1106.99",,"176.65",,"27.68",,,,,,"23.88","61.69",,,,"15.52","47.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3203.1","2991.28",
