Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients","",,"135110.61","8746.29","37263.57","2646.54","4982.87","1111.35","2807.4","5458.52","250.42","2931.1","1406.04","12997.23","14092.89","424.77","139.73","25.58","913.52","4325.65","11086.19","1324.53","409.2","6343.94","424.12","4755.61","417.47","707.79","86.02","62.77","4173.14","5603.13","3050.92","13832.36","30966.35","17390.56",,"48.38",,"37.6","24.21","206.19",,"175.16","19.13","31.46","51.66","19.96",,"163.81","478.99","5094.9","381.24","22.79",,"1273.01","717.8",,"772.41","772.41","2684.46","2271.94","125.22","2146.72",,,,,,"38.67","131.47",,"242.38","4523.34",,"70.23","382.13",,"265.47","489.63","12.49",,"313.8","441.34","1089.29",,"61.85","607.94",,"336.91","452.26",,"7049.76","7049.76",,"7049.76",,"4843.04","47.1","46.77","301.18",,,,"819.43","666.5","2611.58",,,"8.04","51.97","139.69","150.78",,,,,,"2646.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92759.19","73035.92",
"All Developing Countries, Total","","139449.77","94826.9","7704.51","36918.36","2396.54","4308.73","490.08","1739.19","4111.19","76.92","2144.32","839.31","8494.69","8736.22","153.9","33.15","20.06","603.67","1702.39","7197.78","989.52","279.68","4336.26","329.57","3561.6","90.68","477.13","21.43","19","2281.71","3651.16","2370.61","8473.54","27293.41","17045.35",,"6.83",,"18.05","7.27","188.19",,"144.42","1.27","25.81","20.53","13.3",,"28.52","240.4","4773.29","331.84","14.14",,"1226.21","664.44",,"772.41","772.41","2684.46","2271.94","125.22","2146.72",,,,,,"38.67","131.47",,"242.38","4523.34",,"70.23","382.13",,"265.47","489.63","12.49",,"313.8","441.34","1089.29",,"61.85","607.94",,"336.91","452.26",,"7049.76","7049.76",,"7049.76",,"4843.04","47.1","46.77","301.18",,,,"819.43","666.5","2611.58",,,"8.04","51.97","139.69","150.78",,,,,,"2396.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66009.22","44644.43",
"All Multilateral Recipients, Total","","41670.7","40283.71","1041.78","345.21","250","674.14","621.27","1068.21","1347.33","173.5","786.78","566.73","4502.54","5356.67","270.87","106.58","5.52","309.85","2623.26","3888.41","335.01","129.52","2007.68","94.55","1194.01","326.79","230.66","64.59","43.77","1891.43","1951.97","680.31","5358.82","3672.94","345.21",,"41.55",,"19.55","16.94","18",,"30.73","17.86","5.65","31.13","6.66",,"135.29","238.59","321.61","49.4","8.65",,"46.8","53.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26749.97","28391.49",
"Africa, Total","","51644.44","32523.06","629.18","18492.2","847.47","392.95","124.69","830.66","1544.82","9.73","975.11","324.96","4640.64","2575.19","18.38","0.71","10.17","400.68","830.26","1722.45","178.36","124.89","979.03","15.23","1080.05","3.68","407.52","2.38","0.72","741.51","1351.45","571.48","3408.62","9256.74","6036.93",,"6.4",,"1.48","0.54","4.79",,"170.38","0.01",,"0.04",,,"1.88","33.08","14.5",,"0.73",,"269.78","125.58",,"1057.48","1057.48","2425.97","2271.94","125.22","2146.72",,,,,,,,,"154.03","1543.63",,"18.07","172.82",,"50.28","220.6",,,"150.61","106.92","484.16",,"52.73",,,"175.91","111.53",,"4791.22","4791.22",,"4791.22",,"2636.97","10.83","46.77","284.6",,,,"517.34","179.21","1534.33",,,"0.08","8.61","55.2",,,,,,,"847.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23978.72","17750.81",
"North of Sahara, Total","","4086.91","2466.95","270.58","1349.38","1.56","50.3","11.7","48.42","27.03","1.47","21.47","9.54","1055.99","357.19","10.29","0.25","0.15","2.96","46.57","-21.35","19.69","0.3","16.59","1.26","23.25","0.84","0.47","0.12","0.14","292.62","32.97","52.51","67.55","336.66","1170.78",,,,"0.16","0.14","0.03",,"116.24","0.01",,"0.04",,,"0.48","8.72",,,"0.02",,"58.48","86.26",,,,"3.55","-3.28","4.59","-7.87",,,,,,,,,"6.83","58.37",,"1.17","3.73",,"8.92","4.18",,,"8.64","9.23","7.71",,,,,"10.05","4.74",,"-57.52","-57.52",,"-57.52",,"174.19",,,"118.68",,,,,"24.99","10.09",,,"0.08","-0.17","20.52",,,,,,,"1.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1869.64","1977.45",
"South of Sahara, Total","","45559.01","28791.41","343.87","16423.73","740.94","302.17","108.48","773.31","1389.88","8.07","831.96","269.74","3470.11","1988.15","7.45","0.46","10.02","395.44","777.49","1599.9","148.96","117.22","930.06","13.97","949.79","2.84","406.78","2.26","0.58","432","1248.25","490.58","3195.41","8920.08","4515.2",,"6.4",,"1.32","0.4","4.76",,"54.13",,,,,,"1.4","24.16",,,"0.71",,"211.3","39.29",,"1057.48","1057.48","2148.23","2001.03","119.27","1881.76",,,,,,,,,"147.2","1429.11",,"8.45","169.09",,"41.36","215.61",,,"141.97","97.69","476.45",,"52.73",,,"165.86","59.9",,"4815.93","4815.93",,"4815.93",,"2457.78","10.83","46.77","165.92",,,,"517.34","148.46","1524.24",,,,"9.54","34.68",,,,,,,"740.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21341.02","14966.06",
"Eastern Africa, Total","","20707.76","13348.36","199.96","7159.44","262.55","231.82","43.87","278.34","571.15","5.09","564.41","187.28","429.58","818.99","3.17","0.29","8.47","320.82","144","782.4","68.01","14.95","458.61","8.44","730.43","2.12","219.94","2.26","0.46","156.61","669.12","171.62","2025.44","4430.67","1743.46",,"6.4",,"0.38","0.31","2.98",,"25.71",,,,,,"0.46","7.13",,,"0.36",,"125.2","31.03",,"332.36","332.36","945.41","929.34","8.49","920.85",,,,,,,,,"16.07","677.52",,"4.04","112.26",,"14.14","100",,,"55.63","36.72","192.61",,"23.34",,,"115.28","23.5",,"1989.48","1989.48",,"1989.48",,"1471.21","10.83","24.14","121.68",,,,"270.29","42.87","962.16",,,,"4.29","34.94",,,,,,,"262.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9202.23","6345.35",
"Middle Africa, Total","","7486.63","5336.77","1.44","2148.43","15.6","15.22","1.1","184.27","70.47","1.85","4.93","16.37","1459.78","313.69","1.6","0.11",,"17.66","582.03","303.88","28.95","3.67","20.19",,"45.55","0.18","21.68",,,"66.12","264.14","32.19","385.14","1496","607.74",,,,,,"0.44",,"-1.93",,,,,,"0.39",,,,"0.03",,"1.17","1.34",,"152.72","152.72","263.05","257.83","106.13","151.7",,,,,,,,,"5.22","266.85",,"0.93","13.11",,"5.63","37.24",,,"25.43","43.53","92.82",,"17.61",,,"18.46","12.09",,"574.18","574.18",,"574.18",,"283.89",,"7.14",,,,,"120.14","7.62","150.43",,,,,"-1.44",,,,,,,"15.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4610.99","3344.51",
"Southern Africa, Total","","2174.54","1559.59","17.13","597.82","20.28","11.91","0.99","18.03","17.28","0.18","11.53","11.45","140.8","180.59","0.77","0.05","0.52","24.56","9.92","66.55","0.97","8.05","34.35","0.76","43.82","0.03","0.27",,"0.02","4.67","22.65","9.22","49.33","890.32","441.37",,,,"0.41",,"0.27",,"13.02",,,,,,"0.11","2.45",,,"0.2",,"0.29","0.38",,"1.78","1.78","9.19","9.19","2.55","6.64",,,,,,,,,,"52.33",,"0.58","2.11",,"6.97","3.15",,,"7.47","17.44","5.16",,,,,"4.48","4.97",,"15.9","15.9",,"15.9",,"77.25",,"0.38",,,,,"-0.02","14.37","62.68",,,,"-0.26","0.1",,,,,,,"20.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1354.79","518.24",
"Western Africa, Total","","12576.94","6629.46","41.8","5905.68","180.19","21.93","48.6","262.66","355.11","0.95","214.41","15.14","1167.15","511.27","1.91","0.01","0.19","30.13","40.46","444.46","32.41","82.07","265.77","1.54","83.35","0.51","161.14",,"0.1","188.65","154.58","208.76","640.43","1695.77","1233.8",,,,"0.53","0.09","1.07",,"17.34",,,,,,"0.44","6.38",,,"0.12",,"9.29","6.54",,"570.62","570.62","913.07","804.67","2.1","802.57",,,,,,,,,"108.4","413.92",,"2.9","41.61",,"9.21","75.22",,,"43.5","0","182.72",,"11.78",,,"27.64","19.34",,"2196.46","2196.46",,"2196.46",,"577.81",,"13.11","44.24",,,,"126.93","46.76","346.89",,,,"5.51","-5.63",,,,,,,"180.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4854.65","3785.94",
