Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"America, Total","","10012.09","7683.34","87.95","2240.8","41.64","40.69","30.97","104.31","652.03","1.94","92","69.89","952.74","1128.68","1.82","0.41","0.75","17.1","67.49","347.93","64.39","33.51","187.23","3.75","252.85","1.02","10.58",,"0.45","765.93","153.67","171.89","163.65","2365.67","1302.74",,,,"0.08",,"10.84",,"-1.32",,,,,,"0.12","75.63",,,"0.31",,"1.87","0.42",,"25.47","25.47","43.51",,,,,,,,,"38.67",,,"4.84","195.17",,"12.15","11.71",,"14.57","27.03",,,"32.46","14.92","29.39",,"0.67",,,"13.39","38.88",,"290.9","290.9",,"290.9",,"383.01","7.74",,,,,,"9.56","132.12","208.83",,,"1.45","7.39","15.92",,,,,,,"41.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5678.19","3783.39",
"Caribbean & Central America, Total","","5257.02","3894.18","81.4","1281.44","19.45","25.78","24.09","35.89","388.77","1.22","52.31","43.76","637.63","320.63","0.35","0.16","0.75","11.46","19.92","73.43","23.64","24.75","53.81","0.93","110.04","0.67","0.94",,"0.44","342.67","65","77.43","105.56","1452.15","666.48",,,,"0.04",,"3.51",,"0.99",,,,,,"0.04","75.63",,,"0.14",,"0.82","0.23",,"32.79","32.79","39.09",,,,,,,,,"34.09",,,"5","71.29",,"3.09","3.46",,"7.74","14.71",,,"14.61","3.51","17.81",,"0.67",,,"5.69",,,"251.02","251.02",,"251.02",,"220.77",,,,,,,"9.02","52.41","143.11",,,,"3.25","12.98",,,,,,,"19.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2998.09","1741.26",
"Caribbean, Total","","2206.6","1600.56","1.43","604.61","2.16","21.08","0.98","21.4","308.27","1.07","-0.02","8.67","163.61","26.3","0.12","0.1","0.07","4.43","5.77","23.98","4.15","2.57","13.42","0.2","26.26","0.62","0.78",,"0.41","164.05","19.47","21.54","93.05","668.21","337.18",,,,"0.01",,"0.9",,"-0.01",,,,,,,,,,,,"0.45","0.08",,"22.28","22.28","36.62",,,,,,,,,"31.62",,,"5","38.42",,"1.62","3.11",,"5.3","9.05",,,"4.68","1","10.17",,"0.67",,,"2.82",,,"68.91","68.91",,"68.91",,"101.2",,,,,,,"0.1","8.67","80.88",,,,"-0.44","11.99",,,,,,,"2.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1289.19","526.8",
"Central America, Total","","2681.3","1989.6","77.97","613.72","16.47","3.8","19.19","13.1","72.89","0.14","40.18","28.74","444.26","171.92","0.23","0.06","0.68","6.95","14","49.44","19.3","20.79","39.88","0.42","50.42","0.05","0.16",,"0.03","155.51","36.78","38.78","6.94","754.96","281.67",,,,"0.03",,"2.61",,"1",,,,,,"0.04","73.63",,,"0.14",,"0.37","0.15",,"10.51","10.51","2.47",,,,,,,,,"2.47",,,,"31.26",,"1.47","0.35",,"2.44","5.66",,,"8.32","2.51","7.64",,,,,"2.87",,,"182.12","182.12",,"182.12",,"105.69",,,,,,,"8.92","32.75","60.21",,,,"2.99","0.82",,,,,,,"16.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1514.41","998.91",
"South America, Total","","4035.57","3173.54","6.25","855.78","22.19","14.91","4.84","67.73","128.76","0.72","36.65","21.88","314.78","668.31","1.47","0.25",,"5.64","44.84","261.75","40.75","8.76","129.35","2.8","132.83","0.35","8.74",,"0.01","252.39","80.6","82.56","57.95","803.92","585.78",,,,"0.04",,"7.33",,"-2.31",,,,,,"0.08",,,,"0.17",,"0.75","0.19",,"-7.32","-7.32","4.42",,,,,,,,,"4.58",,,"-0.16","77.94",,"9.06","8.25",,"6.83","12.32",,,"11.64","11.41","10.73",,,,,"7.7",,,"39.88","39.88",,"39.88",,"155.08","7.74",,,,,,"0.54","72.56","65.72",,,"1.45","4.14","2.94",,,,,,,"22.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2280.31","1705.26",
"Northern America, Total","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, Total","","37259.28","23883.41","6122.71","7253.16","415.92","1663.72","82.9","110.88","947.65","28.85","428.77","183.31","1039.01","2962.41","19.42","9.7","2.19","62.26","107.27","2653.09","625.13","57.85","373.03","65.86","661.28","24.38","36.59","1.77","0.99","214.92","532.39","432.56","2146.66","8408.57","2904.03",,,,"0.33","2.34","64.42",,"-9.77","0.4",,"15.2",,,"4.02","73","4576.15",,"12.06",,"876.87","507.69",,"-397.67","-397.67","75.01",,,,,,,,,,"0",,"75.01","1596.85",,"21.96","192.93",,"21.38","151.45","0.09",,"107.66","37.83","227.45",,"8.45","607.94",,"133.33","86.38",,"1830.56","1830.56",,"1830.56",,"1244.38","16.93",,"9.59",,,,"152.05","186.18","757.35",,,"6.51","24.49","61.9","29.38",,,,,,"415.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18264.66","8423.36",
"Middle East, Total","","11368.72","4723.47","5063.6","1581.65","0.77","88.08","13.77","36.18","119.53","3.24","60.47","25.7","199.18","446.94","12.44","0.98","0.82","14.38","41.26","316.69","41.26","11.89","70.26","2.8","162.34","0.87","0.03",,"0.24","112.49","156.18","58.12","210.38","2516.95","756.65",,,,"0.09","0.21","58.11",,"3.61",,,"0.1",,,"1.59","3","4390.7",,"0.04",,"292.64","313.51",,"-24.87","-24.87","37.07",,,,,,,,,,,,"37.07","719.77",,"3.71","2.91",,"0.66","17.76",,,"11.46","5.84","21.34",,"0","607.94",,"40.89","7.26",,"15.97","15.97",,"15.97",,"77.06",,,"9.59",,,,"23.79","11.58","18.19",,,"0.29",,"13.62",,,,,,,"0.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3850.93","1416.88",
"South & Central Asia, Total","","19869.92","14398.3","818.1","4653.52","331.48","494.81","31.06","40.33","426.37","17.58","251.78","89.81","307.82","1596.63","6","7.51","1.37","20.12","103.55","2647","232.62","14.06","228.64","14.18","351.31","19.32","2.67","1.77","0.74","74.46","246.79","238.83","1786.25","5144.92","1430.4",,,,"0.12","2.13","4.51",,"1.69","0.4",,"15.09",,,"1.78","47.61",,,"-15.15",,"565.87","194.05",,"-331.25","-331.25","34.39",,,,,,,,,,"0",,"34.39","565.03",,"7.12","95.06",,"8","96.3","0.09",,"55.32","10.99","164.47",,"8.44",,,"66.52","52.72",,"2341.11","2341.11",,"2341.11",,"613.85","14.4",,,,,,"101.78","68.96","349.29",,,"3.35","15.12","31.56","29.38",,,,,,"331.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12012.54","4846.89",
"Far East Asia, Total","","4906.06","3926.28","49.38","930.4","61.66","1025.1","33.89","30.26","94.08","7.99","113.64","51.73","530.6","762.94","0.92","1.21",,"27.72","-37.54","-404.59","339.4","31.9","54.08","48.86","124.46","4.19","33.84",,"0.01","20.69","106.22","126.78","103.22","694.68","648.32",,,,"0.12",,"1.8",,"-15.08",,,"0.01",,,"0.65","22.39",,,"27.17",,"12.18","0.13",,"-41.55","-41.55","3.55",,,,,,,,,,,,"3.55","296.38",,"11.13","94.96",,"7.73","37.39",,,"31.53","21","40.31",,"0.01",,,"25.92","26.4",,"-526.51","-526.51",,"-526.51",,"550.22","2.53",,,,,,"26.48","103.88","389.87",,,"2.87","7.97","16.62",,,,,,,"61.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1743.39","1877.51",
"Europe, Total","","8944.17","2676.44","118.11","6149.62","6.51","0.31","118.79","-0.51","58.16","20.02","25.84","24.16","446.42","462.32","75.67","13.56","0.54","1.14","79.57","177.67","20.65","12.31","43.6","0.2","113.31","57.2","1.65","4.76","10.01","40.25","208.08","168.69","31.01","461.06","5544.3",,,,"0.41","2.38","13.71",,"-15.29","0.31",,"1.48",,,"21.94","13.01",,,,,"77.18","2.98",,"77.28","77.28","129.68",,,,,,,,,,"131.47",,"-1.79","101.25",,"14.46","5.03",,"5.51","7.78","12.4",,"4.51","37.42","10.53",,,,,,"3.61",,"106.03","106.03",,"106.03",,"191.08",,,,,,,"0.65","18.46","92.62",,,,,"1.67","77.68",,,,,,"6.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1716.21","1675.85",
"Oceania, Total","","2213.83","1979.24","3.34","231.25","1.66","1208.7","0.63","0.01","6.74",,,"0.43","142.73","8.96",,,,"0.16","0.35","160.4","4.15","0.03",,"205.4","2.65",,,,"0.04","0.04","0.14","0.24","4","233.44","112.64",,,,,,"0.16",,"-0.46",,,,,,,"3",,,"0.08",,"0.51","0.05",,"9.85","9.85",,,,,,,,,,,,,,"27.1",,,"-0.36",,"1.86","6.47",,,"1.71","1.12","7.09",,,,,,"9.21",,"31.05","31.05",,"31.05",,"50.61","11.6",,,,,,"0.87","20.03","18.45",,,,,"-0.34",,,,,,,"1.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"556.62","157.52",
"Melanesia, Total","","1112.63","1011.24","0.05","101.34","0.75","861.28","0.63","0.01","3.14",,,"0.17","3.59","2.43",,,,"0.16","0.29","62.54","1.87","0.03",,"64.4","1.76",,,,,"0.04","0.06",,"0.19","8.65","33.36",,,,,,"0.09",,"-0.46",,,,,,,,,,"0.07",,"0.3","0.05",,"9.85","9.85",,,,,,,,,,,,,,"16.14",,,"-0.08",,"1.79","4.9",,,"1.71","1.12","1.48",,,,,,"5.22",,"17.65","17.65",,"17.65",,"24.34","5.11",,,,,,"0.81","2.83","15.67",,,,,"-0.08",,,,,,,"0.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80.83","7.6",
"Micronesia, Total","","341.75","333.47","0.06","8.22","0.82","81.03",,,"0.82",,,,,"0.32",,,,,"0.06","44.13","0.88",,,"14.6",,,,,"0.04",,,"0.03","0.04","191.52","5.23",,,,,,"0.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.17",,,,,,"0.34",,,,,,,,,,,"0.83",,"0.2","0.2",,"0.2",,"1.62",,,,,,,"0.06","1.55",,,,,,,,,,,,,"0.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"236.89","0.46",
"Polynesia, Total","","410.24","339.32","3.23","67.7",,"80.94",,,"1.12",,,,"122.55","0.53",,,,,,"50.51","1.1",,,"79.69",,,,,,,"0.03",,"0.49","2.36","44.45",,,,,,"0.01",,,,,,,,,"3",,,"0.01",,"0.2","0.01",,,,,,,,,,,,,,,,,"2.75",,,"-0.28",,"0.07","1.23",,,,,,,,,,,"1.73",,"13.19","13.19",,"13.19",,"7.3","6.48",,,,,,,"1.13",,,,,,"-0.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177.56","123.6",
"LDCs, Total","","44541.61","30695.76","521.99","13323.86","325.54","1118.03","93.86","723.25","1392.76","21.22","823.79","274.81","2155.16","1936.87","5.12","7.59","9.89","385.09","781.41","2562.46","346.44","109.68","816.44","81.02","1069.3","12.17","285.98","2.01","1.5","536.31","1203.91","529.66","3344","10066.03","3949.75",,"6.4",,"1.27","1.76","4.03",,"47.26","0.15",,"14.39",,,"0.97","19.41",,,"10.46",,"280.14","135.75",,"281.23","281.23","1645.33","1489.49","115.13","1374.36",,,,,,"8.05",,,"147.79","1445.49",,"8.29","181.27",,"27.18","250.48",,,"129.77","90.82","472.66",,"56.92",,,"163.37","64.73",,"3836.55","3836.55",,"3836.55",,"2165.51","14.12","44.13","165.39",,,,"461.63","88.02","1325.32",,,,"20","46.9",,,,,,,"325.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22238.69","13520.17",
"Other LICs, Total","","841.07","587.55","27.49","226.03","6.92","54.26","0.65","1.84","16.33","0.37","29.7","4.57","3.31","61.02","0.4","0.01",,"10.41","1.6","18.37","0.79","0.7","14.51","0.67","26.13","0.03","0.06",,,"5.31","46.08","23.41","78.13","188.89","102.08",,,,"0.02",,"0.07",,"4.82",,,,,,"0.1","22.39",,,,,"0.09",,,,,"0","0","0",,,,,,,,,,,"48.26",,"0.57","-1.63",,"1.34","8.07",,,"4.54","3.43","9.95",,,,,"18.18","3.81",,,,,,,"75.69",,"0.09",,,,,"1.59",,"74.45",,,,,"-0.44",,,,,,,"6.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"367.65","258.7",
