Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"America, Total","","4900.11","3913.55","43.36","943.2",,"0.37","15.35","58.69","143.33","12.55","89.5","21.63","174.75","355.23","0.18",,,"8.82","20.97","592.4","8.85","15.97","218.82","2.14","60.12","0.11","2.37","0.02",,"413.86","125.99","81.19","282.52","1207.82","351.62",,,,,,"41.43",,"1.73",,,,,,,,,,,,,"0.2",,"-25.76","-25.76","62.69",,,,,,,,,"62.8",,,"-0.11","200.11",,,"19.46",,,"10.72",,,"47.69","15.66","21.81",,,,"64.83","19.94",,,"235.4","235.4",,"235.4",,"119.14",,,,,,,,"111.06",,,,"1.89","6.23","-0.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2777.02","1817.33",
"Caribbean & Central America, Total","","2231.63","1691.72","4.13","535.78",,"0.2","11.27","14.31","80.19","0.11","50.76","14.07","52.62","116.69","0.11",,,"4.97","11.11","274.53","6.24","9.34","84.6","0.6","38.5","0","0.26",,,"206.36","81.71","32.04","127.01","474.12","192.56",,,,,,"2.28",,"1.73",,,,,,,,,,,,,"0.12",,"-6.88","-6.88","58.38",,,,,,,,,"58.38",,,,"106.26",,,"18.88",,,"10.43",,,"30.21","3.94","12.49",,,,"17.59","12.72",,,"135.44","135.44",,"135.44",,"50.02",,,,,,,,"44.92",,,,"0.7","4.4","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1136.27","785.3",
"Caribbean, Total","","608.66","455.16","-1.46","154.96",,"0.08","0.24","6.59","36.97","0.02","0.51","1.03","30.06","16.04","0.1",,,"0.55","-0.58","88.81","1.62","0.35","9.21","0.09","3.96","0","0.15",,,"53.89","2.62","4.86","98.79","99.2","60.38",,,,,,"0.65",,"-2.11",,,,,,,,,,,,,,,"-3.93","-3.93","54.67",,,,,,,,,"54.67",,,,"29.53",,,"1.89",,,"4.55",,,"5.73","0.47","4.17",,,,"7.55","5.17",,,"15.39","15.39",,"15.39",,"-1.08",,,,,,,,"1.7",,,,,"1.68","-4.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"369.29","219.57",
"Central America, Total","","1502.68","1136.77","5.59","360.32",,"0.12","10.92","7.6","37.14","0.09","42.72","8.3","14.57","101.86","0.01",,,"4.42","11.69","185.2","4.62","8.99","74.19","0.44","24.09","0","0.11",,,"135.71","67.72","15.6","28.22","352.44","124.27",,,,,,"1.63",,"3.84",,,,,,,,,,,,,"0.12",,"-2.95","-2.95","3.71",,,,,,,,,"3.71",,,,"72.52",,,"16.99",,,"5.81",,,"24.14","3.31","6.22",,,,"8.5","7.55",,,"120.05","120.05",,"120.05",,"42.72",,,,,,,,"34.84",,,,"0.7","2.72","4.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"731.12","517.12",
"South America, Total","","2354.16","1982.39","39.23","332.54",,"0.17","4.02","42.39","60.03","0.83","38.74","7.52","113.4","213.09","0.07",,,"3.85","5.75","316.76","2.61","6.63","131.23","1.39","19.04","0.11","2.11","0.02",,"178.85","34.49","45.03","134.07","620.19","119.03",,,,,,"39.15",,,,,,,,,,,,,,,"0.08",,"-18.88","-18.88","4.31",,,,,,,,,"4.42",,,"-0.11","62.79",,,"0.58",,,"0.18",,,"15","11.72","9.32",,,,"18.9","7.09",,,"99.96","99.96",,"99.96",,"65.33",,,,,,,,"62.35",,,,"1.19","1.83","-0.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1463.29","917.17",
"Northern America, Total","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, Total","","18288.86","11496.27","1446.97","5345.62",,"311.23","49.19","38.39","219.87","8.36","205.58","60.08","289.16","901.93","18.7",,,"22.7","31.85","4235.58","161.77","25.46","575.65","25.72","301.46","7.31","78.42","0.27",,"123.41","222.24","188.59","907.11","2486.24","1034.88",,,,,"0.15","46.31",,"-7.18","0.02",,"0.11",,,,,"1026.66",,,,"14.61","366.29",,"227.53","227.53","38.52",,,,,,,,,,,"12.82","25.7","1156.35",,,"56.84",,,"119.62",,,"96.76","120.01","129.28",,,"392.2","147.38","94.26",,,"2682.09","2682.09",,"2682.09",,"206.25",,,,,,,,"123.81",,,,"57.11","6.91","18.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9071.74","3565.81",
"Middle East, Total","","2642.34","1243.38","498.69","900.27",,"3.97","11.8","10.74","15.62","1","5.72","8.08","88.73","169.35","4.35",,,"5.21","42.8","75.59","5.87","4.92","77.75","3.14","83.21","0.68","0.49","0.11",,"25.86","39.75","14.29","53.54","490.81","296.33",,,,,,"18.58",,"-17.01",,,"0",,,,,"180.81",,,,"0.29","316.02",,,,"3.7",,,,,,,,,,,,"3.7","524.02",,,"4.81",,,"12.3",,,"13.14","33.91","12.14",,,"392.2","41.64","13.88",,,"59.94","59.94",,"59.94",,"16.28",,,,,,,,"3.91",,,,"0.75",,"11.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"936.44","550.88",
"South & Central Asia, Total","","8318.58","4916.9","102.51","3299.17",,"58.04","28.16","0.84","108.61","4.71","91.18","29.33","-63.21","331.01","14.17",,,"12.26","15.78","1528.5","42.49","7.11","265.68","5.72","155.92","2.34","1.37","0.08",,"43.22","91.1","125.18","711.17","1306.14","449.56",,,,,"0.15","25.48",,"15.86","0.02",,"0.11",,,,,,,,,"12.31","48.58",,"230.78","230.78","32.48",,,,,,,,,,,"11.91","20.57","413.02",,,"23.6",,,"78.14",,,"48.24","67.24","83.13",,,,"46.32","66.35",,,"2129.57","2129.57",,"2129.57",,"43.76",,,,,,,,"33.21",,,,"10.58","1.2","-1.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3938","1586.3",
"Far East Asia, Total","","6179.89","5122.39","-1.71","1059.21",,"249.22","9.23","26.63","89.35","2.65","105.97","20.02","254.13","374.41","0.18",,,"5.23","-26.95","2612.4","113.41","12.45","220.92","16.59","51.89","4.29","76.56","0.08",,"52.14","78.72","43.17","124.17","605.53","231.69",,,,,,"2.25",,"-6.03",,,,,,,,,,,,"0.38","1.69",,"-3.25","-3.25","2.34",,,,,,,,,,,"0.91","1.43","189.64",,,"28.43",,,"29.18",,,"27.21","18.86","34.01",,,,"33.54","18.41",,,"492.58","492.58",,"492.58",,"146.21",,,,,,,,"86.69",,,,"45.78","5.71","8.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4033.04","1340.83",
"Europe, Total","","5029.48","3398.53","40.3","1590.65",,"2.23","125.36","48.63","137.54","8.6","46.35","16.91","167.77","567.16","79.09",,,"3.48","43.44","28.4","18.93","10.26","155.55","0.02","144.72","0.87","2.34","0.48",,"107.13","82.85","81.64","486.09","1032.69","1037.07",,,,,"0.03","3.74",,"22.64","0.04",,"0",,,,,,,,,"10.65","3.2",,"7.92","7.92","38.7",,,,,,,,,,,"31.08","7.62","126.24",,,"7.61",,,"4.83",,,"5.04","80.04","3.84",,,,"24.82","0.06",,,"369.31","369.31",,"369.31",,"11.41",,,,,,,,"7.58",,,,"0.5",,"3.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2463.09","1952.36",
"Oceania, Total","","700.21","660.1","-0.22","40.33",,"269.69","0.48","0.03","3.68",,"0.1","0.25","62.18","2.59",,,,"0.19",,"93.46","1.15",,"1.4","48.62","0.22",,,,,"0.15","0.19","0.25","7.68","167.79","22.77",,,,,,"0.19",,"-0.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.81",,,"-0.27",,,"2.98",,,"3.96","0.15","2.88",,,,"7.11",,,,"-3.22","-3.22",,"-3.22",,"3.97",,,,,,,,"4.28",,,,,,"-0.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"337.38","75.24",
"Melanesia, Total","","291.24","272.81","-0.38","18.81",,"218.81","0.48","0.02","0.06",,"0.12","0.14","6.88","3.22",,,,"0.18",,"23.56","0.78",,"1.24","15.38","0.2",,,,,,"0.13","0.21",,"1.4","12.22",,,,,,"0.03",,"-0.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.14",,,"-0.15",,,"2.06",,,"1.15","0.15","2.88",,,,"4.05",,,,"-3.72","-3.72",,"-3.72",,"0.17",,,,,,,,"0.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35.12","12.41",
"Micronesia, Total","","229.77","226.93","0.13","2.71",,"20.63",,,,,,,"0.07","0.05",,,,,,"40.35","0.25",,"0.02","2.04","0.02",,,,,"0.15",,"0.04",,"163.31","0.85",,,,,,"0.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.17",,,,,,"0.25",,,"0.2",,,,,,"0.72",,,,,,,,,"0.69",,,,,,,,"0.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"203.78","0.29",
"Polynesia, Total","","133.72","123.89","0.03","9.8",,"19.88",,,"0.17",,,,"52.97","-1.09",,,,"0.01",,"29.02","0.12",,"0.02","20.22",,,,,,,,,,"2.57","5.94",,,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.12",,,"-0.12",,,"0.67",,,"0.3",,,,,,"2.27",,,,"0.5","0.5",,"0.5",,"0.24",,,,,,,,"0.55",,,,,,"-0.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83.64","51.91",
"LDCs, Total","","17313.4","10321.78","82.66","6908.96",,"162.42","123.66","252.13","224.17","1.72","370.94","78.31","1100.85","818.28","9.69",,"3.12","181.06","771.14","1005.5","45.6","42.97","918.22","20.59","450.46","0.83","145.01","0.23",,"119.9","344.66","189.08","861.41","2079.83","1661.72",,,,,"0.06","30.07",,"1.65",,,"0.1",,,,,,,,,"0.43","50.35",,"601.14","601.14","534.64","504.59","73.77","430.82",,,,,,,,,"30.05","1103.03",,,"75.78",,,"153.27",,,"104.36","254.94","166.92",,,,"108.18","239.58",,,"2885.66","2885.66",,"2885.66",,"122.77",,,,,,,,"39.52",,,,,"17.45","65.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6861.18","6141.01",
"Other LICs, Total","","463.53","365.9","0.65","96.98",,"5.42","0.49","3.38","6.71","0.02","5.55","1.61","3.69","43.49","0.02",,,"3.25","6.07","23.64","0.2","0.74","22.93","0.63","10.77","0.02","0.03",,,"0.27","12.52","4.52","31.72","178.21","67.67",,,,,,"0.24",,"0.41",,,,,,,,,,,,,,,"-1.1","-1.1",,,,,,,,,,,,,,"27.39",,,"7.38",,,"2.98",,,"2.09","1.9","3.87",,,,"4.97","4.2",,,,,,,,"3.02",,,,,,,,"0.79",,,,,,"2.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"293.53","135.8",
"LMICs, Total","","17218.66","11528.46","312.92","5377.28",,"344.03","62.47","130","346.29","7.83","234.53","40.34","1127.98","807.24","9.11",,,"20.1","78.47","2804.06","85.79","35.33","567.79","22.48","166.8","1.73","12.59","0.28",,"313.78","203.48","149.57","837.98","3118.41","1088.58",,,,,"0.07","40.62",,"-33.16","0.02",,"0.03",,,,,,,,,"5.02","300.32",,"300.87","300.87","200.44","185.77","25.27","160.5",,,,,,,,"7.33","7.34","917.28",,,"54.03",,,"90.67",,,"87.73","93.61","110.52",,,"343.11","71.74","65.87",,,"2760.23","2760.23",,"2760.23",,"109.88",,,,,,,,"69.42",,,,"12.3","13.23","14.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9120.43","4491.03",
"UMICs, Total","","9968.94","7794.92","133.56","2040.46",,"80.29","133.35","88.73","119.51","2.4","86.32","42.66","534.02","959.84","77.15",,"1.18","20.74","34.53","1785.21","44.36","20","307.01","21.49","163.04","6","7.88","0.11",,"336.76","131","121.31","817.61","1852.42","895.01",,,,,"0.02","47.86",,"22.28","0.04",,"0",,,,,,,,,"16.33","47.03",,"0.71","0.71","68.09","1",,"1",,,,,,"41.41",,"10.27","15.41","358.24",,,"11.28",,,"30.68",,,"40.18","94.7","42.57",,,"49.09","60.57","29.17",,,"515.54","515.54",,"515.54",,"202.87",,,,,,,,"151.53",,,,"47.46","1.65","2.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6103.14","3606.11",
"MADCTs, Total","","573.83","263.45","190.22","120.16",,"0.87","7.23","2.82","5.34","0.05","0.11","0.19","152.63","20.05","0.06",,,"0.16","-7","-11.18","19.87","2.21","5.2","3.23","13.73","0.18","0.25","0.06",,"3.62","6.53","3.33","8.42","25.49","77.35",,,,,,"3.72",,"27.58","0",,,,,,,,,,,"0.03","158.89",,,,"20.97",,,,,,,,,"17.86",,"1.71","1.4","18.67",,,,,,"-3.43",,,"0.5","12.09","2.24",,,,"7.27",,,,"-0.73","-0.73",,"-0.73",,"3.9",,,,,,,,"3.73",,,,"0.21",,"-0.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"193.75","202.77",
