Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients","",,"58654.23","3264.43","17112.8",,"988.74","520.13","1071.51","2004.28","45.43","1643.24","462.2","5486.17","5324.41","276.17",,"12.65","397.78","2332.13","9282.95","278.75","146.76","3338.02","121.82","1696.09","14.26","322.58","6.68",,"1712.3","2011.06","938.89","4929.16","13290.07","5448.12",,,,,"1.25","130.89",,"20.38","1.5",,"1.64",,,,,"2477.75",,,,"72.96","558.06",,"901.62","901.62","876.15","714.56","99.04","615.52",,,,,,"62.8",,"43.9","54.89","3142.65",,,"148.47",,,"274.68",,,"310.17","633.49","566.87",,,"392.2","466.16","350.61",,,"6163.42","6163.42",,"6163.42",,"580.84",,,,,,,,"402.95",,,,"59.97","32.77","85.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42649.17","30039.99",
"All Developing Countries, Total","","60966.21","41012.36","3139.82","16814.03",,"773.67","364.24","711.49","1500.66","31.31","1038.29","251.33","3615","3327.84","106.99",,"4.81","267.16","1006.56","6692.27","206.73","115.72","2448.63","91.69","1145.14","8.89","186.07","3.72",,"998.47","1270.61","764.53","3510.44","10570.1","5149.96",,,,,"0.2","124.41",,"20.38","0.06",,"0.5",,,,,"2410.05",,,,"26.68","557.54",,"901.62","901.62","875.54","714.56","99.04","615.52",,,,,,"62.8",,"43.9","54.28","3142.65",,,"148.47",,,"274.68",,,"310.17","633.49","566.87",,,"392.2","466.16","350.61",,,"6163.42","6163.42",,"6163.42",,"580.84",,,,,,,,"402.95",,,,"59.97","32.77","85.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30222.87","19262.76",
"All Multilateral Recipients, Total","","18065.25","17641.87","124.61","298.77",,"215.07","155.89","360.02","503.62","14.12","604.95","210.87","1871.17","1996.57","169.18",,"7.84","130.62","1325.57","2590.68","72.02","31.04","889.39","30.13","550.95","5.37","136.51","2.96",,"713.83","740.45","174.36","1418.72","2719.97","298.16",,,,,"1.05","6.48",,,"1.44",,"1.14",,,,,"67.7",,,,"46.28","0.52",,,,"0.61",,,,,,,,,,,,"0.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12426.3","10777.23",
"Africa, Total","","21368.3","13379.28","239.55","7749.47",,"28.98","141.54","362.74","387.83","1.39","407.72","91.35","2601.68","1007.44","2.25",,"4.81","190.68","810.36","700.21","5.63","54.08","955.41","6.28","451.97","0.6","97.08","0.28",,"231.19","408.93","187.38","1052.25","3189.22","2102.51",,,,,,"32.74",,"1.98",,,"0.02",,,,,"17.81",,,,"0.1","186.9",,"691.93","691.93","735.63","714.56","99.04","615.52",,,,,,,,,"21.07","1163.66",,,"64.83",,,"136.53",,,"102.43","298.96","174.71",,,,"160.67","225.53",,,"2879.84","2879.84",,"2879.84",,"175.9",,,,,,,,"92.05",,,,"0.47","19.63","63.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9748.99","8416.97",
"North of Sahara, Total","","2106.58","1640.12","93.3","373.16",,"3.26","21.5","3.57","13.67","0.23","15.19","5.39","445.55","72.38","0.74",,,"0.08","6.66","115.29","3.04","4","15.39","0.02","4.07","0.15","0.77","0.03",,"67.74","4.41","7.88","12.18","816.93","298.57",,,,,,"0.6",,"-18.18",,,"0",,,,,,,,,"0.02","110.86",,,,"3.79","5.09",,"5.09",,,,,,,,,"-1.3","37.95",,,"0.33",,,"3.71",,,"3.68","7.52","5.78",,,,"7.76","9.17",,,"17.04","17.04",,"17.04",,"15.81",,,,,,,,"17",,,,"0.47","1.21","-2.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1482.66","675.96",
"South of Sahara, Total","","18824.56","11412.13","128.42","7284.01",,"25.5","119.85","355.95","356.53","1.16","390.81","73.99","2098.2","905.01","1.41",,"4.3","190.6","803.51","582.33","2.59","47.23","908.63","6.26","398.09","0.45","96.31","0.25",,"162.67","362.02","176.34","969.85","2372.29","1803.94",,,,,,"32.14",,"20.16",,,"0.02",,,,,,,,,"0.06","76.04",,"691.93","691.93","708.64","686.27","99.04","587.23",,,,,,,,,"22.37","1062.65",,,"64.5",,,"132.82",,,"93.5","280.53","168.93",,,,"106.01","216.36",,,"2860.85","2860.85",,"2860.85",,"156",,,,,,,,"71.2",,,,,"18.18","66.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8087.72","7487.9",
"Eastern Africa, Total","","9211.43","5627.66","118.83","3464.94",,"17.84","69.56","138.13","80.29","0.43","235.4","48.41","731.92","404.62","0.68",,"3.12","155.82","687.28","334.85","2.86","8.38","434.61","4.8","285.81","0.23","26.14","0.24",,"48.15","239.77","67.48","518.94","1081.9","758.9",,,,,,"29.39",,"13.07",,,"0.02",,,,,,,,,"0.03","76.32",,"176.4","176.4","312.29","305.33","48.82","256.51",,,,,,,,,"6.96","538.44",,,"38.09",,,"62.48",,,"44.77","163.48","69.91",,,,"43.4","116.31",,,"1635.25","1635.25",,"1635.25",,"43.66",,,,,,,,"20.46",,,,,"13.76","9.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3839.8","3748.71",
"Middle Africa, Total","","2660.23","1304.44","-1.06","1356.85",,"0.27","13.37","70.41","94.79","0.13","18.01","4.38","253.97","127.76","0.39",,,"5.8","60.83","54.04","0.51","3.22","171.82","0.08","40.77","0.09","32.22",,,"21.51","24.22","21.53","69.48","214.84","257.32",,,,,,"0.42",,"-1.83",,,"0",,,,,,,,,"0.01","0.34",,"408.16","408.16","81.35","80.68","11.06","69.62",,,,,,,,,"0.67","175.59",,,"1.08",,,"18.26",,,"11.92","43.76","34.83",,,,"18.42","47.32",,,"425.84","425.84",,"425.84",,"8.59",,,,,,,,"2.63",,,,,,"5.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"875.71","877.61",
"Southern Africa, Total","","778.46","534.8","2.15","241.51",,"6.14","1.96","10.72","10.79","0.15","21.97","13.48","28.21","67.7","0.08",,"1.18","23.46","12.06","16.16","0.33","5.36","53.99","0.98","24.6",,"2.89",,,"5.84","32.45","7.19","52.44","134.67","170.13",,,,,,"0.8",,"1.35",,,,,,,,,,,,,,,"5.25","5.25","6.79","6.85",,"6.85",,,,,,,,,"-0.06","37.51",,,"0.43",,,"3.16",,,"5.03","8.72","6.81",,,,"8.84","4.52",,,"17.76","17.76",,"17.76",,"4.07",,,,,,,,"5.46",,,,,"-0.15","-1.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"322.03","332.76",
"Western Africa, Total","","5217.56","3098.01","8.5","2111.05",,"0.26","34.26","112.11","161.15","0.41","107.67","4.73","921.14","269.37","0.26",,,"5.52","36.48","177.21","-1.11","30.27","238.21","0.16","30.25","0.13","20.74","0.01",,"85.21","26.2","61.56","279.06","496.75","540.44",,,,,,"1.53",,"7.57",,,,,,,,,,,,"0.02","-0.62",,"102.12","102.12","308.13","293.41","39.16","254.25",,,,,,,,,"14.72","303.97",,,"24.9",,,"48.92",,,"31.78","64.57","55.46",,,,"35.35","42.99",,,"780.76","780.76",,"780.76",,"75.63",,,,,,,,"18.6",,,,,"4.57","52.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2341.16","2171.78",
